DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-08-2023,207.05,208.6,199.0,201.0,201.1,208.6,199.0,24133608,4869339023.9,125252,201.77,EQ
24-08-2023,201.05,202.9,193.8,199.1,198.15,208.6,193.8,2675099,531758985.25,25659,198.78,EQ
25-08-2023,198.05,198.3,195.5,197.05,197.8,208.6,193.8,946520,186330083.2,13573,196.86,EQ
28-08-2023,198.95,198.95,195.1,197.4,197.3,208.6,193.8,601097,118254490.85,10077,196.73,EQ
29-08-2023,197.45,201.85,197.4,200.0,200.0,208.6,193.8,1645512,328806656.2,13636,199.82,EQ
30-08-2023,201.1,204.1,200.0,200.3,200.6,208.6,193.8,1396819,282915611.15,14251,202.54,EQ
31-08-2023,201.9,203.05,199.55,200.15,200.5,208.6,193.8,531338,106621968.95,5839,200.67,EQ
01-09-2023,201.8,202.0,196.7,200.2,201.4,208.6,193.8,540220,107584048.6,7438,199.15,EQ
04-09-2023,202.4,202.95,199.3,200.05,200.05,208.6,193.8,786608,157573753.95,6478,200.32,EQ
05-09-2023,202.0,202.7,199.85,200.05,200.0,208.6,193.8,633999,127363623.9,7349,200.89,EQ
06-09-2023,200.0,203.7,199.75,201.05,200.7,208.6,193.8,557607,112222640.85,7773,201.26,EQ
07-09-2023,202.0,232.95,200.85,221.3,219.45,232.95,193.8,7039853,1552591931.9,79828,220.54,EQ
08-09-2023,221.45,241.45,221.0,230.9,230.05,241.45,193.8,5421706,1258970569.35,46878,232.21,EQ
11-09-2023,253.0,258.0,242.0,245.35,246.55,258.0,193.8,6766049,1683205764.35,65830,248.77,EQ
12-09-2023,244.0,244.0,225.0,229.05,228.45,258.0,193.8,3008560,703347580.0,38195,233.78,EQ
13-09-2023,230.85,232.85,217.95,221.35,221.7,258.0,193.8,2810594,624738712.95,28822,222.28,EQ
14-09-2023,223.6,227.7,216.8,226.15,225.75,258.0,193.8,4628575,1030776820.15,33494,222.7,EQ
15-09-2023,227.5,229.5,221.0,222.4,221.8,258.0,193.8,1424989,321015083.05,16240,225.28,EQ
18-09-2023,222.4,224.5,220.55,222.65,224.0,258.0,193.8,1172985,260890014.15,11766,222.42,EQ
20-09-2023,221.0,222.75,213.0,214.65,215.3,258.0,193.8,1582128,344523094.6,22951,217.76,EQ
21-09-2023,215.9,218.65,212.1,214.15,214.0,258.0,193.8,1253075,270206368.0,17575,215.63,EQ
22-09-2023,214.95,217.8,211.3,213.45,213.35,258.0,193.8,463679,99153562.5,7503,213.84,EQ
25-09-2023,214.9,215.4,209.55,210.45,210.85,258.0,193.8,714959,151226327.0,20519,211.52,EQ
26-09-2023,211.5,212.5,209.0,210.1,210.0,258.0,193.8,697093,146688177.85,15753,210.43,EQ
27-09-2023,210.95,214.9,208.05,211.5,211.6,258.0,193.8,2146030,454825712.65,22804,211.94,EQ
