DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
15-09-2016,252.0,252.0,239.4,239.4,239.4,252.0,239.4,27173,6593609.8,104,242.65,BE
16-09-2016,227.45,240.0,227.45,231.4,240.0,252.0,227.45,18152,4199300.35,74,231.34,BE
19-09-2016,240.0,241.0,233.0,237.6,233.5,252.0,227.45,11340,2698355.5,78,237.95,BE
20-09-2016,240.0,240.0,231.05,235.75,231.05,252.0,227.45,10936,2587198.55,56,236.58,BE
21-09-2016,239.0,247.5,231.1,242.2,247.5,252.0,227.45,12057,2878974.0,130,238.78,BE
22-09-2016,248.0,254.3,248.0,254.3,254.3,254.3,227.45,10608,2657303.95,68,250.5,BE
23-09-2016,265.95,267.0,260.0,261.15,261.2,267.0,227.45,9675,2552437.8,94,263.82,BE
26-09-2016,273.8,273.9,264.0,273.5,271.5,273.9,227.45,11130,3009342.7,41,270.38,BE
27-09-2016,271.5,284.95,267.0,280.65,283.85,284.95,227.45,16866,4720578.65,92,279.89,BE
28-09-2016,284.8,291.5,283.5,289.95,290.0,291.5,227.45,12936,3721078.05,87,287.65,BE
29-09-2016,290.0,290.0,280.2,282.9,281.0,291.5,227.45,53198,15181931.4,398,285.39,EQ
30-09-2016,260.05,294.95,260.05,282.1,282.0,294.95,227.45,57078,16178885.1,469,283.45,EQ
03-10-2016,285.0,294.0,278.0,281.1,282.0,294.95,227.45,65385,18544152.65,512,283.61,EQ
04-10-2016,280.35,289.95,280.0,285.05,285.05,294.95,227.45,52953,15139824.15,431,285.91,EQ
05-10-2016,286.0,309.2,282.0,305.1,303.05,309.2,227.45,35611,10612653.8,279,298.02,EQ
06-10-2016,310.0,312.0,299.5,299.8,300.0,312.0,227.45,54338,16518053.4,400,303.99,EQ
07-10-2016,298.0,312.95,298.0,304.1,302.0,312.95,227.45,64779,19626742.0,476,302.98,EQ
10-10-2016,298.0,312.0,298.0,302.0,300.25,312.95,227.45,45661,13867906.9,474,303.71,EQ
13-10-2016,285.1,302.95,285.0,288.45,286.1,312.95,227.45,65298,19201503.9,453,294.06,EQ
14-10-2016,297.0,299.7,277.0,297.95,299.7,312.95,227.45,69359,20085964.75,407,289.59,EQ
17-10-2016,298.0,306.0,284.0,284.05,286.0,312.95,227.45,56560,16678041.3,415,294.87,EQ
18-10-2016,295.0,314.0,280.0,311.6,302.0,314.0,227.45,61272,18222862.1,603,297.41,EQ
19-10-2016,309.95,310.0,285.6,297.1,293.25,314.0,227.45,71106,21033854.0,863,295.81,EQ
20-10-2016,297.95,298.0,290.05,294.75,295.0,314.0,227.45,70418,20747001.2,407,294.63,EQ
21-10-2016,304.0,308.8,285.8,299.75,298.0,314.0,227.45,58668,17577018.05,577,299.6,EQ
24-10-2016,300.0,300.85,287.0,290.4,293.9,314.0,227.45,54755,16329749.25,291,298.23,EQ
25-10-2016,299.6,299.6,285.5,285.8,286.5,314.0,227.45,59235,17227197.0,392,290.83,EQ
26-10-2016,287.1,291.85,268.0,291.7,291.8,314.0,227.45,54039,15443434.75,400,285.78,EQ
27-10-2016,292.0,301.7,288.0,290.45,288.0,314.0,227.45,56254,16398535.7,310,291.51,EQ
28-10-2016,290.5,295.0,274.1,290.05,290.05,314.0,227.45,56504,16464115.55,384,291.38,EQ
30-10-2016,297.75,298.0,290.1,294.1,296.0,314.0,227.45,27262,8034826.5,177,294.73,EQ
01-11-2016,293.0,298.0,286.2,294.9,295.0,314.0,227.45,53758,15842400.0,339,294.7,EQ
02-11-2016,292.0,294.95,272.5,290.45,294.0,314.0,227.45,51424,14939607.2,292,290.52,EQ
03-11-2016,290.0,292.05,275.0,277.2,275.0,314.0,227.45,52798,15226649.85,350,288.39,EQ
04-11-2016,278.0,299.0,271.0,288.3,295.0,314.0,227.45,54091,15174246.4,505,280.53,EQ
07-11-2016,265.0,300.0,265.0,281.25,295.0,314.0,227.45,61667,17950812.5,315,291.09,EQ
08-11-2016,285.0,292.5,280.0,284.15,280.55,314.0,227.45,62491,17804258.15,435,284.91,EQ
09-11-2016,270.0,280.95,250.0,270.05,266.0,314.0,227.45,41887,11347363.3,384,270.9,EQ
10-11-2016,275.55,324.05,275.5,321.1,315.0,324.05,227.45,80629,24392178.95,908,302.52,EQ
11-11-2016,304.9,314.0,283.4,296.85,292.05,324.05,227.45,89316,26126037.35,1113,292.51,EQ
15-11-2016,296.95,297.25,274.0,282.65,282.0,324.05,227.45,86728,24911038.4,499,287.23,EQ
16-11-2016,283.1,283.2,270.0,270.85,270.0,324.05,227.45,55743,15403434.15,288,276.33,EQ
17-11-2016,279.95,299.0,260.0,290.5,298.0,324.05,227.45,50982,14314195.25,415,280.77,EQ
18-11-2016,299.0,300.0,273.0,276.2,276.0,324.05,227.45,45753,12951105.9,314,283.07,EQ
21-11-2016,276.5,295.0,270.0,275.35,273.55,324.05,227.45,43078,11946158.7,329,277.31,EQ
22-11-2016,275.5,286.85,267.0,276.1,276.0,324.05,227.45,73927,20352090.3,386,275.3,EQ
23-11-2016,276.0,285.0,273.05,279.2,279.5,324.05,227.45,58677,16339181.1,269,278.46,EQ
24-11-2016,268.05,284.8,268.05,274.0,274.0,324.05,227.45,50385,13951423.05,362,276.9,EQ
25-11-2016,291.65,292.0,272.5,279.7,279.0,324.05,227.45,62728,17315388.3,355,276.04,EQ
28-11-2016,279.5,279.5,266.3,275.85,272.0,324.05,227.45,57802,15920547.35,257,275.43,EQ
29-11-2016,278.0,279.0,270.15,274.6,270.15,324.05,227.45,58584,16185786.7,289,276.28,EQ
30-11-2016,275.0,283.9,268.1,277.5,277.5,324.05,227.45,63982,17586236.8,326,274.86,EQ
01-12-2016,277.5,295.0,263.0,292.35,295.0,324.05,227.45,73039,20381830.15,538,279.05,EQ
02-12-2016,293.0,293.0,272.8,281.9,284.25,324.05,227.45,52062,14790142.25,834,284.09,EQ
05-12-2016,269.0,289.85,269.0,282.85,281.8,324.05,227.45,71369,20138510.55,386,282.17,EQ
06-12-2016,282.3,285.0,275.4,277.8,278.0,324.05,227.45,55148,15569996.7,286,282.33,EQ
07-12-2016,277.5,300.0,277.5,297.3,292.0,324.05,227.45,66429,18749201.8,628,282.24,EQ
08-12-2016,297.3,297.3,280.2,281.75,284.8,324.05,227.45,55015,15837956.8,881,287.88,EQ
09-12-2016,282.0,291.65,282.0,289.7,286.5,324.05,227.45,33622,9540667.95,444,283.76,EQ
12-12-2016,289.0,296.75,283.4,288.45,287.0,324.05,227.45,84348,24543339.85,581,290.98,EQ
13-12-2016,287.0,295.0,275.1,289.35,295.0,324.05,227.45,69046,19536198.55,651,282.94,EQ
14-12-2016,290.0,290.0,281.1,284.0,281.55,324.05,227.45,56245,16063469.65,544,285.6,EQ
15-12-2016,266.0,287.4,266.0,279.1,279.9,324.05,227.45,73688,20812352.1,619,282.44,EQ
16-12-2016,279.05,282.95,277.0,279.45,278.0,324.05,227.45,58497,16415443.5,426,280.62,EQ
19-12-2016,279.5,289.9,278.0,285.65,289.8,324.05,227.45,35779,10020626.2,349,280.07,EQ
20-12-2016,286.0,291.95,278.0,284.1,283.0,324.05,227.45,61254,17160911.05,523,280.16,EQ
21-12-2016,294.0,294.0,272.0,284.55,289.0,324.05,227.45,62998,17866504.8,492,283.6,EQ
22-12-2016,276.0,289.9,276.0,281.2,282.0,324.05,227.45,58243,16483032.55,455,283.0,EQ
23-12-2016,288.7,288.95,276.1,281.65,286.4,324.05,227.45,56566,16015959.7,427,283.14,EQ
26-12-2016,276.0,283.0,276.0,279.85,280.7,324.05,227.45,57855,16168957.35,549,279.47,EQ
27-12-2016,279.95,294.95,279.95,287.1,287.0,324.05,227.45,59107,16845261.3,601,285.0,EQ
28-12-2016,289.95,295.0,283.55,291.4,283.55,324.05,227.45,69122,20057944.85,642,290.18,EQ
29-12-2016,282.1,294.0,282.05,293.05,292.0,324.05,227.45,51754,14962237.6,520,289.1,EQ
30-12-2016,292.95,314.9,285.5,302.45,303.0,324.05,227.45,61724,18140008.2,975,293.89,EQ
02-01-2017,307.2,315.0,292.85,299.3,298.0,324.05,227.45,59736,18097882.45,1263,302.96,EQ
03-01-2017,303.0,307.0,290.15,296.85,297.0,324.05,227.45,44362,13376066.55,912,301.52,EQ
04-01-2017,298.0,300.0,293.0,298.6,298.95,324.05,227.45,46296,13700602.95,898,295.93,EQ
05-01-2017,294.5,307.0,293.5,301.85,298.25,324.05,227.45,41814,12528508.95,1657,299.62,EQ
06-01-2017,290.0,320.0,290.0,304.15,301.05,324.05,227.45,54790,16636954.45,2116,303.65,EQ
09-01-2017,296.0,309.0,295.0,302.1,300.25,324.05,227.45,36850,11138053.4,985,302.25,EQ
10-01-2017,303.9,306.0,296.25,298.55,299.7,324.05,227.45,36964,11137789.2,907,301.31,EQ
11-01-2017,303.7,303.7,289.05,298.85,298.5,324.05,227.45,46634,13751963.7,1351,294.89,EQ
12-01-2017,295.5,314.5,295.2,305.45,304.0,324.05,227.45,56137,16903929.0,1495,301.12,EQ
13-01-2017,307.75,307.75,297.1,300.7,300.9,324.05,227.45,46014,13844163.2,890,300.87,EQ
16-01-2017,290.75,303.25,290.75,298.75,296.2,324.05,227.45,39399,11806561.65,945,299.67,EQ
17-01-2017,309.8,309.8,296.0,300.4,301.0,324.05,227.45,41552,12433599.0,517,299.23,EQ
18-01-2017,299.3,303.5,298.3,299.65,298.3,324.05,227.45,44566,13350271.5,432,299.56,EQ
19-01-2017,299.65,302.6,292.5,297.75,297.0,324.05,227.45,45062,13491807.75,1049,299.41,EQ
20-01-2017,298.0,301.5,292.05,294.85,292.05,324.05,227.45,45506,13510210.25,1383,296.89,EQ
23-01-2017,299.9,310.0,286.0,297.4,296.15,324.05,227.45,43766,12974274.2,304,296.45,EQ
24-01-2017,290.55,303.75,290.55,296.35,295.25,324.05,227.45,46368,13695216.7,431,295.36,EQ
25-01-2017,300.0,304.6,292.0,296.65,295.5,324.05,227.45,70436,21056608.75,933,298.95,EQ
27-01-2017,299.9,299.9,292.0,295.65,293.5,324.05,227.45,51054,15089481.8,392,295.56,EQ
30-01-2017,292.0,297.95,291.0,295.1,294.0,324.05,227.45,58047,17104894.45,368,294.67,EQ
31-01-2017,299.3,307.0,282.05,305.25,297.0,324.05,227.45,116407,34941120.35,1477,300.16,EQ
01-02-2017,300.05,301.85,295.0,297.95,295.0,324.05,227.45,39813,11863796.35,362,297.99,EQ
02-02-2017,299.9,299.95,292.0,295.9,292.0,324.05,227.45,32223,9562288.8,461,296.75,EQ
03-02-2017,297.8,297.95,294.0,296.25,296.35,324.05,227.45,35179,10426544.85,294,296.39,EQ
06-02-2017,295.0,297.5,294.1,295.9,296.35,324.05,227.45,37828,11207943.55,375,296.29,EQ
07-02-2017,296.9,296.9,286.1,292.55,292.9,324.05,227.45,53585,15665034.0,405,292.34,EQ
08-02-2017,294.0,294.0,287.1,288.95,289.8,324.05,227.45,35468,10327673.25,368,291.18,EQ
09-02-2017,285.0,290.5,284.5,284.95,284.5,324.05,227.45,31381,9012894.2,387,287.21,EQ
10-02-2017,289.55,294.9,278.1,292.6,292.05,324.05,227.45,65643,18950882.1,631,288.7,EQ
13-02-2017,281.7,293.75,281.0,287.7,289.9,324.05,227.45,37750,10927540.6,165,289.47,EQ
14-02-2017,285.75,293.9,285.35,289.15,289.35,324.05,227.45,46108,13339638.5,315,289.31,EQ
15-02-2017,286.2,292.45,282.0,285.25,285.0,324.05,227.45,51756,14804470.8,465,286.04,EQ
16-02-2017,293.0,293.0,283.1,287.55,286.05,324.05,227.45,49021,14062150.1,302,286.86,EQ
17-02-2017,286.05,290.0,283.0,287.55,289.5,324.05,227.45,53680,15359825.35,261,286.14,EQ
20-02-2017,285.0,291.6,279.0,282.25,279.0,324.05,227.45,55274,15740117.0,400,284.77,EQ
21-02-2017,282.0,287.7,275.0,278.9,280.0,324.05,227.45,47988,13550993.9,247,282.38,EQ
22-02-2017,281.05,282.0,267.95,273.05,271.5,324.05,227.45,45571,12542713.8,439,275.23,EQ
23-02-2017,277.0,286.7,275.0,277.85,278.0,324.05,227.45,34649,9636418.65,258,278.12,EQ
27-02-2017,280.75,292.95,280.0,285.4,280.0,324.05,227.45,41130,11842626.25,190,287.93,EQ
28-02-2017,284.5,285.95,277.15,278.1,278.0,324.05,227.45,42927,12162974.5,424,283.34,EQ
01-03-2017,279.8,280.25,271.3,272.9,272.25,324.05,227.45,42115,11565593.95,407,274.62,EQ
02-03-2017,279.95,281.8,262.0,270.75,271.95,324.05,227.45,62629,17143578.3,294,273.73,EQ
03-03-2017,269.4,276.0,266.85,270.6,270.5,324.05,227.45,42310,11482345.35,242,271.39,EQ
06-03-2017,268.0,286.9,264.0,284.55,284.0,324.05,227.45,23362,6441024.8,252,275.71,EQ
07-03-2017,279.65,285.0,276.5,278.55,280.0,324.05,227.45,38900,10882311.5,288,279.75,EQ
08-03-2017,280.0,284.75,270.0,271.45,271.0,324.05,227.45,46074,12630649.85,114,274.14,EQ
09-03-2017,276.85,277.0,265.0,268.95,273.25,324.05,227.45,38255,10324388.25,361,269.88,EQ
10-03-2017,278.95,278.95,256.5,268.9,262.1,324.05,227.45,52995,14326177.25,528,270.33,EQ
