DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,125.0,125.0,124.0,124.0,,,,200,24900.0,,124.5,EQ
02-01-1996,123.0,123.5,122.05,122.05,,,,600,73815.0,,123.03,EQ
05-01-1996,126.0,126.0,117.25,117.25,,,,600,71225.0,,118.71,EQ
08-01-1996,115.0,115.0,112.0,114.0,,,,400,45600.0,,114.0,EQ
09-01-1996,114.0,115.0,114.0,115.0,,,,800,91800.0,,114.75,EQ
10-01-1996,115.0,115.0,113.05,113.75,,,,300,34115.0,,113.72,EQ
11-01-1996,115.0,115.5,115.0,115.5,,,,300,34600.0,,115.33,EQ
12-01-1996,115.5,117.0,116.5,117.0,,,,500,58300.0,,116.6,EQ
15-01-1996,117.0,116.0,114.95,116.0,,,,300,34595.0,,115.32,EQ
16-01-1996,116.0,116.0,115.0,116.0,,,,300,34700.0,,115.67,EQ
17-01-1996,117.0,117.0,117.0,117.0,,,,100,11700.0,,117.0,EQ
18-01-1996,117.0,117.0,117.0,117.0,,,,100,11700.0,,117.0,EQ
19-01-1996,117.0,117.0,115.1,115.1,,,,400,46230.0,,115.58,EQ
22-01-1996,111.0,111.0,110.15,110.6,,,,400,44315.0,,110.79,EQ
23-01-1996,110.0,110.0,108.3,108.35,,,,500,54345.0,,108.69,EQ
24-01-1996,110.75,111.0,110.0,110.0,,,,500,55365.0,,110.73,EQ
25-01-1996,105.55,105.55,105.55,105.55,,,,200,21110.0,,105.55,EQ
29-01-1996,105.55,101.0,101.0,101.0,,,,100,10100.0,,101.0,EQ
30-01-1996,101.0,105.75,105.0,105.65,,,,600,63245.0,,105.41,EQ
01-02-1996,115.0,115.0,115.0,115.0,,,,200,23000.0,,115.0,EQ
02-02-1996,115.0,121.9,119.75,119.75,,,,700,84215.0,,120.31,EQ
05-02-1996,115.0,123.0,115.0,123.0,,,,800,97060.0,,121.33,EQ
06-02-1996,125.0,126.5,125.0,125.0,,,,1200,150850.0,,125.71,EQ
07-02-1996,115.0,116.0,115.0,116.0,,,,300,34625.0,,115.42,EQ
08-02-1996,117.0,125.0,117.0,124.0,,,,400,48500.0,,121.25,EQ
09-02-1996,128.0,130.0,128.0,130.0,,,,200,25800.0,,129.0,EQ
12-02-1996,129.5,130.05,129.5,130.05,,,,200,25955.0,,129.78,EQ
13-02-1996,130.05,130.0,128.75,130.0,,,,700,90720.0,,129.6,EQ
14-02-1996,130.0,135.0,131.05,135.0,,,,900,121105.0,,134.56,EQ
15-02-1996,135.0,138.75,133.0,138.0,,,,700,95875.0,,136.96,EQ
16-02-1996,134.05,136.0,134.05,134.55,,,,400,53910.0,,134.78,EQ
19-02-1996,135.0,139.5,135.0,138.0,,,,1100,150835.0,,137.12,EQ
20-02-1996,135.1,139.45,135.1,137.0,,,,800,109805.0,,137.26,EQ
22-02-1996,140.0,142.0,140.0,142.0,,,,200,28200.0,,141.0,EQ
23-02-1996,142.0,142.0,140.0,142.0,,,,900,127100.0,,141.22,EQ
26-02-1996,142.0,144.75,141.0,144.5,,,,600,86100.0,,143.5,EQ
27-02-1996,144.5,141.25,136.6,136.8,,,,600,83525.0,,139.21,EQ
28-02-1996,136.8,142.0,140.0,142.0,,,,800,112890.0,,141.11,EQ
29-02-1996,140.1,140.1,140.1,140.1,,,,400,56040.0,,140.1,EQ
01-03-1996,140.1,136.0,134.0,136.0,,,,500,67490.0,,134.98,EQ
04-03-1996,137.95,138.0,131.1,131.1,,,,800,108525.0,,135.66,EQ
06-03-1996,136.5,136.5,136.0,136.0,,,,200,27250.0,,136.25,EQ
07-03-1996,134.5,136.0,134.5,135.05,,,,300,40555.0,,135.18,EQ
08-03-1996,135.05,135.0,135.0,135.0,,,,500,67500.0,,135.0,EQ
