DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-08-2010,15.5,15.65,14.6,14.9,14.9,15.65,14.6,46508,710790.3,,15.28,EQ
24-08-2010,15.25,15.25,14.5,14.9,14.9,15.65,14.5,3112,46152.1,,14.83,EQ
25-08-2010,15.2,15.85,14.5,14.85,15.0,15.85,14.5,16724,247810.2,,14.82,EQ
26-08-2010,14.35,15.25,14.35,14.9,14.9,15.85,14.35,26534,394712.75,,14.88,EQ
27-08-2010,14.3,16.8,14.3,15.45,15.25,16.8,14.3,70683,1120071.05,,15.85,EQ
30-08-2010,15.0,15.25,14.8,14.9,14.9,16.8,14.3,10125,151126.85,,14.93,EQ
31-08-2010,15.25,15.65,14.6,15.0,15.0,16.8,14.3,10148,153094.4,,15.09,EQ
01-09-2010,15.05,15.5,14.85,15.2,15.15,16.8,14.3,6914,104637.1,,15.13,EQ
02-09-2010,14.55,16.35,14.55,15.75,15.55,16.8,14.3,67701,1068536.35,,15.78,EQ
03-09-2010,16.75,16.75,15.05,15.25,15.25,16.8,14.3,24764,384087.3,,15.51,EQ
06-09-2010,15.3,15.3,14.9,14.95,14.95,16.8,14.3,20091,301687.6,,15.02,EQ
07-09-2010,14.85,15.5,14.85,15.1,15.1,16.8,14.3,9303,141161.6,,15.17,EQ
08-09-2010,15.65,15.75,15.5,15.7,15.65,16.8,14.3,13242,207061.55,,15.64,EQ
09-09-2010,15.2,15.9,15.2,15.5,15.3,16.8,14.3,10150,157001.15,,15.47,EQ
13-09-2010,14.65,15.85,14.65,15.2,15.15,16.8,14.3,15606,241432.65,,15.47,EQ
14-09-2010,15.2,15.9,15.05,15.2,15.1,16.8,14.3,10207,155603.6,,15.24,EQ
15-09-2010,15.1,15.8,13.25,15.2,15.2,16.8,13.25,38168,576862.3,,15.11,EQ
16-09-2010,15.2,15.65,15.2,15.25,15.4,16.8,13.25,59311,918973.4,,15.49,EQ
17-09-2010,16.1,16.1,14.9,15.55,15.5,16.8,13.25,43902,670954.0,,15.28,EQ
20-09-2010,15.15,16.9,15.15,16.6,16.65,16.9,13.25,109667,1784058.2,,16.27,EQ
21-09-2010,16.55,16.6,15.5,15.85,16.0,16.9,13.25,51597,833135.7,,16.15,EQ
22-09-2010,15.7,16.25,15.7,15.8,15.8,16.9,13.25,10195,162405.0,,15.93,EQ
23-09-2010,16.25,16.4,15.7,16.2,16.35,16.9,13.25,15955,257290.95,,16.13,EQ
24-09-2010,16.25,16.25,15.65,15.9,15.75,16.9,13.25,18587,298201.7,,16.04,EQ
27-09-2010,15.75,17.75,15.65,17.1,17.0,17.75,13.25,105202,1774692.4,,16.87,EQ
28-09-2010,17.0,17.5,16.75,17.0,17.2,17.75,13.25,51839,886586.2,,17.1,EQ
29-09-2010,17.35,17.35,16.6,16.75,16.9,17.75,13.25,30158,512169.6,,16.98,EQ
30-09-2010,17.7,18.95,16.5,18.0,17.9,18.95,13.25,269396,4901789.35,,18.2,EQ
01-10-2010,18.0,18.45,17.75,17.9,18.0,18.95,13.25,73056,1326133.65,,18.15,EQ
04-10-2010,17.9,18.3,17.7,17.85,17.8,18.95,13.25,35182,633435.65,,18.0,EQ
05-10-2010,18.0,18.1,17.5,17.5,17.5,18.95,13.25,19255,341045.75,,17.71,EQ
06-10-2010,17.55,17.95,17.55,17.65,17.65,18.95,13.25,11254,199796.4,,17.75,EQ
07-10-2010,17.95,18.0,17.0,17.25,17.4,18.95,13.25,18138,315177.85,,17.38,EQ
08-10-2010,17.25,17.25,16.55,16.75,16.85,18.95,13.25,17230,289893.95,,16.82,EQ
11-10-2010,16.75,17.4,16.65,16.9,16.95,18.95,13.25,14366,242399.0,,16.87,EQ
12-10-2010,16.9,16.9,16.1,16.35,16.3,18.95,13.25,27365,447606.65,,16.36,EQ
13-10-2010,16.5,17.1,16.2,16.55,16.75,18.95,13.25,36881,608805.45,,16.51,EQ
