DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
11-08-2021,114.85,115.85,108.55,114.5,114.25,115.85,108.55,21750,2467537.9,278,113.45,EQ
12-08-2021,109.1,122.3,109.1,120.75,120.6,122.3,108.55,109530,13171004.85,2016,120.25,EQ
13-08-2021,121.5,129.0,116.25,121.35,121.0,129.0,108.55,43511,5301039.3,738,121.83,EQ
16-08-2021,122.25,144.0,118.6,122.1,121.9,144.0,108.55,51883,6429125.15,1799,123.92,EQ
17-08-2021,127.7,127.7,119.4,124.0,124.5,144.0,108.55,24401,3021743.45,521,123.84,EQ
18-08-2021,120.5,138.65,120.5,131.4,131.0,144.0,108.55,314206,41352487.6,5915,131.61,EQ
20-08-2021,132.25,134.0,122.0,128.35,130.0,144.0,108.55,70346,9183507.35,1297,130.55,EQ
23-08-2021,128.25,134.35,120.0,122.5,122.0,144.0,108.55,65533,8146968.55,1236,124.32,EQ
24-08-2021,121.0,128.9,115.0,115.45,115.0,144.0,108.55,44960,5255143.35,713,116.88,EQ
25-08-2021,117.8,117.8,112.85,115.05,115.9,144.0,108.55,80579,9305348.35,616,115.48,EQ
26-08-2021,118.0,118.0,112.25,114.35,114.25,144.0,108.55,27681,3177768.4,292,114.8,EQ
27-08-2021,114.25,115.8,113.0,115.55,115.8,144.0,108.55,24226,2765920.1,251,114.17,EQ
30-08-2021,116.0,121.9,116.0,117.55,117.5,144.0,108.55,33758,4036385.3,789,119.57,EQ
31-08-2021,119.8,119.8,116.0,117.1,117.2,144.0,108.55,35710,4200398.05,418,117.63,EQ
01-09-2021,118.6,118.6,115.0,118.05,118.0,144.0,108.55,13074,1534337.2,185,117.36,EQ
02-09-2021,119.85,120.9,117.0,118.95,119.0,144.0,108.55,12777,1514424.35,292,118.53,EQ
03-09-2021,116.6,121.0,116.6,118.9,118.75,144.0,108.55,21208,2528231.7,218,119.21,EQ
06-09-2021,119.9,123.8,117.55,119.35,118.55,144.0,108.55,9642,1158691.4,237,120.17,EQ
07-09-2021,123.0,123.0,117.65,120.85,119.05,144.0,108.55,27272,3267067.9,333,119.8,EQ
08-09-2021,121.8,122.5,118.85,119.5,119.85,144.0,108.55,26292,3154464.65,338,119.98,EQ
09-09-2021,119.8,121.0,119.0,119.3,119.9,144.0,108.55,9675,1160247.3,124,119.92,EQ
13-09-2021,117.75,120.0,117.75,118.15,118.25,144.0,108.55,12658,1499866.25,270,118.49,EQ
14-09-2021,117.7,119.75,116.75,117.1,117.0,144.0,108.55,29705,3493949.25,252,117.62,EQ
15-09-2021,119.5,119.5,116.0,117.2,117.65,144.0,108.55,30145,3539517.05,906,117.42,EQ
16-09-2021,119.0,123.95,117.1,120.55,120.25,144.0,108.55,36576,4401982.25,373,120.35,EQ
17-09-2021,121.9,129.75,118.05,123.7,125.0,144.0,108.55,138673,16935580.75,1042,122.13,EQ
20-09-2021,123.75,130.0,121.0,125.7,127.0,144.0,108.55,124219,15875535.55,1103,127.8,EQ
21-09-2021,126.1,130.0,120.5,128.35,128.95,144.0,108.55,136931,17281523.65,1614,126.21,EQ
22-09-2021,127.05,133.7,127.05,128.8,129.4,144.0,108.55,49741,6418451.0,723,129.04,EQ
23-09-2021,129.4,133.0,125.95,127.3,128.25,144.0,108.55,227262,29423406.95,2876,129.47,EQ
24-09-2021,132.0,132.9,125.75,127.9,126.55,144.0,108.55,30749,3929418.65,715,127.79,EQ
27-09-2021,129.8,132.0,127.55,128.8,129.0,144.0,108.55,43597,5627130.95,700,129.07,EQ
28-09-2021,130.9,130.9,126.5,128.1,128.45,144.0,108.55,24205,3098872.65,331,128.03,EQ
29-09-2021,127.0,129.85,122.1,124.2,124.5,144.0,108.55,26532,3343387.25,597,126.01,EQ
30-09-2021,124.2,129.5,124.0,128.55,128.7,144.0,108.55,45672,5849628.7,981,128.08,EQ
01-10-2021,128.5,128.5,121.0,125.2,125.0,144.0,108.55,56598,7067087.15,960,124.86,EQ
04-10-2021,125.9,128.0,124.7,126.85,127.45,144.0,108.55,80712,10218208.95,709,126.6,EQ
05-10-2021,128.2,129.0,124.5,127.0,127.9,144.0,108.55,84627,10708040.75,922,126.53,EQ
06-10-2021,127.9,148.7,126.65,131.4,130.1,148.7,108.55,650296,87941166.5,6570,135.23,EQ
07-10-2021,143.9,143.9,127.35,127.95,128.0,148.7,108.55,387556,50298914.25,3828,129.78,EQ
08-10-2021,129.65,130.35,126.0,127.5,128.0,148.7,108.55,143506,18309174.6,1732,127.58,EQ
11-10-2021,137.0,137.0,127.5,128.65,128.6,148.7,108.55,165163,21260935.35,1519,128.73,EQ
12-10-2021,130.1,130.1,128.1,128.95,129.75,148.7,108.55,50203,6474892.95,636,128.97,EQ
13-10-2021,132.4,132.4,129.35,130.05,130.0,148.7,108.55,72213,9396752.6,873,130.13,EQ
14-10-2021,132.55,132.55,128.05,129.95,129.45,148.7,108.55,82909,10756555.05,701,129.74,EQ
18-10-2021,132.55,132.55,129.75,130.25,130.05,148.7,108.55,321320,41861284.3,1054,130.28,EQ
19-10-2021,132.45,134.05,130.0,131.3,132.0,148.7,108.55,147641,19554492.05,1748,132.45,EQ
20-10-2021,134.0,157.55,130.0,152.95,157.55,157.55,108.55,1167772,172028009.15,11828,147.31,EQ
21-10-2021,159.15,182.95,158.0,166.5,167.3,182.95,108.55,1731645,299488239.55,27347,172.95,EQ
22-10-2021,168.35,175.95,162.45,172.35,173.0,182.95,108.55,401070,68738913.95,9349,171.39,EQ
25-10-2021,175.45,202.0,146.1,176.6,175.95,202.0,108.55,788598,143727037.55,15253,182.26,EQ
