DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-01-2004,10.0,75.0,10.0,34.8,33.9,0.0,0.0,122321,4689064.4,,38.33,EQ
27-01-2004,35.0,37.0,27.85,27.85,27.85,75.0,10.0,96020,3000887.6,,31.25,EQ
28-01-2004,27.5,27.5,22.3,22.3,22.3,75.0,10.0,85596,1986388.45,,23.21,EQ
29-01-2004,21.7,23.5,17.85,19.15,18.75,75.0,10.0,314153,6122206.7,,19.49,EQ
30-01-2004,19.9,20.0,17.25,17.25,17.25,75.0,10.0,105247,1935799.15,,18.39,EQ
03-02-2004,17.0,17.0,15.55,15.55,15.55,75.0,10.0,77292,1210006.75,,15.66,EQ
04-02-2004,14.25,15.65,14.0,14.15,14.25,75.0,10.0,200739,2873183.95,,14.31,EQ
05-02-2004,15.4,15.4,12.75,12.75,12.75,75.0,10.0,84372,1114269.25,,13.21,EQ
06-02-2004,13.4,14.05,12.55,14.05,14.05,75.0,10.0,82597,1111169.2,,13.45,EQ
09-02-2004,15.2,15.5,12.85,13.8,13.6,75.0,10.0,242784,3329869.15,,13.72,EQ
10-02-2004,13.8,13.8,12.45,12.55,12.5,75.0,10.0,173677,2230619.05,,12.84,EQ
11-02-2004,12.65,13.45,12.1,12.8,12.75,75.0,10.0,126169,1638717.45,,12.99,EQ
12-02-2004,13.0,13.2,12.4,12.6,12.5,75.0,10.0,66273,849397.5,,12.82,EQ
13-02-2004,13.8,13.8,11.65,11.95,11.95,75.0,10.0,78443,970432.3,,12.37,EQ
16-02-2004,12.1,13.15,11.8,13.15,13.15,75.0,10.0,118331,1456155.85,,12.31,EQ
17-02-2004,13.25,14.5,12.8,14.35,14.5,75.0,10.0,904453,12525369.75,,13.85,EQ
18-02-2004,14.6,15.7,14.25,15.05,15.0,75.0,10.0,352669,5311022.95,,15.06,EQ
19-02-2004,14.95,15.1,13.75,13.95,13.75,75.0,10.0,149246,2126762.1,,14.25,EQ
