DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-02-2020,58.8,61.65,55.9,60.1,60.1,61.65,55.9,18934,1094294.65,247,57.8,BE
17-02-2020,59.8,63.1,59.65,60.0,60.0,63.1,55.9,4685,290432.05,45,61.99,BE
18-02-2020,62.8,63.0,62.8,63.0,63.0,63.1,55.9,629,39618.6,15,62.99,BE
19-02-2020,66.05,66.15,66.05,66.15,66.15,66.15,55.9,614,40614.2,20,66.15,BE
20-02-2020,69.45,69.45,69.45,69.45,69.45,69.45,55.9,658,45698.1,15,69.45,BE
24-02-2020,72.9,72.9,69.45,72.75,72.75,72.9,55.9,8483,616455.75,108,72.67,BE
25-02-2020,75.6,75.6,69.15,73.0,73.0,75.6,55.9,1744,122462.45,47,70.22,BE
26-02-2020,70.7,73.9,70.15,73.0,73.0,75.6,55.9,3572,260272.1,51,72.86,BE
27-02-2020,69.35,75.55,69.35,69.4,69.35,75.6,55.9,9626,681712.75,88,70.82,BE
28-02-2020,70.0,70.0,65.95,65.95,65.95,75.6,55.9,815,54185.2,22,66.48,BE
02-03-2020,78.7,78.7,57.05,61.45,57.05,78.7,57.05,1465,93443.35,40,63.78,EQ
03-03-2020,61.5,62.5,54.55,57.65,57.65,78.7,54.55,3123,181757.4,57,58.2,EQ
04-03-2020,55.0,58.95,51.0,54.95,55.85,78.7,51.0,1189,63352.75,50,53.28,EQ
05-03-2020,50.05,65.9,50.05,59.8,56.0,78.7,50.05,2633,155008.05,59,58.87,EQ
06-03-2020,66.4,66.4,50.05,58.4,59.45,78.7,50.05,1310,73475.0,118,56.09,EQ
09-03-2020,47.0,59.9,47.0,51.3,50.6,78.7,47.0,3038,160119.65,81,52.71,EQ
11-03-2020,45.7,58.3,42.35,50.0,50.0,78.7,42.35,3784,195094.3,85,51.56,EQ
12-03-2020,41.05,54.4,41.05,51.05,50.0,78.7,41.05,5844,289334.5,392,49.51,EQ
13-03-2020,41.55,50.4,41.0,46.35,45.55,78.7,41.0,7622,339917.6,121,44.6,EQ
16-03-2020,45.0,49.9,39.2,43.4,42.5,78.7,39.2,1227,54799.0,50,44.66,EQ
17-03-2020,42.05,52.0,38.0,49.0,52.0,78.7,38.0,3590,168179.7,151,46.85,EQ
18-03-2020,49.0,56.75,42.05,45.5,45.0,78.7,38.0,923,42963.1,126,46.55,EQ
19-03-2020,45.0,50.0,40.0,45.4,44.95,78.7,38.0,4006,171491.3,146,42.81,EQ
20-03-2020,48.0,53.5,42.5,50.05,53.5,78.7,38.0,5833,278733.55,569,47.79,EQ
23-03-2020,40.2,60.0,40.2,57.25,60.0,78.7,38.0,2702,143703.3,72,53.18,EQ
24-03-2020,62.0,62.95,51.55,56.3,59.2,78.7,38.0,7140,426843.25,118,59.78,EQ
25-03-2020,50.9,61.9,50.9,58.9,60.9,78.7,38.0,2055,117458.25,112,57.16,EQ
26-03-2020,62.85,62.85,55.0,59.6,62.6,78.7,38.0,648,37603.4,43,58.03,EQ
27-03-2020,55.2,59.0,55.1,56.35,58.0,78.7,38.0,1918,107755.35,52,56.18,EQ
30-03-2020,51.2,59.9,51.2,53.75,51.5,78.7,38.0,423,22440.85,20,53.05,EQ
31-03-2020,52.25,53.8,52.25,52.65,52.65,78.7,38.0,716,37593.25,13,52.5,EQ
01-04-2020,54.95,57.0,51.0,53.05,53.45,78.7,38.0,13734,757467.35,41,55.15,EQ
03-04-2020,52.0,52.0,50.1,50.85,50.75,78.7,38.0,261,13283.85,9,50.9,EQ
07-04-2020,50.85,55.5,46.55,54.0,54.0,78.7,38.0,1066,55599.35,43,52.16,EQ
08-04-2020,57.65,57.95,57.65,57.95,57.95,78.7,38.0,585,33750.3,17,57.69,EQ
09-04-2020,54.3,57.95,54.0,57.5,57.5,78.7,38.0,1522,82505.75,13,54.21,EQ
13-04-2020,58.0,58.0,51.25,53.05,53.05,78.7,38.0,989,54195.3,24,54.8,EQ
15-04-2020,57.4,59.5,52.0,57.5,58.95,78.7,38.0,2687,154480.2,57,57.49,EQ
16-04-2020,57.5,57.5,53.05,54.4,54.4,78.7,38.0,1014,55832.1,35,55.06,EQ
17-04-2020,55.0,59.2,53.75,57.7,57.7,78.7,38.0,1566,90070.0,35,57.52,EQ
20-04-2020,55.55,59.35,52.0,54.45,54.65,78.7,38.0,12691,683925.7,95,53.89,EQ
21-04-2020,54.3,57.0,48.0,54.0,54.0,78.7,38.0,2124,112890.25,32,53.15,EQ
22-04-2020,52.0,56.0,49.15,54.75,55.5,78.7,38.0,1115,60188.4,35,53.98,EQ
23-04-2020,47.1,62.4,45.8,59.1,59.1,78.7,38.0,5319,300838.25,95,56.56,EQ
24-04-2020,58.0,62.0,54.05,58.5,58.5,78.7,38.0,1147,66208.5,42,57.72,EQ
27-04-2020,59.0,63.95,58.0,59.2,59.2,78.7,38.0,4696,289455.65,57,61.64,EQ
28-04-2020,59.5,67.5,59.5,64.6,67.5,78.7,38.0,1288,80744.25,31,62.69,EQ
29-04-2020,64.0,64.9,60.0,62.0,62.0,78.7,38.0,4234,264676.5,72,62.51,EQ
30-04-2020,61.25,66.95,61.25,63.1,62.9,78.7,38.0,2141,134658.2,29,62.9,EQ
