DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-02-2007,194.0,198.0,175.0,180.9,180.0,198.0,175.0,47391,8903506.65,,187.87,EQ
05-02-2007,186.0,186.0,175.1,178.5,175.1,198.0,175.0,3814,691273.1,,181.25,EQ
06-02-2007,162.75,170.0,162.75,166.8,167.5,198.0,162.75,3523,590434.05,,167.59,EQ
07-02-2007,170.0,185.0,170.0,170.65,170.3,198.0,162.75,1010,174203.9,,172.48,EQ
08-02-2007,166.5,170.0,163.1,167.15,166.0,198.0,162.75,830,138389.75,,166.73,EQ
09-02-2007,164.25,170.0,164.25,165.45,165.0,198.0,162.75,799,133865.4,,167.54,EQ
12-02-2007,165.0,165.0,155.0,156.95,156.95,198.0,155.0,722,112697.0,,156.09,EQ
13-02-2007,158.0,164.0,151.0,153.55,151.4,198.0,151.0,635,99170.6,,156.17,EQ
14-02-2007,152.1,155.0,152.1,155.0,155.0,198.0,151.0,282,42996.7,,152.47,EQ
15-02-2007,163.95,163.95,156.0,158.9,158.0,198.0,151.0,67,10698.4,,159.68,EQ
19-02-2007,155.1,163.0,155.1,156.0,156.0,198.0,151.0,366,57277.25,,156.5,EQ
20-02-2007,155.55,155.55,155.0,155.3,155.0,198.0,151.0,158,24547.15,,155.36,EQ
21-02-2007,150.0,159.0,149.0,155.2,150.3,198.0,149.0,1262,193831.6,,153.59,EQ
22-02-2007,154.25,158.0,154.1,154.5,158.0,198.0,149.0,150,23164.6,,154.43,EQ
23-02-2007,155.0,159.45,155.0,159.45,159.45,198.0,149.0,140,21878.0,,156.27,EQ
26-02-2007,149.5,155.0,141.05,150.0,150.0,198.0,141.05,990,144031.75,,145.49,EQ
28-02-2007,142.05,142.05,142.05,142.05,142.05,198.0,141.05,20,2841.0,,142.05,EQ
01-03-2007,137.0,150.0,137.0,148.5,148.5,198.0,137.0,526,74437.0,,141.52,EQ
