DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
21-07-2023,40.0,48.0,37.2,48.0,48.0,48.0,37.2,265460620,11469387180.5,311339,43.21,EQ
24-07-2023,52.95,56.3,50.2,51.3,51.85,56.3,37.2,115622544,6191890556.85,338899,53.55,EQ
25-07-2023,52.5,53.85,48.75,51.2,51.55,56.3,37.2,31533256,1629952042.2,128843,51.69,EQ
26-07-2023,52.0,52.2,49.9,50.1,50.25,56.3,37.2,8829772,447180964.15,42074,50.64,EQ
27-07-2023,49.95,50.45,48.0,48.15,48.25,56.3,37.2,8765735,426392460.2,40374,48.64,EQ
28-07-2023,48.95,51.65,48.6,51.25,51.4,56.3,37.2,14506626,737130763.05,55174,50.81,EQ
31-07-2023,52.0,52.6,51.0,51.45,51.5,56.3,37.2,7674595,396641625.55,28297,51.68,EQ
01-08-2023,51.65,51.9,50.6,51.1,51.25,56.3,37.2,4207530,214871838.4,22159,51.07,EQ
02-08-2023,51.2,51.6,48.8,49.85,49.85,56.3,37.2,6582622,329710327.0,27706,50.09,EQ
03-08-2023,50.4,51.2,49.5,50.4,50.45,56.3,37.2,3790377,190204982.85,17341,50.18,EQ
04-08-2023,50.85,51.4,50.0,50.75,50.9,56.3,37.2,3991555,202902870.5,17688,50.83,EQ
07-08-2023,51.75,54.95,50.9,53.3,53.4,56.3,37.2,15148835,802740285.55,40656,52.99,EQ
08-08-2023,53.8,53.8,51.15,51.6,51.8,56.3,37.2,6930700,361900555.75,25478,52.22,EQ
09-08-2023,51.0,51.3,49.6,50.35,50.35,56.3,37.2,6089259,306724216.6,26338,50.37,EQ
10-08-2023,50.0,51.65,50.0,50.35,50.4,56.3,37.2,3365576,171184821.05,15613,50.86,EQ
11-08-2023,50.4,51.3,50.35,50.9,50.85,56.3,37.2,2195425,111690397.3,9197,50.87,EQ
14-08-2023,51.0,51.15,49.9,50.55,50.4,56.3,37.2,2560844,129119001.0,12580,50.42,EQ
16-08-2023,50.5,52.25,50.25,51.65,51.55,56.3,37.2,3786319,194835660.8,14632,51.46,EQ
17-08-2023,51.0,51.0,48.9,49.0,49.0,56.3,37.2,7062918,350694968.4,33616,49.65,EQ
18-08-2023,49.1,49.6,47.6,48.2,48.25,56.3,37.2,5971511,288886570.0,24251,48.38,EQ
21-08-2023,48.45,49.0,47.6,47.75,48.0,56.3,37.2,3696307,177315769.15,17605,47.97,EQ
22-08-2023,48.0,49.0,47.6,47.75,47.65,56.3,37.2,4257457,205301970.3,16252,48.22,EQ
23-08-2023,47.8,48.4,47.4,47.65,47.7,56.3,37.2,2858126,136589892.25,15134,47.79,EQ
24-08-2023,47.8,48.5,47.4,48.1,48.4,56.3,37.2,4583853,219629291.8,15552,47.91,EQ
25-08-2023,48.35,49.35,47.95,49.05,49.0,56.3,37.2,5463062,266945067.7,12964,48.86,EQ
28-08-2023,49.45,49.45,47.85,48.55,48.5,56.3,37.2,2718149,131569118.45,12175,48.4,EQ
29-08-2023,48.75,49.15,48.0,48.25,48.2,56.3,37.2,2953267,143728877.2,14026,48.67,EQ
30-08-2023,48.5,49.05,47.8,48.05,48.15,56.3,37.2,1722568,83430554.95,8101,48.43,EQ
31-08-2023,48.4,48.6,47.45,47.8,47.9,56.3,37.2,1702358,81364065.95,9491,47.79,EQ
01-09-2023,47.8,48.35,47.7,48.0,48.1,56.3,37.2,1322282,63461434.0,8799,47.99,EQ
04-09-2023,48.5,48.6,47.7,48.1,48.25,56.3,37.2,2256946,108321325.9,11401,47.99,EQ
05-09-2023,47.75,48.95,47.75,48.5,48.5,56.3,37.2,2738046,132480086.35,11412,48.38,EQ
06-09-2023,48.65,48.65,47.95,48.1,48.15,56.3,37.2,1622237,78150707.4,7656,48.17,EQ
07-09-2023,48.15,48.4,47.85,48.05,48.1,56.3,37.2,1603541,77090990.2,7217,48.08,EQ
08-09-2023,48.3,49.4,47.75,48.1,48.1,56.3,37.2,7520898,363011960.4,13632,48.27,EQ
11-09-2023,48.4,48.55,47.85,47.95,47.95,56.3,37.2,2888628,139135036.5,10927,48.17,EQ
12-09-2023,48.0,48.1,45.9,47.6,48.1,56.3,37.2,5299888,250355739.4,23222,47.24,EQ
13-09-2023,47.9,50.45,46.65,49.6,49.45,56.3,37.2,9240077,454947665.1,20921,49.24,EQ
14-09-2023,50.1,50.3,49.0,49.45,49.25,56.3,37.2,2585561,128253554.55,9136,49.6,EQ
15-09-2023,49.8,52.3,49.25,50.55,50.5,56.3,37.2,8829787,450277462.9,20972,51.0,EQ
18-09-2023,50.95,53.0,50.4,51.6,51.65,56.3,37.2,10010300,518771491.05,22535,51.82,EQ
20-09-2023,51.75,54.1,50.55,51.35,51.65,56.3,37.2,8062744,423105653.1,19763,52.48,EQ
21-09-2023,51.3,51.7,49.75,49.9,49.95,56.3,37.2,3072338,154887957.35,11257,50.41,EQ
22-09-2023,49.8,50.75,49.2,50.0,50.1,56.3,37.2,2000322,99959976.45,8289,49.97,EQ
25-09-2023,50.35,50.4,49.75,50.05,50.0,56.3,37.2,907105,45396046.5,4890,50.04,EQ
26-09-2023,50.15,50.85,49.5,49.75,49.75,56.3,37.2,1840882,92085056.85,6778,50.02,EQ
27-09-2023,49.95,51.2,49.25,50.0,50.1,56.3,37.2,3395217,170645233.5,12275,50.26,EQ
28-09-2023,50.3,51.9,50.2,50.95,51.05,56.3,37.2,3021148,154851601.6,10451,51.26,EQ
29-09-2023,51.5,52.1,51.05,51.25,51.4,56.3,37.2,2009106,103499190.2,8262,51.52,EQ
03-10-2023,51.5,52.7,51.2,51.6,51.6,56.3,37.2,2734866,141654131.2,9696,51.8,EQ
04-10-2023,51.5,53.15,51.0,51.35,51.4,56.3,37.2,4346738,226198452.2,13989,52.04,EQ
05-10-2023,51.65,61.6,51.65,59.55,59.6,61.6,37.2,69218167,4074021891.1,135797,58.86,EQ
06-10-2023,60.3,60.9,58.1,58.75,58.95,61.6,37.2,24078050,1429872805.15,57199,59.38,EQ
09-10-2023,57.1,57.3,53.05,54.05,54.1,61.6,37.2,19141335,1051142088.65,57681,54.91,EQ
10-10-2023,54.45,56.7,53.8,56.35,56.5,61.6,37.2,12586119,697905411.8,28458,55.45,EQ
11-10-2023,57.3,58.15,56.0,56.55,56.4,61.6,37.2,9751789,555506088.75,24161,56.96,EQ
12-10-2023,56.85,56.95,55.25,55.7,55.8,61.6,37.2,4272916,238977998.0,13002,55.93,EQ
