DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
06-04-2004,52.0,52.5,42.1,52.5,52.5,0.0,0.0,3,146.6,,48.87,EQ
07-04-2004,42.6,52.5,42.6,52.5,52.5,52.5,42.1,50,2377.5,,47.55,EQ
15-04-2004,45.0,51.75,45.0,51.5,51.75,52.5,42.1,220,11202.5,,50.92,EQ
19-04-2004,45.0,45.0,45.0,45.0,45.0,52.5,42.1,10,450.0,,45.0,EQ
21-04-2004,48.0,48.0,48.0,48.0,48.0,52.5,42.1,50,2400.0,,48.0,EQ
22-04-2004,49.0,49.0,49.0,49.0,49.0,52.5,42.1,88,4312.0,,49.0,EQ
30-04-2004,56.95,56.95,45.55,56.9,56.9,52.5,42.1,300,16956.55,,56.52,EQ
03-05-2004,50.0,50.0,50.0,50.0,50.0,56.95,42.1,20,1000.0,,50.0,EQ
04-05-2004,59.7,59.7,50.5,55.3,55.3,56.95,42.1,204,10956.8,,53.71,EQ
05-05-2004,55.3,57.0,46.5,48.0,48.0,59.7,42.1,501,24805.3,,49.51,EQ
06-05-2004,50.0,53.9,49.75,50.5,50.5,59.7,42.1,860,43585.0,,50.68,EQ
10-05-2004,41.8,51.9,41.8,51.9,51.9,59.7,42.1,400,18740.0,,46.85,EQ
12-05-2004,42.5,42.5,42.5,42.5,42.5,59.7,41.8,1,42.5,,42.5,EQ
13-05-2004,43.0,50.9,43.0,50.85,50.9,59.7,41.8,15,723.5,,48.23,EQ
14-05-2004,44.05,44.05,44.05,44.05,44.05,59.7,41.8,100,4405.0,,44.05,EQ
24-05-2004,46.95,46.95,46.95,46.95,46.95,59.7,41.8,50,2347.5,,46.95,EQ
28-05-2004,39.1,39.1,39.1,39.1,39.1,59.7,41.8,1,39.1,,39.1,EQ
04-06-2004,32.0,46.0,32.0,38.0,38.0,59.7,39.1,276,9296.0,,33.68,EQ
07-06-2004,38.1,38.15,32.45,35.35,36.0,59.7,32.0,152,5577.2,,36.69,EQ
11-06-2004,35.1,35.1,35.0,35.0,35.0,59.7,32.0,196,6861.0,,35.01,EQ
23-06-2004,28.65,28.65,28.65,28.65,28.65,59.7,32.0,1000,28650.0,,28.65,EQ
28-06-2004,33.4,33.4,31.7,31.7,31.7,59.7,28.65,338,11142.1,,32.96,EQ
01-07-2004,34.0,37.0,34.0,36.0,36.0,59.7,28.65,725,25475.0,,35.14,EQ
05-07-2004,33.8,35.5,33.8,35.0,35.0,59.7,28.65,625,21600.0,,34.56,EQ
06-07-2004,34.8,36.5,33.5,34.65,34.65,59.7,28.65,425,14700.0,,34.59,EQ
07-07-2004,39.0,39.0,39.0,39.0,39.0,59.7,28.65,20,780.0,,39.0,EQ
