DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
30-09-2003,12.0,12.0,10.25,11.1,11.15,0.0,0.0,1256253,13928552.45,,11.09,EQ
01-10-2003,11.25,11.45,10.4,10.6,10.6,12.0,10.25,789369,8525690.0,,10.8,EQ
03-10-2003,10.75,10.75,10.15,10.6,10.5,12.0,10.25,572512,6045048.6,,10.56,EQ
06-10-2003,10.6,10.7,10.5,10.6,10.65,12.0,10.15,390591,4129623.4,,10.57,EQ
07-10-2003,10.55,10.65,10.5,10.55,10.65,12.0,10.15,311670,3287543.75,,10.55,EQ
08-10-2003,10.6,10.65,10.5,10.6,10.65,12.0,10.15,275468,2913870.8,,10.58,EQ
09-10-2003,10.55,10.65,10.5,10.55,10.65,12.0,10.15,387134,4080129.5,,10.54,EQ
10-10-2003,10.7,10.8,10.4,10.55,10.6,12.0,10.15,642475,6765940.0,,10.53,EQ
13-10-2003,10.45,10.45,10.15,10.3,10.35,12.0,10.15,558796,5805535.95,,10.39,EQ
14-10-2003,10.5,10.5,9.65,9.75,9.85,12.0,10.15,1613402,16710501.65,,10.36,EQ
15-10-2003,9.65,9.9,9.6,9.6,9.6,12.0,9.65,102873,996300.35,,9.68,EQ
16-10-2003,9.6,9.75,9.5,9.55,9.6,12.0,9.6,161135,1535048.0,,9.53,EQ
17-10-2003,9.5,10.05,9.5,9.65,9.6,12.0,9.5,80270,774373.2,,9.65,EQ
20-10-2003,9.5,9.65,9.5,9.55,9.55,12.0,9.5,83523,798752.95,,9.56,EQ
21-10-2003,9.55,9.65,9.55,9.55,9.6,12.0,9.5,36826,352666.8,,9.58,EQ
22-10-2003,10.5,10.5,9.5,9.55,9.6,12.0,9.5,348660,3567875.6,,10.23,EQ
23-10-2003,9.45,9.7,9.45,9.55,9.55,12.0,9.5,55424,528656.95,,9.54,EQ
24-10-2003,9.65,9.7,9.6,9.6,9.6,12.0,9.45,41350,397540.0,,9.61,EQ
