DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
08-11-2016,430.0,471.75,416.85,459.5,456.8,471.75,416.85,18118170,8118565111.7,284876,448.09,EQ
09-11-2016,393.0,450.0,393.0,434.35,435.0,471.75,393.0,811362,352588848.55,16307,434.56,EQ
10-11-2016,446.0,460.9,433.25,436.35,438.75,471.75,393.0,459704,205174417.8,10077,446.32,EQ
11-11-2016,434.0,450.0,429.95,440.65,444.1,471.75,393.0,324102,143124969.9,13705,441.6,EQ
15-11-2016,438.0,444.7,430.0,438.1,440.05,471.75,393.0,359415,157711117.85,15783,438.8,EQ
16-11-2016,440.0,447.0,431.0,435.7,431.0,471.75,393.0,79903,34920994.55,2113,437.04,EQ
17-11-2016,431.0,444.4,431.0,440.2,441.6,471.75,393.0,217069,94748959.45,5113,436.49,EQ
18-11-2016,439.85,445.0,435.0,440.5,438.0,471.75,393.0,84664,37228450.95,3611,439.72,EQ
21-11-2016,432.0,442.2,432.0,439.9,438.5,471.75,393.0,74176,32413479.85,3114,436.98,EQ
22-11-2016,432.15,444.4,432.15,440.8,440.2,471.75,393.0,72366,31841286.2,2460,440.0,EQ
23-11-2016,435.5,445.0,433.3,443.2,442.5,471.75,393.0,159354,70059360.0,4137,439.65,EQ
24-11-2016,438.85,441.85,436.3,438.4,437.0,471.75,393.0,27508,12091757.55,987,439.57,EQ
25-11-2016,436.0,441.0,434.0,436.45,436.5,471.75,393.0,44597,19579752.55,1367,439.04,EQ
28-11-2016,440.0,440.0,425.05,427.9,425.05,471.75,393.0,45355,19611407.0,2113,432.4,EQ
29-11-2016,429.3,439.95,425.55,435.1,435.5,471.75,393.0,39817,17299802.5,1394,434.48,EQ
30-11-2016,433.0,441.45,433.0,439.35,439.0,471.75,393.0,52266,22985614.3,3235,439.78,EQ
01-12-2016,435.15,439.9,432.0,433.05,434.0,471.75,393.0,17221,7504381.85,1606,435.77,EQ
02-12-2016,431.05,439.0,431.05,432.1,432.0,471.75,393.0,19051,8276613.4,1429,434.45,EQ
05-12-2016,430.2,436.0,427.0,432.5,433.35,471.75,393.0,24465,10613227.85,1757,433.81,EQ
06-12-2016,435.0,435.0,420.2,423.0,423.0,471.75,393.0,19556,8361171.05,1114,427.55,EQ
07-12-2016,420.55,425.95,407.5,410.65,410.55,471.75,393.0,49872,20615541.0,3318,413.37,EQ
08-12-2016,411.95,429.95,411.05,422.75,423.0,471.75,393.0,39040,16471699.05,2389,421.92,EQ
09-12-2016,425.3,425.4,414.05,415.2,415.1,471.75,393.0,18733,7826775.7,785,417.81,EQ
12-12-2016,405.0,422.0,405.0,420.8,419.0,471.75,393.0,20019,8373406.25,838,418.27,EQ
13-12-2016,412.0,421.2,412.0,417.6,417.0,471.75,393.0,7192,3008831.85,484,418.36,EQ
14-12-2016,421.0,421.0,415.55,416.55,417.8,471.75,393.0,16041,6724661.2,537,419.22,EQ
15-12-2016,410.0,421.0,410.0,420.1,421.0,471.75,393.0,23359,9800682.9,1008,419.57,EQ
16-12-2016,415.5,426.0,411.0,412.95,411.5,471.75,393.0,62957,26531177.8,2936,421.42,EQ
19-12-2016,415.0,415.05,406.0,411.0,414.0,471.75,393.0,41205,16939899.8,1100,411.11,EQ
20-12-2016,414.0,414.5,405.0,406.05,405.3,471.75,393.0,21851,8891050.45,1223,406.89,EQ
21-12-2016,407.05,407.05,395.65,397.65,399.0,471.75,393.0,35036,14002715.15,1567,399.67,EQ
22-12-2016,398.05,400.0,361.9,384.05,387.0,471.75,361.9,50883,19596849.1,2281,385.14,EQ
23-12-2016,380.05,386.0,370.0,371.95,372.5,471.75,361.9,23162,8692646.3,1360,375.3,EQ
26-12-2016,369.0,369.0,351.0,359.45,358.0,471.75,351.0,36366,12975023.0,1959,356.79,EQ
27-12-2016,357.0,370.0,352.9,365.15,364.05,471.75,351.0,19965,7266634.8,900,363.97,EQ
28-12-2016,363.4,371.05,361.1,367.3,362.0,471.75,351.0,28037,10316562.6,834,367.96,EQ
29-12-2016,367.35,375.9,363.05,374.2,375.05,471.75,351.0,20700,7667967.6,1717,370.43,EQ
30-12-2016,376.9,384.5,374.95,380.55,381.2,471.75,351.0,15403,5872157.3,952,381.23,EQ
02-01-2017,386.0,400.0,381.05,399.25,398.25,471.75,351.0,14916,5879307.75,756,394.16,EQ
03-01-2017,411.1,419.5,408.0,410.5,413.0,471.75,351.0,62282,25669880.5,3363,412.16,EQ
04-01-2017,416.9,418.0,405.0,415.2,415.0,471.75,351.0,28924,11956825.6,2102,413.39,EQ
05-01-2017,416.55,419.8,411.1,417.8,417.9,471.75,351.0,27090,11273907.0,1287,416.16,EQ
06-01-2017,417.8,418.75,410.1,412.9,410.1,471.75,351.0,18319,7607968.15,972,415.3,EQ
09-01-2017,413.15,419.95,408.05,417.5,419.95,471.75,351.0,23500,9780752.3,903,416.2,EQ
10-01-2017,412.25,419.0,412.25,417.35,415.0,471.75,351.0,9979,4153831.85,412,416.26,EQ
11-01-2017,417.85,418.05,412.0,413.3,412.0,471.75,351.0,24672,10269971.65,859,416.26,EQ
12-01-2017,413.05,417.0,413.05,414.4,413.4,471.75,351.0,13627,5666499.25,553,415.83,EQ
13-01-2017,410.75,419.95,410.75,417.4,419.8,471.75,351.0,26793,11169924.8,1843,416.9,EQ
16-01-2017,412.0,418.35,412.0,414.1,412.5,471.75,351.0,11740,4878682.35,461,415.56,EQ
17-01-2017,417.5,417.5,410.1,411.9,414.0,471.75,351.0,10424,4316676.9,416,414.11,EQ
18-01-2017,415.05,415.55,406.6,408.45,408.75,471.75,351.0,75452,31083128.4,512,411.96,EQ
19-01-2017,411.55,412.45,408.85,410.95,410.9,471.75,351.0,13113,5385634.1,551,410.71,EQ
20-01-2017,411.25,411.25,402.0,404.6,402.65,471.75,351.0,11912,4826236.65,720,405.16,EQ
23-01-2017,405.0,408.2,396.2,396.7,396.55,471.75,351.0,6480,2594139.0,497,400.33,EQ
24-01-2017,395.0,406.9,395.0,404.75,404.1,471.75,351.0,10605,4272677.55,620,402.89,EQ
25-01-2017,400.85,409.55,398.15,404.85,404.85,471.75,351.0,12921,5213033.3,653,403.45,EQ
27-01-2017,400.1,402.9,391.5,398.75,397.1,471.75,351.0,27408,10890968.65,2533,397.36,EQ
30-01-2017,398.75,401.0,395.0,400.25,400.2,471.75,351.0,25250,10087138.6,1226,399.49,EQ
31-01-2017,396.0,398.9,394.05,397.6,398.05,471.75,351.0,8138,3224246.2,820,396.2,EQ
01-02-2017,397.6,402.0,394.0,398.5,398.8,471.75,351.0,8231,3289041.35,758,399.59,EQ
02-02-2017,396.5,404.95,396.05,396.9,397.0,471.75,351.0,5300,2114144.0,553,398.9,EQ
03-02-2017,391.0,399.75,390.0,393.85,391.8,471.75,351.0,46990,18580591.45,4597,395.42,EQ
06-02-2017,397.95,405.0,393.0,403.35,403.9,471.75,351.0,33504,13388073.5,2202,399.6,EQ
07-02-2017,399.5,405.35,399.45,404.55,404.0,471.75,351.0,73200,29617578.05,1724,404.61,EQ
08-02-2017,400.0,404.95,398.3,403.95,404.0,471.75,351.0,22544,9095001.0,983,403.43,EQ
09-02-2017,401.55,404.0,399.0,403.75,403.95,471.75,351.0,22275,8987833.0,1040,403.49,EQ
10-02-2017,402.65,403.6,398.05,402.3,400.0,471.75,351.0,7688,3090831.6,520,402.03,EQ
13-02-2017,399.1,404.3,399.1,403.95,401.2,471.75,351.0,24832,10020048.65,719,403.51,EQ
14-02-2017,401.0,402.55,398.5,400.95,401.9,471.75,351.0,7885,3156404.75,318,400.3,EQ
15-02-2017,403.7,404.0,398.0,403.4,404.0,471.75,351.0,26275,10600140.55,591,403.43,EQ
16-02-2017,404.5,404.5,392.0,401.25,403.7,471.75,351.0,153998,61378997.65,1613,398.57,EQ
17-02-2017,400.0,404.0,400.0,402.9,403.85,471.75,351.0,13286,5355158.05,485,403.07,EQ
20-02-2017,394.6,407.3,394.6,404.35,404.0,471.75,351.0,93866,37995312.65,2386,404.78,EQ
21-02-2017,401.25,405.05,396.25,400.15,400.0,471.75,351.0,131758,52486652.1,1455,398.36,EQ
22-02-2017,400.2,402.0,385.1,388.4,388.8,471.75,351.0,122135,48122629.15,1268,394.01,EQ
23-02-2017,385.15,395.0,380.15,390.85,393.65,471.75,351.0,38837,15093404.3,2105,388.63,EQ
27-02-2017,393.1,397.85,386.65,395.2,394.0,471.75,351.0,12047,4753670.25,1095,394.59,EQ
