DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
19-04-2022,22.9,22.9,20.8,21.5,21.8,22.9,20.8,2696325,58205602.75,1431,21.59,EQ
20-04-2022,22.5,22.5,21.1,21.45,21.4,22.9,20.8,2621353,56509213.6,766,21.56,EQ
21-04-2022,21.6,22.5,20.55,22.45,22.5,22.9,20.55,2707351,58521203.85,920,21.62,EQ
22-04-2022,23.45,23.55,22.25,23.55,23.55,23.55,20.55,1204567,27712160.15,550,23.01,EQ
25-04-2022,24.4,24.7,22.7,24.7,24.7,24.7,20.55,1338725,32621613.0,807,24.37,EQ
26-04-2022,25.6,25.6,24.15,24.75,24.25,25.6,20.55,786227,19692004.3,614,25.05,EQ
27-04-2022,24.05,24.95,23.8,24.4,24.95,25.6,20.55,612756,14888811.55,384,24.3,EQ
28-04-2022,25.6,25.6,25.0,25.55,25.6,25.6,20.55,1607603,41090143.85,3908,25.56,EQ
29-04-2022,26.8,26.8,24.3,25.65,26.2,26.8,20.55,2041356,54297123.5,5841,26.6,EQ
02-05-2022,26.9,26.9,25.05,26.85,26.9,26.9,20.55,2370823,62478996.05,6245,26.35,EQ
04-05-2022,28.15,28.15,27.4,28.15,28.1,28.15,20.55,2681074,75204350.0,7301,28.05,EQ
05-05-2022,28.9,29.55,28.75,29.5,29.55,29.55,20.55,3455320,101809724.45,8011,29.46,EQ
06-05-2022,30.6,30.95,29.5,30.9,30.85,30.95,20.55,3642879,111339897.4,10155,30.56,EQ
09-05-2022,31.8,32.4,31.2,32.4,32.4,32.4,20.55,3652265,118086569.15,10644,32.33,EQ
10-05-2022,33.05,34.0,33.05,33.95,34.0,34.0,20.55,3870221,131318666.55,11444,33.93,EQ
11-05-2022,35.3,35.6,35.0,35.6,35.6,35.6,20.55,3255777,115724034.75,9010,35.54,EQ
12-05-2022,37.3,37.35,33.85,35.05,33.85,37.35,20.55,6147211,221820121.05,12593,36.08,EQ
13-05-2022,33.3,33.3,33.3,33.3,33.3,37.35,20.55,94032,3131265.6,1194,33.3,EQ
16-05-2022,31.65,31.65,31.65,31.65,31.65,37.35,20.55,29943,947695.95,443,31.65,EQ
17-05-2022,30.1,30.1,30.1,30.1,30.1,37.35,20.55,27251,820255.1,430,30.1,EQ
18-05-2022,28.6,28.6,28.6,28.6,28.6,37.35,20.55,38204,1092634.4,449,28.6,EQ
19-05-2022,27.2,27.2,27.2,27.2,27.2,27.2,27.2,18699,508612.8,325,27.2,BE
20-05-2022,26.1,28.55,26.1,28.55,28.55,28.55,26.1,3123304,87345782.55,7627,27.97,BE
23-05-2022,29.7,29.95,29.2,29.95,29.95,29.95,26.1,1510826,45201315.65,5234,29.92,BE
24-05-2022,30.9,31.4,29.9,31.4,31.4,31.4,26.1,1726566,54028979.0,5361,31.29,BE
25-05-2022,32.5,32.95,32.5,32.95,32.95,32.95,26.1,1483134,48781575.65,5356,32.89,BE
26-05-2022,34.4,34.55,31.35,31.35,31.35,34.55,26.1,1490386,50589168.45,3353,33.94,BE
27-05-2022,29.8,29.8,29.8,29.8,29.8,34.55,26.1,53432,1592273.6,753,29.8,BE
30-05-2022,28.35,28.35,28.35,28.35,28.35,34.55,26.1,63705,1806036.75,760,28.35,BE
31-05-2022,26.95,26.95,26.95,26.95,26.95,34.55,26.1,81197,2188259.15,967,26.95,BE
01-06-2022,25.65,26.45,25.65,25.65,25.65,34.55,25.65,890774,22909351.9,2304,25.72,BE
02-06-2022,24.4,24.4,24.4,24.4,24.4,34.55,24.4,142061,3466288.4,905,24.4,BE
03-06-2022,23.2,23.2,23.2,23.2,23.2,34.55,23.2,77723,1803173.6,884,23.2,BE
06-06-2022,22.05,22.05,22.05,22.05,22.05,34.55,22.05,55632,1226685.6,716,22.05,BE
07-06-2022,20.95,20.95,20.95,20.95,20.95,34.55,20.95,92840,1944998.0,673,20.95,BE
08-06-2022,19.95,19.95,19.95,19.95,19.95,34.55,19.95,41169,821321.55,616,19.95,BE
