DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
13-03-2008,90.0,98.95,72.6,75.95,73.0,98.95,72.6,19513848,1618565878.2,,82.94,EQ
14-03-2008,75.0,75.9,67.3,69.95,70.5,98.95,67.3,5095029,355727264.1,,69.82,EQ
17-03-2008,67.0,77.8,62.1,70.65,72.1,98.95,62.1,13275062,963327076.3,,72.57,EQ
18-03-2008,73.7,76.5,70.0,71.0,70.0,98.95,62.1,2473614,180284557.65,,72.88,EQ
19-03-2008,72.9,74.75,67.5,68.45,68.0,98.95,62.1,1207626,85198847.45,,70.55,EQ
24-03-2008,65.0,69.5,58.65,61.55,62.15,98.95,58.65,948986,59852599.25,,63.07,EQ
25-03-2008,63.0,65.0,60.0,63.5,63.5,98.95,58.65,948751,59822241.0,,63.05,EQ
26-03-2008,64.7,66.5,61.35,64.0,64.3,98.95,58.65,601214,38692105.45,,64.36,EQ
27-03-2008,63.0,63.9,62.05,63.2,63.25,98.95,58.65,276690,17465192.55,,63.12,EQ
28-03-2008,64.4,68.65,63.0,66.2,66.0,98.95,58.65,992369,66050157.95,,66.56,EQ
31-03-2008,63.3,67.0,63.3,64.6,64.4,98.95,58.65,348065,22864678.4,,65.69,EQ
01-04-2008,66.5,66.5,63.5,64.9,65.0,98.95,58.65,184876,12009559.2,,64.96,EQ
02-04-2008,66.4,67.45,63.1,63.85,63.35,98.95,58.65,160007,10461728.75,,65.38,EQ
03-04-2008,62.6,65.7,62.6,63.7,63.7,98.95,58.65,158007,10129850.15,,64.11,EQ
04-04-2008,65.0,73.7,63.5,69.95,69.1,98.95,58.65,4814688,340133121.45,,70.64,EQ
07-04-2008,70.6,70.85,66.2,67.85,67.65,98.95,58.65,1352139,92513188.35,,68.42,EQ
08-04-2008,68.0,71.8,66.6,67.4,67.6,98.95,58.65,865255,60045028.0,,69.4,EQ
09-04-2008,67.6,71.1,67.6,68.3,68.15,98.95,58.65,552369,38251682.55,,69.25,EQ
10-04-2008,69.7,70.45,67.05,67.7,67.65,98.95,58.65,310034,21309075.6,,68.73,EQ
11-04-2008,68.7,69.85,66.7,67.25,67.2,98.95,58.65,186375,12662510.55,,67.94,EQ
15-04-2008,67.5,68.25,66.1,67.5,67.45,98.95,58.65,179881,12154107.9,,67.57,EQ
16-04-2008,68.0,70.9,68.0,68.4,68.15,98.95,58.65,402005,27924715.35,,69.46,EQ
17-04-2008,68.85,71.3,68.5,69.0,68.95,98.95,58.65,506832,35440313.2,,69.93,EQ
21-04-2008,69.8,71.95,69.2,70.05,70.35,98.95,58.65,269574,19010900.0,,70.52,EQ
22-04-2008,70.3,74.7,69.1,72.2,72.7,98.95,58.65,1192169,86952905.8,,72.94,EQ
23-04-2008,72.8,73.4,70.5,70.75,70.7,98.95,58.65,200880,14427073.6,,71.82,EQ
24-04-2008,65.7,75.4,65.7,72.55,72.0,98.95,58.65,1003723,74118936.65,,73.84,EQ
25-04-2008,75.0,76.9,73.2,74.25,74.0,98.95,58.65,800038,59934957.9,,74.92,EQ
28-04-2008,74.0,75.0,72.25,72.55,72.4,98.95,58.65,156922,11482634.2,,73.17,EQ
29-04-2008,72.25,73.5,70.1,72.55,72.85,98.95,58.65,141220,10261505.0,,72.66,EQ
30-04-2008,73.5,74.7,72.2,72.65,73.0,98.95,58.65,190584,13976627.45,,73.34,EQ
02-05-2008,73.7,73.95,71.55,72.05,71.6,98.95,58.65,145645,10596153.55,,72.75,EQ
05-05-2008,72.75,73.2,71.5,71.75,71.6,98.95,58.65,97460,7054516.8,,72.38,EQ
06-05-2008,71.1,72.4,69.5,69.85,70.0,98.95,58.65,97575,6906808.85,,70.78,EQ
07-05-2008,71.1,71.1,68.85,68.95,68.85,98.95,58.65,88962,6186610.75,,69.54,EQ
08-05-2008,68.1,68.7,67.55,67.8,67.55,98.95,58.65,69457,4719780.2,,67.95,EQ
09-05-2008,68.1,69.35,66.1,66.8,66.4,98.95,58.65,94784,6414588.85,,67.68,EQ
12-05-2008,66.9,66.9,64.3,65.45,65.55,98.95,58.65,98281,6400531.3,,65.12,EQ
13-05-2008,65.95,67.95,65.8,66.3,66.45,98.95,58.65,72721,4871335.15,,66.99,EQ
14-05-2008,65.8,67.0,65.8,66.55,66.9,98.95,58.65,50670,3368570.4,,66.48,EQ
15-05-2008,66.75,68.5,66.0,67.45,67.6,98.95,58.65,69883,4725378.05,,67.62,EQ
16-05-2008,68.0,68.9,67.1,67.6,67.5,98.95,58.65,90800,6190214.05,,68.17,EQ
20-05-2008,67.0,70.6,66.9,68.7,68.8,98.95,58.65,208073,14390581.55,,69.16,EQ
21-05-2008,70.0,72.9,69.9,71.35,71.15,98.95,58.65,318200,22810996.35,,71.69,EQ
22-05-2008,71.35,71.95,68.2,69.95,70.0,98.95,58.65,126102,8894702.15,,70.54,EQ
23-05-2008,70.1,70.85,68.25,68.6,69.0,98.95,58.65,80775,5607965.8,,69.43,EQ
26-05-2008,67.0,69.0,66.15,66.5,66.85,98.95,58.65,72826,4866005.95,,66.82,EQ
27-05-2008,66.85,68.15,65.15,65.85,65.8,98.95,58.65,67877,4539445.9,,66.88,EQ
28-05-2008,65.6,67.15,65.5,65.9,66.0,98.95,58.65,60279,3979722.65,,66.02,EQ
29-05-2008,66.5,68.0,65.2,65.55,65.7,98.95,58.65,63010,4172648.1,,66.22,EQ
30-05-2008,65.85,66.95,64.55,65.1,64.55,98.95,58.65,72850,4794568.3,,65.81,EQ
02-06-2008,65.5,66.25,63.25,63.7,63.8,98.95,58.65,63855,4143107.65,,64.88,EQ
03-06-2008,63.25,63.25,60.7,62.8,63.25,98.95,58.65,65646,4084982.15,,62.23,EQ
04-06-2008,63.8,63.8,61.35,61.75,61.75,98.95,58.65,46745,2911327.75,,62.28,EQ
05-06-2008,61.25,61.7,60.5,61.25,61.5,98.95,58.65,45393,2778447.95,,61.21,EQ
06-06-2008,62.0,62.5,61.3,61.6,61.5,98.95,58.65,40059,2476679.1,,61.83,EQ
09-06-2008,49.5,59.95,49.5,58.8,59.95,98.95,49.5,61139,3543345.25,,57.96,EQ
10-06-2008,59.95,59.95,58.2,59.55,59.1,98.95,49.5,45743,2707597.95,,59.19,EQ
11-06-2008,58.2,61.7,57.55,60.5,60.5,98.95,49.5,38083,2309955.25,,60.66,EQ
12-06-2008,59.8,64.5,59.1,61.8,62.0,98.95,49.5,78416,4838067.0,,61.7,EQ
13-06-2008,61.2,63.25,61.2,61.85,61.9,98.95,49.5,37247,2314243.0,,62.13,EQ
16-06-2008,62.5,64.0,61.1,61.3,61.35,98.95,49.5,44345,2772925.2,,62.53,EQ
17-06-2008,61.55,62.0,60.2,61.05,61.5,98.95,49.5,42233,2583319.55,,61.17,EQ
18-06-2008,62.5,62.5,61.15,61.7,61.85,98.95,49.5,51838,3201551.2,,61.76,EQ
19-06-2008,61.0,61.5,56.15,60.9,61.15,98.95,49.5,37951,2306701.15,,60.78,EQ
20-06-2008,61.5,61.5,58.9,59.2,59.7,98.95,49.5,52296,3130242.8,,59.86,EQ
23-06-2008,58.25,59.0,57.0,57.65,57.5,98.95,49.5,38760,2234089.5,,57.64,EQ
24-06-2008,57.05,58.45,57.0,57.25,58.0,98.95,49.5,39356,2269291.75,,57.66,EQ
25-06-2008,56.0,57.0,55.05,56.05,56.25,98.95,49.5,67535,3773007.55,,55.87,EQ
26-06-2008,58.0,58.5,56.75,57.75,58.0,98.95,49.5,40050,2300943.85,,57.45,EQ
27-06-2008,54.05,57.0,50.75,55.85,55.6,98.95,49.5,52494,2949706.45,,56.19,EQ
30-06-2008,55.35,55.95,53.7,54.8,54.55,98.95,49.5,39634,2185799.4,,55.15,EQ
01-07-2008,56.0,56.6,53.0,53.4,53.1,98.95,49.5,42645,2303752.55,,54.02,EQ
02-07-2008,54.1,55.25,51.85,54.65,54.5,98.95,49.5,61279,3246024.85,,52.97,EQ
03-07-2008,52.5,54.5,52.5,53.6,53.3,98.95,49.5,40090,2155095.05,,53.76,EQ
04-07-2008,53.6,53.6,51.2,52.65,53.0,98.95,49.5,39455,2058330.75,,52.17,EQ
07-07-2008,54.0,54.0,52.5,52.95,52.95,98.95,49.5,25154,1340075.25,,53.27,EQ
08-07-2008,52.1,53.25,51.2,52.9,53.2,98.95,49.5,19249,1004375.85,,52.18,EQ
09-07-2008,53.95,54.4,53.1,53.6,53.85,98.95,49.5,39104,2103797.65,,53.8,EQ
10-07-2008,53.95,57.35,53.1,54.4,54.5,98.95,49.5,59673,3286245.35,,55.07,EQ
11-07-2008,55.0,57.5,53.15,53.9,53.5,98.95,49.5,57072,3150460.35,,55.2,EQ
14-07-2008,51.25,54.1,51.25,52.95,52.9,98.95,49.5,24051,1275084.75,,53.02,EQ
15-07-2008,53.0,55.0,51.25,53.4,53.4,98.95,49.5,66699,3585482.6,,53.76,EQ
16-07-2008,55.0,59.9,54.5,55.05,55.5,98.95,49.5,116230,6522299.15,,56.12,EQ
17-07-2008,56.15,59.7,49.65,55.25,55.45,98.95,49.5,66637,3745742.35,,56.21,EQ
18-07-2008,56.0,58.4,55.0,56.75,56.8,98.95,49.5,66468,3751666.95,,56.44,EQ
21-07-2008,56.5,56.5,54.0,55.4,55.4,98.95,49.5,33333,1837801.45,,55.13,EQ
22-07-2008,56.0,56.9,55.15,56.15,56.65,98.95,49.5,28967,1628120.9,,56.21,EQ
23-07-2008,57.0,59.5,57.0,57.3,57.1,98.95,49.5,64281,3724940.4,,57.95,EQ
24-07-2008,58.9,59.0,57.15,57.5,57.25,98.95,49.5,34778,2014102.2,,57.91,EQ
25-07-2008,57.0,57.7,56.05,56.8,57.2,98.95,49.5,24239,1375047.15,,56.73,EQ
28-07-2008,55.55,57.9,54.9,56.5,56.1,98.95,49.5,30108,1713291.25,,56.9,EQ
29-07-2008,57.0,58.9,56.4,56.7,56.5,98.95,49.5,29879,1698936.15,,56.86,EQ
30-07-2008,57.4,57.5,56.3,56.6,56.3,98.95,49.5,22672,1289753.95,,56.89,EQ
31-07-2008,57.25,57.35,55.55,55.85,55.55,98.95,49.5,19445,1095305.1,,56.33,EQ
01-08-2008,55.25,56.3,54.6,55.3,55.05,98.95,49.5,41429,2289557.6,,55.26,EQ
04-08-2008,56.2,56.5,55.45,56.0,56.2,98.95,49.5,29691,1663204.8,,56.02,EQ
05-08-2008,56.0,60.6,55.7,57.9,57.55,98.95,49.5,136029,7951123.4,,58.45,EQ
06-08-2008,58.65,59.9,57.0,57.55,57.65,98.95,49.5,55408,3238769.65,,58.45,EQ
07-08-2008,57.8,58.45,57.0,57.35,57.5,98.95,49.5,20200,1164806.3,,57.66,EQ
08-08-2008,57.1,58.25,56.05,57.3,57.3,98.95,49.5,25239,1441851.15,,57.13,EQ
11-08-2008,57.0,58.6,57.0,57.85,57.8,98.95,49.5,18743,1086619.3,,57.97,EQ
12-08-2008,57.0,58.35,57.0,57.2,57.05,98.95,49.5,21244,1224232.75,,57.63,EQ
13-08-2008,58.3,58.3,56.8,57.1,56.8,98.95,49.5,10391,594097.95,,57.17,EQ
14-08-2008,57.5,57.5,56.0,56.15,56.5,98.95,49.5,22122,1249147.5,,56.47,EQ
18-08-2008,55.6,56.5,55.55,56.0,55.9,98.95,49.5,9845,552681.25,,56.14,EQ
19-08-2008,55.65,56.9,55.4,55.7,55.7,98.95,49.5,16468,923981.45,,56.11,EQ
20-08-2008,56.35,56.7,55.9,56.0,56.05,98.95,49.5,7959,446619.1,,56.11,EQ
21-08-2008,56.7,56.7,55.05,55.3,55.75,98.95,49.5,10739,597166.3,,55.61,EQ
22-08-2008,55.1,56.0,55.1,55.45,55.85,98.95,49.5,15511,861369.5,,55.53,EQ
25-08-2008,56.05,56.05,55.0,55.1,55.1,98.95,49.5,14625,811905.15,,55.51,EQ
26-08-2008,53.55,63.0,53.0,57.45,56.5,98.95,49.5,35980,2034207.5,,56.54,EQ
27-08-2008,58.75,67.5,58.0,61.8,62.25,98.95,49.5,405670,24944461.25,,61.49,EQ
28-08-2008,63.2,63.2,56.4,56.95,56.5,98.95,49.5,223202,13358360.8,,59.85,EQ
29-08-2008,58.2,59.7,56.25,57.6,57.35,98.95,49.5,73491,4277412.6,,58.2,EQ
01-09-2008,56.6,58.3,56.0,57.05,57.25,98.95,49.5,23265,1331209.65,,57.22,EQ
02-09-2008,57.9,64.7,56.5,57.5,57.35,98.95,49.5,36313,2102629.3,,57.9,EQ
04-09-2008,57.1,57.95,56.7,57.05,57.05,98.95,49.5,19176,1094261.6,,57.06,EQ
05-09-2008,56.5,57.25,56.1,56.55,56.5,98.95,49.5,17787,1009158.05,,56.74,EQ
