DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
01-01-1996,135.0,135.0,135.0,135.0,,,,100,13500.0,,135.0,EQ
02-01-1996,135.0,135.0,125.0,125.0,,,,500,65200.0,,130.4,EQ
03-01-1996,113.0,113.0,113.0,113.0,,,,100,11300.0,,113.0,EQ
04-01-1996,114.9,114.9,113.0,113.0,,,,200,22790.0,,113.95,EQ
05-01-1996,107.5,107.5,107.5,107.5,,,,100,10750.0,,107.5,EQ
08-01-1996,108.0,108.0,108.0,108.0,,,,300,32400.0,,108.0,EQ
09-01-1996,107.0,107.0,98.25,98.25,,,,200,20525.0,,102.63,EQ
10-01-1996,98.5,98.5,98.0,98.0,,,,200,19650.0,,98.25,EQ
11-01-1996,98.0,100.0,98.0,98.65,,,,400,39525.0,,98.81,EQ
15-01-1996,99.0,99.0,98.5,98.5,,,,300,29600.0,,98.67,EQ
16-01-1996,98.5,98.5,95.0,95.0,,,,200,19350.0,,96.75,EQ
19-01-1996,93.5,93.5,90.0,90.0,,,,200,18350.0,,91.75,EQ
23-01-1996,90.0,82.0,81.0,82.0,,,,200,16300.0,,81.5,EQ
24-01-1996,77.0,84.0,77.0,81.0,,,,400,32400.0,,81.0,EQ
25-01-1996,82.0,82.0,80.0,80.0,,,,400,32300.0,,80.75,EQ
30-01-1996,78.0,78.0,75.0,77.75,,,,600,45775.0,,76.29,EQ
31-01-1996,77.75,77.75,75.0,77.75,,,,700,54075.0,,77.25,EQ
01-02-1996,77.75,79.5,77.75,79.2,,,,1500,118485.0,,78.99,EQ
02-02-1996,85.0,85.0,81.0,81.5,,,,6100,497255.0,,81.52,EQ
05-02-1996,83.0,86.0,83.0,83.0,,,,600,50300.0,,83.83,EQ
06-02-1996,83.0,84.75,82.0,84.75,,,,900,74275.0,,82.53,EQ
07-02-1996,80.0,80.0,77.0,79.5,,,,15300,1207240.0,,78.9,EQ
08-02-1996,80.0,80.0,76.55,78.05,,,,11900,933575.0,,78.45,EQ
09-02-1996,85.0,85.0,78.0,80.0,,,,11500,927120.0,,80.62,EQ
12-02-1996,85.0,88.0,85.0,88.0,,,,1300,113275.0,,87.13,EQ
13-02-1996,88.0,92.5,86.0,91.55,,,,4400,400720.0,,91.07,EQ
14-02-1996,92.0,99.5,92.0,97.0,,,,500,47650.0,,95.3,EQ
15-02-1996,98.5,101.5,97.0,100.5,,,,2100,207010.0,,98.58,EQ
16-02-1996,100.25,100.25,93.75,95.0,,,,700,67300.0,,96.14,EQ
19-02-1996,93.0,94.0,91.0,92.25,,,,2900,268960.0,,92.74,EQ
20-02-1996,92.0,95.0,87.0,87.0,,,,3200,297190.0,,92.87,EQ
22-02-1996,90.5,92.0,90.5,91.0,,,,1200,108940.0,,90.78,EQ
23-02-1996,89.0,89.0,89.0,89.0,,,,100,8900.0,,89.0,EQ
26-02-1996,89.0,94.25,92.0,93.0,,,,2000,186205.0,,93.1,EQ
27-02-1996,91.0,92.5,91.0,91.1,,,,2300,210280.0,,91.43,EQ
28-02-1996,92.0,92.0,89.75,90.0,,,,1600,144340.0,,90.21,EQ
29-02-1996,87.5,89.0,87.5,87.5,,,,700,61600.0,,88.0,EQ
01-03-1996,87.5,89.0,85.0,88.0,,,,1100,96240.0,,87.49,EQ
04-03-1996,87.0,89.0,87.0,89.0,,,,800,69900.0,,87.38,EQ
06-03-1996,88.75,88.75,88.75,88.75,,,,100,8875.0,,88.75,EQ
07-03-1996,86.25,87.95,86.25,87.95,,,,300,26045.0,,86.82,EQ
08-03-1996,87.0,87.5,87.0,87.0,,,,500,43600.0,,87.2,EQ
11-03-1996,87.0,87.0,87.0,87.0,,,,300,26100.0,,87.0,EQ
12-03-1996,85.0,85.05,84.0,84.0,,,,700,59110.0,,84.44,EQ
13-03-1996,84.0,85.5,85.5,85.5,,,,100,8550.0,,85.5,EQ
14-03-1996,85.5,85.5,85.0,85.0,,,,800,68080.0,,85.1,EQ
15-03-1996,85.0,85.0,84.0,84.0,,,,300,25300.0,,84.33,EQ
18-03-1996,82.0,83.0,80.0,80.0,,,,700,56500.0,,80.71,EQ
19-03-1996,78.1,82.0,78.1,81.0,,,,2400,196210.0,,81.75,EQ
21-03-1996,80.0,81.0,80.0,81.0,,,,500,40390.0,,80.78,EQ
22-03-1996,82.0,82.0,81.0,81.0,,,,200,16300.0,,81.5,EQ
25-03-1996,82.0,85.0,82.0,82.1,,,,300,24910.0,,83.03,EQ
26-03-1996,83.0,87.0,82.0,86.0,,,,1300,108470.0,,83.44,EQ
27-03-1996,86.0,95.05,95.05,95.05,,,,300,28515.0,,95.05,EQ
28-03-1996,95.05,104.0,96.25,104.0,,,,5000,516900.0,,103.38,EQ
29-03-1996,109.75,109.75,109.75,109.75,,,,100,10975.0,,109.75,EQ
01-04-1996,111.0,115.0,108.75,108.75,,,,1300,144325.0,,111.02,EQ
02-04-1996,108.75,114.0,107.75,114.0,,,,1400,155395.0,,111.0,EQ
03-04-1996,110.0,110.0,103.25,103.25,,,,400,42050.0,,105.13,EQ
04-04-1996,100.0,100.0,100.0,100.0,,,,400,40000.0,,100.0,EQ
09-04-1996,102.0,108.0,102.0,108.0,,,,2400,252790.0,,105.33,EQ
10-04-1996,108.0,118.0,108.0,116.0,,,,3900,452370.0,,115.99,EQ
11-04-1996,116.0,115.0,112.1,114.35,,,,1700,193885.0,,114.05,EQ
12-04-1996,110.0,113.0,110.0,112.0,,,,700,78600.0,,112.29,EQ
15-04-1996,116.0,116.0,116.0,116.0,,,,3200,371200.0,,116.0,EQ
16-04-1996,116.0,116.5,113.1,114.1,,,,1100,126295.0,,114.81,EQ
17-04-1996,112.0,112.0,110.0,110.0,,,,700,77300.0,,110.43,EQ
18-04-1996,110.25,111.0,108.0,108.5,,,,1500,164525.0,,109.68,EQ
19-04-1996,112.0,112.0,105.0,105.0,,,,1300,140900.0,,108.38,EQ
22-04-1996,109.5,109.5,107.0,107.3,,,,1700,183200.0,,107.76,EQ
23-04-1996,105.0,106.0,100.0,101.5,,,,800,82575.0,,103.22,EQ
24-04-1996,109.75,112.0,109.75,112.0,,,,900,99575.0,,110.64,EQ
25-04-1996,112.0,121.0,120.0,120.0,,,,3100,372100.0,,120.03,EQ
26-04-1996,120.0,120.5,115.75,115.75,,,,500,58900.0,,117.8,EQ
29-04-1996,117.5,117.5,115.25,115.25,,,,300,34875.0,,116.25,EQ
30-04-1996,115.25,117.45,110.0,116.95,,,,700,80880.0,,115.54,EQ
01-05-1996,116.95,116.0,116.0,116.0,,,,100,11600.0,,116.0,EQ
02-05-1996,116.0,116.9,112.0,112.0,,,,1000,113680.0,,113.68,EQ
03-05-1996,107.0,107.0,107.0,107.0,,,,100,10700.0,,107.0,EQ
06-05-1996,109.0,111.5,108.55,108.55,,,,900,99080.0,,110.09,EQ
07-05-1996,109.0,111.0,109.0,111.0,,,,5900,653600.0,,110.78,EQ
08-05-1996,114.0,117.0,113.5,114.5,,,,1100,126775.0,,115.25,EQ
09-05-1996,115.0,115.0,109.0,110.0,,,,800,88600.0,,110.75,EQ
10-05-1996,105.0,105.0,103.0,104.0,,,,900,93700.0,,104.11,EQ
13-05-1996,100.05,100.05,98.75,98.75,,,,500,49710.0,,99.42,EQ
14-05-1996,102.0,102.0,98.0,99.2,,,,1100,109820.0,,99.84,EQ
15-05-1996,100.0,100.0,100.0,100.0,,,,100,10000.0,,100.0,EQ
16-05-1996,105.0,105.0,104.0,104.0,,,,300,31395.0,,104.65,EQ
17-05-1996,98.0,98.0,98.0,98.0,,,,300,29400.0,,98.0,EQ
20-05-1996,98.0,100.0,98.25,98.25,,,,200,19825.0,,99.13,EQ
21-05-1996,96.05,96.25,96.05,96.25,,,,400,38440.0,,96.1,EQ
23-05-1996,93.0,93.0,93.0,93.0,,,,100,9300.0,,93.0,EQ
24-05-1996,94.55,96.0,94.5,96.0,,,,500,47605.0,,95.21,EQ
27-05-1996,89.0,89.0,88.5,88.5,,,,300,26650.0,,88.83,EQ
28-05-1996,86.05,96.0,86.05,96.0,,,,300,27430.0,,91.43,EQ
31-05-1996,98.0,98.0,93.5,93.5,,,,300,28550.0,,95.17,EQ
03-06-1996,98.75,98.75,96.25,98.0,,,,300,29300.0,,97.67,EQ
04-06-1996,99.0,99.0,96.0,96.5,,,,800,78050.0,,97.56,EQ
05-06-1996,96.5,96.5,96.5,96.5,,,,100,9650.0,,96.5,EQ
06-06-1996,99.0,102.0,99.0,102.0,,,,400,40500.0,,101.25,EQ
07-06-1996,105.0,105.0,105.0,105.0,,,,300,31500.0,,105.0,EQ
11-06-1996,99.0,100.0,99.0,100.0,,,,300,29800.0,,99.33,EQ
12-06-1996,96.0,99.05,96.0,99.05,,,,400,39310.0,,98.28,EQ
13-06-1996,98.0,98.0,98.0,98.0,,,,100,9800.0,,98.0,EQ
14-06-1996,99.0,101.9,99.0,100.25,,,,1100,110240.0,,100.22,EQ
17-06-1996,102.0,104.9,99.3,103.5,,,,900,92125.0,,102.36,EQ
18-06-1996,99.0,105.0,99.0,102.6,,,,600,61510.0,,102.52,EQ
19-06-1996,102.5,102.5,100.1,100.1,,,,600,60400.0,,100.67,EQ
20-06-1996,97.5,100.0,97.0,100.0,,,,400,39350.0,,98.38,EQ
21-06-1996,95.5,95.5,94.0,94.5,,,,400,38000.0,,95.0,EQ
24-06-1996,94.0,94.0,94.0,94.0,,,,100,9400.0,,94.0,EQ
25-06-1996,90.0,90.0,89.0,89.5,,,,200,17900.0,,89.5,EQ
26-06-1996,91.0,92.0,87.0,92.0,,,,1200,107435.0,,89.53,EQ
28-06-1996,90.0,90.0,90.0,90.0,,,,100,9000.0,,90.0,EQ
01-07-1996,81.0,81.2,81.0,81.2,,,,200,16220.0,,81.1,EQ
02-07-1996,85.0,85.0,81.1,81.1,,,,400,32970.0,,82.43,EQ
03-07-1996,79.9,79.9,79.9,79.9,,,,100,7990.0,,79.9,EQ
04-07-1996,79.0,79.0,79.0,79.0,,,,100,7900.0,,79.0,EQ
05-07-1996,82.0,82.0,79.25,81.5,,,,300,24275.0,,80.92,EQ
08-07-1996,80.0,80.25,80.0,80.25,,290.0,75.0,200,16025.0,,80.13,EQ
09-07-1996,79.5,80.75,76.0,76.0,,290.0,75.0,2100,162540.0,,77.4,EQ
11-07-1996,75.0,75.0,75.0,75.0,,290.0,75.0,100,7500.0,,75.0,EQ
12-07-1996,75.0,75.0,75.0,75.0,,290.0,75.0,200,15000.0,,75.0,EQ
15-07-1996,75.0,75.0,73.0,74.5,,290.0,75.0,300,22250.0,,74.17,EQ
16-07-1996,73.5,73.5,71.0,73.5,,290.0,73.0,300,21800.0,,72.67,EQ
17-07-1996,69.75,69.75,67.0,67.0,,290.0,71.0,1200,80775.0,,67.31,EQ
18-07-1996,67.0,67.1,65.0,67.1,,290.0,67.0,900,59460.0,,66.07,EQ
19-07-1996,66.1,69.2,65.95,67.95,,290.0,65.0,3100,207220.0,,66.85,EQ
22-07-1996,71.0,75.0,71.0,75.0,,290.0,65.0,700,51440.0,,73.49,EQ
23-07-1996,75.5,75.5,75.0,75.0,,290.0,65.0,800,60100.0,,75.13,EQ
24-07-1996,68.0,68.0,67.2,67.75,,290.0,65.0,4500,305650.0,,67.92,EQ
25-07-1996,67.75,67.75,65.0,66.0,,290.0,65.0,1300,85385.0,,65.68,EQ
26-07-1996,67.75,68.0,65.0,65.75,,290.0,65.0,5500,371820.0,,67.6,EQ
29-07-1996,70.0,70.0,66.0,66.0,,290.0,65.0,500,34200.0,,68.4,EQ
30-07-1996,66.0,66.0,62.0,62.0,,290.0,65.0,300,19200.0,,64.0,EQ
31-07-1996,63.0,63.0,60.0,60.0,,290.0,62.0,4000,245480.0,,61.37,EQ
01-08-1996,60.0,61.45,54.0,58.5,,290.0,60.0,7500,443140.0,,59.09,EQ
02-08-1996,55.0,56.0,55.0,55.65,,290.0,54.0,800,44325.0,,55.41,EQ
05-08-1996,57.0,57.0,56.0,57.0,,290.0,54.0,900,51000.0,,56.67,EQ
06-08-1996,57.0,57.0,55.0,56.0,,290.0,54.0,1000,55530.0,,55.53,EQ
07-08-1996,58.45,61.0,58.0,60.0,,290.0,54.0,1300,77490.0,,59.61,EQ
08-08-1996,59.25,60.0,56.0,56.0,,290.0,54.0,2500,145435.0,,58.17,EQ
09-08-1996,59.0,59.0,58.45,59.0,,290.0,54.0,400,23540.0,,58.85,EQ
