DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
03-05-2023,35.95,37.4,34.45,36.25,35.7,37.4,34.45,828447,29661455.0,2662,35.8,EQ
04-05-2023,36.6,37.0,34.1,34.65,34.5,37.4,34.1,783007,27657012.1,4500,35.32,EQ
05-05-2023,35.0,35.35,32.6,33.5,33.0,37.4,32.6,228688,7746457.65,1282,33.87,EQ
08-05-2023,33.5,33.8,32.35,32.7,32.5,37.4,32.35,217232,7113328.55,1142,32.75,EQ
09-05-2023,33.35,33.35,32.15,32.55,32.7,37.4,32.15,436775,14209148.3,1241,32.53,EQ
10-05-2023,32.6,32.75,31.1,31.4,31.8,37.4,31.1,396787,12585836.6,1329,31.72,EQ
11-05-2023,31.55,32.6,31.15,31.5,31.5,37.4,31.1,184922,5921758.9,1327,32.02,EQ
12-05-2023,31.55,31.85,30.75,30.9,31.2,37.4,30.75,719780,22369645.75,1218,31.08,EQ
15-05-2023,31.15,35.9,30.35,33.15,33.0,37.4,30.35,3596028,123771556.2,24149,34.42,EQ
16-05-2023,35.4,37.1,32.65,33.65,33.45,37.4,30.35,2403939,82935358.1,10102,34.5,EQ
17-05-2023,34.0,34.7,32.0,32.65,32.45,37.4,30.35,999558,33493137.1,6543,33.51,EQ
18-05-2023,32.8,33.5,32.4,32.65,32.7,37.4,30.35,255092,8406808.55,1397,32.96,EQ
19-05-2023,33.0,35.6,32.85,34.1,34.25,37.4,30.35,821191,28142686.75,4041,34.27,EQ
22-05-2023,33.65,34.25,32.9,33.25,33.1,37.4,30.35,312517,10439193.25,1913,33.4,EQ
23-05-2023,33.3,35.75,33.15,34.5,34.5,37.4,30.35,1760553,60574527.0,11912,34.41,EQ
24-05-2023,34.65,34.9,33.85,33.95,34.0,37.4,30.35,236641,8131221.2,1204,34.36,EQ
25-05-2023,34.05,34.65,32.95,33.45,33.9,37.4,30.35,535610,18002119.8,1715,33.61,EQ
26-05-2023,33.55,34.0,33.35,33.75,33.75,37.4,30.35,228145,7692218.05,745,33.72,EQ
29-05-2023,33.85,34.2,33.4,33.75,33.85,37.4,30.35,88668,2995289.1,612,33.78,EQ
30-05-2023,33.45,34.05,33.2,33.4,33.35,37.4,30.35,294115,9848193.65,884,33.48,EQ
31-05-2023,33.35,34.7,33.05,34.05,34.05,37.4,30.35,801288,27168638.7,6109,33.91,EQ
01-06-2023,34.2,34.95,33.5,33.7,33.55,37.4,30.35,239519,8182318.15,2212,34.16,EQ
02-06-2023,33.95,34.6,33.65,33.95,33.9,37.4,30.35,282307,9621171.45,1182,34.08,EQ
05-06-2023,34.2,37.0,34.2,35.75,35.65,37.4,30.35,1900545,68526100.05,5088,36.06,EQ
06-06-2023,36.0,36.5,34.65,35.0,35.05,37.4,30.35,811473,28610674.1,1945,35.26,EQ
07-06-2023,35.2,35.3,33.8,34.2,34.3,37.4,30.35,507992,17449952.75,2020,34.35,EQ
08-06-2023,34.4,35.25,34.0,34.2,34.45,37.4,30.35,468062,16189513.25,1496,34.59,EQ
09-06-2023,34.7,35.95,34.1,34.6,35.0,37.4,30.35,448727,15742185.8,2138,35.08,EQ
12-06-2023,35.0,40.7,34.95,39.35,39.1,40.7,30.35,4552922,173999647.55,9844,38.22,EQ
