DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
14-08-2023,31.0,31.0,29.45,29.5,29.45,31.0,29.45,1310641,38946601.9,6437,29.72,BE
16-08-2023,30.1,30.95,30.0,30.95,30.95,31.0,29.45,310948,9559585.2,2336,30.74,BE
17-08-2023,32.45,32.45,32.45,32.45,32.45,32.45,29.45,91852,2980597.4,708,32.45,BE
18-08-2023,34.05,34.05,34.05,34.05,34.05,34.05,29.45,79302,2700233.1,688,34.05,BE
21-08-2023,35.75,35.75,35.75,35.75,35.75,35.75,29.45,392381,14027620.75,1125,35.75,BE
22-08-2023,36.5,37.5,35.75,37.5,37.5,37.5,29.45,315942,11630747.0,1407,36.81,BE
23-08-2023,39.35,39.35,39.35,39.35,39.35,39.35,29.45,41183,1620551.05,405,39.35,BE
24-08-2023,41.3,41.3,41.3,41.3,41.3,41.3,29.45,33377,1378470.1,415,41.3,BE
25-08-2023,43.35,43.35,43.35,43.35,43.35,43.35,29.45,303119,13140208.65,625,43.35,BE
28-08-2023,45.5,45.5,41.2,43.85,43.8,45.5,29.45,1918615,82382983.45,12514,42.94,BE
29-08-2023,43.4,43.4,39.5,39.5,39.5,43.4,39.5,1148759,46380622.95,7198,40.37,EQ
30-08-2023,36.15,39.05,35.55,35.95,36.0,43.4,35.55,2425944,89566034.6,10745,36.92,EQ
31-08-2023,35.5,38.3,35.5,37.4,37.45,43.4,35.5,567626,21157580.8,4023,37.27,EQ
01-09-2023,37.65,37.75,36.55,36.7,36.6,43.4,35.5,484793,17956789.4,3642,37.04,EQ
04-09-2023,37.2,37.35,36.6,37.05,37.1,43.4,35.5,230405,8543881.95,2617,37.08,EQ
05-09-2023,37.45,38.0,37.05,37.45,37.4,43.4,35.5,344187,12844868.3,2495,37.32,EQ
06-09-2023,37.5,37.7,36.9,37.15,37.05,43.4,35.5,265683,9922631.35,2411,37.35,EQ
07-09-2023,37.2,37.55,36.75,37.2,37.2,43.4,35.5,316037,11787647.25,1761,37.3,EQ
08-09-2023,37.45,37.65,36.9,37.35,37.45,43.4,35.5,408424,15198764.9,2008,37.21,EQ
11-09-2023,37.45,38.8,36.8,37.4,37.35,43.4,35.5,515496,19549083.0,2786,37.92,EQ
12-09-2023,37.5,38.1,36.6,36.95,36.85,43.4,35.5,321164,11913746.25,2589,37.1,EQ
13-09-2023,37.05,37.1,36.2,36.35,36.35,43.4,35.5,254742,9315418.75,1903,36.57,EQ
14-09-2023,36.6,37.1,36.55,36.7,36.9,43.4,35.5,145090,5343873.85,1547,36.83,EQ
15-09-2023,37.2,37.2,36.2,36.55,36.55,43.4,35.5,170738,6245734.3,2303,36.58,EQ
18-09-2023,36.55,36.55,36.0,36.15,36.05,43.4,35.5,206855,7524965.65,1516,36.38,EQ
20-09-2023,35.65,36.0,35.25,35.6,35.65,43.4,35.25,107240,3825925.2,1556,35.68,EQ
21-09-2023,36.0,36.35,34.5,34.75,34.7,43.4,34.5,157258,5524623.25,2336,35.13,EQ
22-09-2023,35.1,35.1,32.75,32.95,32.8,43.4,32.75,265213,8851128.3,3079,33.37,EQ
25-09-2023,32.95,33.0,31.7,31.95,31.8,43.4,31.7,226065,7333129.0,2266,32.44,EQ
26-09-2023,32.45,32.45,31.75,31.95,31.95,43.4,31.7,115278,3698088.35,1354,32.08,EQ
27-09-2023,31.95,35.1,31.65,35.1,35.1,43.4,31.65,448309,15258660.85,3726,34.04,EQ
28-09-2023,35.4,35.7,33.7,34.05,33.9,43.4,31.65,354165,12248085.7,3195,34.58,EQ
29-09-2023,33.7,34.2,33.05,33.45,33.2,43.4,31.65,211301,7120114.4,2393,33.7,EQ
03-10-2023,33.6,34.1,32.6,33.0,33.0,43.4,31.65,198510,6596491.65,1617,33.23,EQ
04-10-2023,33.35,33.35,32.5,32.8,33.0,43.4,31.65,133998,4410873.75,1830,32.92,EQ
05-10-2023,33.65,33.65,32.65,32.85,33.05,43.4,31.65,136900,4508871.2,1816,32.94,EQ
06-10-2023,33.1,33.6,32.75,33.05,33.0,43.4,31.65,191150,6353608.05,1826,33.24,EQ
09-10-2023,33.0,33.2,32.2,32.4,32.5,43.4,31.65,136301,4449311.7,1567,32.64,EQ
10-10-2023,32.65,33.0,32.45,32.8,32.95,43.4,31.65,87346,2864707.75,1034,32.8,EQ
11-10-2023,32.95,33.2,32.75,32.95,32.85,43.4,31.65,119543,3941916.5,1510,32.97,EQ
12-10-2023,33.2,33.4,32.85,32.95,33.0,43.4,31.65,126224,4167154.55,1337,33.01,EQ
13-10-2023,32.8,33.1,32.0,32.6,32.8,43.4,31.65,181423,5918925.4,1420,32.63,EQ
16-10-2023,32.8,34.5,32.8,33.2,33.1,43.4,31.65,564725,18938370.0,3522,33.54,EQ
17-10-2023,33.5,33.8,32.6,32.8,32.65,43.4,31.65,451610,15006457.5,3194,33.23,EQ
18-10-2023,33.2,33.25,32.4,32.45,32.5,43.4,31.65,153028,4997610.35,2043,32.66,EQ
19-10-2023,32.8,32.8,32.0,32.25,32.3,43.4,31.65,135608,4364058.45,1289,32.18,EQ
20-10-2023,32.2,32.5,31.9,32.05,32.15,43.4,31.65,100105,3213695.55,1308,32.1,EQ
23-10-2023,32.25,32.35,29.85,30.45,29.85,43.4,29.85,709586,22235429.9,1750,31.34,EQ
25-10-2023,30.55,31.9,30.0,30.45,30.0,43.4,29.85,83443,2557763.95,1178,30.65,EQ
26-10-2023,30.5,30.9,28.75,29.15,29.4,43.4,28.75,280591,8206065.0,2128,29.25,EQ
27-10-2023,29.2,30.2,29.2,29.9,30.05,43.4,28.75,87348,2618250.5,997,29.97,EQ
30-10-2023,30.6,30.9,29.55,30.0,29.9,43.4,28.75,262740,7898761.25,886,30.06,EQ
31-10-2023,30.15,30.4,29.8,29.95,29.85,43.4,28.75,157705,4734126.7,1119,30.02,EQ
01-11-2023,29.9,30.05,29.8,29.9,29.8,43.4,28.75,44459,1331588.65,574,29.95,EQ
02-11-2023,30.1,30.1,29.8,29.95,30.0,43.4,28.75,57738,1729571.1,617,29.96,EQ
03-11-2023,30.0,30.4,29.9,29.95,29.95,43.4,28.75,184408,5544747.7,1100,30.07,EQ
06-11-2023,30.4,32.45,30.05,30.3,30.4,43.4,28.75,1123429,35111402.7,3474,31.25,EQ
07-11-2023,30.9,31.0,30.45,30.65,30.5,43.4,28.75,221433,6798643.75,1198,30.7,EQ
08-11-2023,31.65,32.45,31.05,31.9,31.95,43.4,28.75,555021,17651159.45,2622,31.8,EQ
09-11-2023,32.2,32.35,31.55,31.75,31.8,43.4,28.75,217183,6949765.0,1988,32.0,EQ
10-11-2023,31.55,31.95,31.3,31.5,31.6,43.4,28.75,256091,8107292.15,1593,31.66,EQ
12-11-2023,30.75,31.65,30.75,31.4,31.65,43.4,28.75,160674,4994176.85,860,31.08,EQ
13-11-2023,31.4,31.95,31.25,31.35,31.5,43.4,28.75,143042,4509314.6,998,31.52,EQ
15-11-2023,31.9,32.1,31.3,31.4,31.55,43.4,28.75,151076,4773341.1,1324,31.6,EQ
16-11-2023,31.45,31.65,31.4,31.55,31.5,43.4,28.75,112986,3561423.7,1066,31.52,EQ
17-11-2023,31.75,31.75,31.05,31.2,31.25,43.4,28.75,186074,5822767.15,1058,31.29,EQ
20-11-2023,31.5,31.7,31.0,31.15,31.25,43.4,28.75,111351,3483641.65,894,31.29,EQ
21-11-2023,31.45,31.45,31.0,31.0,31.05,43.4,28.75,105969,3303375.85,747,31.17,EQ
22-11-2023,31.0,31.25,30.85,30.95,30.95,43.4,28.75,48322,1498040.9,630,31.0,EQ
23-11-2023,30.95,30.95,30.45,30.6,30.7,43.4,28.75,142525,4384265.9,1014,30.76,EQ
24-11-2023,30.6,30.7,30.5,30.55,30.6,43.4,28.75,96319,2946597.15,800,30.59,EQ
28-11-2023,30.65,30.7,29.9,30.35,30.3,43.4,28.75,195701,5925359.75,1295,30.28,EQ
29-11-2023,30.45,30.5,30.0,30.15,30.15,43.4,28.75,131527,3977865.0,1081,30.24,EQ
30-11-2023,30.1,30.3,30.0,30.1,30.2,43.4,28.75,121467,3654754.15,1010,30.09,EQ
01-12-2023,30.05,30.4,30.05,30.25,30.2,43.4,28.75,131499,3973434.3,824,30.22,EQ
04-12-2023,30.35,30.9,29.75,30.25,30.4,43.4,28.75,248833,7531574.4,1309,30.27,EQ
05-12-2023,30.4,30.6,30.1,30.15,30.15,43.4,28.75,222968,6757667.05,1538,30.31,EQ
06-12-2023,30.4,30.45,29.9,30.1,30.2,43.4,28.75,260719,7860711.6,1369,30.15,EQ
07-12-2023,30.3,34.75,30.15,33.5,33.5,43.4,28.75,2981153,99522990.65,12091,33.38,EQ
08-12-2023,33.95,34.3,31.7,32.15,32.15,43.4,28.75,981938,32600824.45,5441,33.2,EQ
11-12-2023,32.3,32.4,31.55,31.9,31.9,43.4,28.75,433439,13836098.7,2410,31.92,EQ
