DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-09-2006,370.0,430.7,370.0,416.45,415.25,430.7,370.0,9531676,3900503699.6,,409.21,EQ
21-09-2006,424.9,444.0,417.0,428.4,431.9,444.0,370.0,3245973,1407933609.05,,433.75,EQ
22-09-2006,431.0,464.9,423.0,454.7,461.5,464.9,370.0,2838027,1259377004.9,,443.75,EQ
25-09-2006,470.0,471.45,437.5,440.75,442.3,471.45,370.0,1504206,680618257.95,,452.48,EQ
26-09-2006,442.4,449.0,431.5,438.5,438.0,471.45,370.0,486104,215017463.55,,442.33,EQ
27-09-2006,443.0,457.8,431.6,441.4,441.3,471.45,370.0,732163,326722739.2,,446.24,EQ
28-09-2006,443.6,452.0,436.5,443.3,444.0,471.45,370.0,455107,203052130.05,,446.16,EQ
29-09-2006,446.8,459.5,436.0,452.45,454.0,471.45,370.0,495208,223606670.1,,451.54,EQ
03-10-2006,456.9,458.0,450.25,451.2,451.0,471.45,370.0,111666,50411414.65,,451.45,EQ
04-10-2006,450.0,471.9,368.7,451.85,450.15,471.9,368.7,573833,264318119.8,,460.62,EQ
05-10-2006,458.5,467.5,451.5,456.0,455.0,471.9,368.7,227275,104681454.25,,460.59,EQ
06-10-2006,457.0,463.95,450.55,452.9,452.15,471.9,368.7,87656,40092665.95,,457.39,EQ
09-10-2006,453.0,458.0,445.0,447.85,450.0,471.9,368.7,76600,34591303.85,,451.58,EQ
10-10-2006,452.0,474.0,451.1,463.6,463.3,474.0,368.7,374337,173683903.4,,463.98,EQ
11-10-2006,460.0,473.5,445.0,450.65,448.3,474.0,368.7,229542,106049050.6,,462.0,EQ
12-10-2006,453.0,468.0,451.0,465.35,466.8,474.0,368.7,136541,62961862.55,,461.12,EQ
13-10-2006,467.0,494.0,461.0,482.35,483.4,494.0,368.7,690358,333050515.2,,482.43,EQ
16-10-2006,486.0,496.85,466.25,470.2,468.9,496.85,368.7,278062,134504105.55,,483.72,EQ
17-10-2006,471.0,478.5,464.0,469.65,470.0,496.85,368.7,138527,65298930.65,,471.38,EQ
18-10-2006,470.0,477.0,459.5,462.3,464.0,496.85,368.7,61754,28923333.35,,468.36,EQ
