DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-06-2011,485.0,491.0,465.0,478.85,485.0,491.0,465.0,5151,2460672.85,249,477.71,EQ
21-06-2011,488.8,488.8,475.0,475.3,483.5,491.0,465.0,168,80764.1,17,480.74,EQ
22-06-2011,475.5,475.5,475.5,475.5,475.5,491.0,465.0,221,105085.5,1,475.5,EQ
23-06-2011,473.0,492.0,472.0,473.3,473.0,492.0,465.0,279,133332.5,19,477.89,EQ
24-06-2011,480.0,483.0,474.0,480.0,480.0,492.0,465.0,676,324130.0,19,479.48,EQ
27-06-2011,481.5,492.0,481.0,481.0,481.0,492.0,465.0,1630,790747.2,31,485.12,EQ
28-06-2011,478.0,491.95,478.0,481.15,481.15,492.0,465.0,52,24903.8,5,478.92,EQ
29-06-2011,485.0,495.0,480.0,483.0,483.0,495.0,465.0,71,34363.9,9,484.0,EQ
30-06-2011,482.0,486.0,480.0,480.0,480.0,495.0,465.0,519,249285.0,17,480.32,EQ
01-07-2011,470.0,490.0,470.0,480.0,480.0,495.0,465.0,64,30825.7,8,481.65,EQ
04-07-2011,480.0,494.0,476.0,490.0,490.0,495.0,465.0,2889,1410567.3,64,488.25,EQ
05-07-2011,496.0,525.0,486.5,512.85,520.0,525.0,465.0,3244,1664306.9,145,513.04,EQ
06-07-2011,520.0,536.0,520.0,523.3,521.1,536.0,465.0,11094,5876280.45,646,529.68,EQ
07-07-2011,536.0,549.0,507.0,541.5,537.5,549.0,465.0,17456,9428374.35,558,540.12,EQ
08-07-2011,551.0,567.0,547.0,551.0,550.0,567.0,465.0,12605,7016097.1,393,556.61,EQ
11-07-2011,550.5,562.4,541.5,553.65,557.5,567.0,465.0,7161,3956458.65,423,552.5,EQ
12-07-2011,550.0,550.0,530.0,545.8,549.5,567.0,465.0,3917,2112867.6,130,539.41,EQ
13-07-2011,540.25,555.0,535.7,549.0,549.9,567.0,465.0,287,157313.95,26,548.13,EQ
14-07-2011,550.0,550.0,535.05,540.3,538.5,567.0,465.0,1638,885342.75,65,540.5,EQ
15-07-2011,538.5,549.5,535.0,540.15,544.9,567.0,465.0,1481,799885.8,77,540.1,EQ
18-07-2011,545.0,556.0,536.2,552.9,545.0,567.0,465.0,2943,1615817.25,140,549.04,EQ
19-07-2011,549.0,574.8,549.0,564.1,564.0,574.8,465.0,6342,3593898.35,194,566.68,EQ
20-07-2011,569.9,578.0,563.05,567.3,568.5,578.0,465.0,9578,5460715.6,286,570.13,EQ
21-07-2011,568.0,574.0,568.0,568.0,568.0,578.0,465.0,2548,1448319.75,73,568.41,EQ
22-07-2011,570.0,577.75,562.5,568.35,569.95,578.0,465.0,3848,2195506.8,105,570.56,EQ
25-07-2011,576.35,580.0,570.0,570.05,570.0,580.0,465.0,2134,1221761.55,55,572.52,EQ
26-07-2011,566.1,574.0,551.6,566.4,574.0,580.0,465.0,19587,10997878.3,106,561.49,EQ
27-07-2011,555.0,565.0,555.0,562.1,562.0,580.0,465.0,1271,713210.5,30,561.14,EQ
28-07-2011,560.05,570.0,559.95,562.3,570.0,580.0,465.0,4690,2630199.4,72,560.81,EQ
29-07-2011,561.1,567.05,560.0,560.0,560.0,580.0,465.0,2691,1509731.5,51,561.03,EQ
01-08-2011,560.0,562.0,555.0,560.2,560.0,580.0,465.0,1518,849805.25,25,559.82,EQ
02-08-2011,510.2,572.95,510.2,547.95,550.0,580.0,465.0,745,404635.25,54,543.13,EQ
03-08-2011,545.0,545.0,521.2,530.3,529.95,580.0,465.0,329,174831.3,47,531.4,EQ
04-08-2011,529.0,529.0,505.05,509.4,506.5,580.0,465.0,568,293738.2,38,517.14,EQ
05-08-2011,500.0,520.0,480.1,505.75,501.1,580.0,465.0,2095,1026058.95,83,489.77,EQ
08-08-2011,500.0,505.5,492.0,499.45,500.0,580.0,465.0,1359,679019.75,48,499.65,EQ
09-08-2011,476.0,528.85,475.0,501.0,501.0,580.0,465.0,1155,567649.75,40,491.47,EQ
10-08-2011,525.9,525.9,501.0,521.9,523.8,580.0,465.0,1297,668698.9,41,515.57,EQ
11-08-2011,515.0,524.95,515.0,515.15,519.95,580.0,465.0,1101,567816.55,31,515.73,EQ
12-08-2011,500.0,523.0,500.0,512.85,516.9,580.0,465.0,7747,3975153.15,147,513.12,EQ
16-08-2011,533.9,533.9,508.0,510.55,512.0,580.0,465.0,3658,1879971.1,52,513.93,EQ
17-08-2011,506.5,510.0,506.5,507.45,507.0,580.0,465.0,4451,2257963.8,47,507.29,EQ
18-08-2011,481.0,509.9,481.0,497.1,497.0,580.0,465.0,2399,1194342.7,48,497.85,EQ
19-08-2011,492.1,494.5,481.05,489.95,492.0,580.0,465.0,3480,1685916.9,40,484.46,EQ
22-08-2011,485.0,514.4,480.0,496.05,495.0,580.0,465.0,1696,845432.7,85,498.49,EQ
