DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
13-10-2010,1500.0,1806.8,1500.0,1707.95,1702.55,1806.8,1500.0,9268850,16036299619.0,,1730.13,EQ
14-10-2010,1716.0,1724.0,1650.0,1668.5,1669.5,1806.8,1500.0,665370,1117392788.65,,1679.36,EQ
15-10-2010,1670.0,1750.0,1632.2,1714.95,1675.0,1806.8,1500.0,530764,898863486.8,,1693.53,EQ
18-10-2010,1700.0,1750.0,1655.0,1685.0,1682.0,1806.8,1500.0,227661,385658374.6,,1694.0,EQ
19-10-2010,1666.0,1712.4,1664.0,1672.5,1672.2,1806.8,1500.0,135643,229669481.8,,1693.19,EQ
20-10-2010,1672.0,1687.9,1635.2,1642.75,1647.0,1806.8,1500.0,43672,72528707.85,,1660.76,EQ
21-10-2010,1650.0,1682.8,1645.0,1658.45,1645.25,1806.8,1500.0,71126,118121195.75,,1660.73,EQ
22-10-2010,1640.0,1700.0,1640.0,1688.95,1681.15,1806.8,1500.0,159706,268374439.4,,1680.43,EQ
25-10-2010,1695.0,1695.05,1561.0,1641.3,1661.0,1806.8,1500.0,98433,160918384.1,,1634.8,EQ
26-10-2010,1651.25,1673.95,1625.0,1632.2,1631.0,1806.8,1500.0,22799,37484967.1,,1644.15,EQ
27-10-2010,1649.0,1649.0,1601.0,1609.25,1610.0,1806.8,1500.0,40485,65324110.7,,1613.54,EQ
28-10-2010,1619.65,1655.0,1605.0,1618.5,1630.0,1806.8,1500.0,55800,91043809.3,,1631.61,EQ
29-10-2010,1630.0,1660.0,1610.1,1633.65,1633.8,1806.8,1500.0,46519,76203064.7,,1638.11,EQ
01-11-2010,1649.9,1679.8,1620.0,1647.6,1674.0,1806.8,1500.0,36747,60394387.45,,1643.52,EQ
02-11-2010,1651.2,1693.3,1647.3,1667.2,1652.0,1806.8,1500.0,39030,65204611.45,,1670.63,EQ
03-11-2010,1665.0,1690.0,1640.0,1681.0,1686.0,1806.8,1500.0,32831,54883568.25,,1671.7,EQ
04-11-2010,1692.0,1692.0,1664.5,1672.1,1672.0,1806.8,1500.0,11587,19357111.75,,1670.59,EQ
05-11-2010,1670.2,1729.4,1670.2,1684.85,1676.0,1806.8,1500.0,25876,44221992.0,,1709.0,EQ
08-11-2010,1680.0,1692.0,1662.25,1671.65,1665.0,1806.8,1500.0,13504,22648120.2,,1677.14,EQ
09-11-2010,1651.0,1774.0,1650.0,1708.7,1705.0,1806.8,1500.0,158860,275404048.75,,1733.63,EQ
10-11-2010,1709.0,1739.0,1652.25,1668.8,1656.25,1806.8,1500.0,54315,91898231.4,,1691.95,EQ
11-11-2010,1675.0,1682.0,1651.25,1658.4,1664.8,1806.8,1500.0,37140,62019591.7,,1669.89,EQ
12-11-2010,1658.4,1699.0,1651.0,1683.7,1684.0,1806.8,1500.0,14824,24863804.6,,1677.27,EQ
15-11-2010,1689.4,1744.0,1660.05,1669.9,1667.0,1806.8,1500.0,91784,155515866.95,,1694.37,EQ
16-11-2010,1673.1,1693.0,1635.0,1649.1,1655.0,1806.8,1500.0,35000,58007028.55,,1657.34,EQ
18-11-2010,1691.0,1698.7,1622.05,1664.65,1660.0,1806.8,1500.0,33199,55157045.1,,1661.41,EQ
19-11-2010,1656.0,1676.0,1645.0,1664.85,1667.9,1806.8,1500.0,15119,25117133.05,,1661.3,EQ
22-11-2010,1680.0,1687.0,1650.0,1670.35,1663.75,1806.8,1500.0,10651,17788840.75,,1670.16,EQ
23-11-2010,1669.95,1678.7,1645.0,1651.55,1645.0,1806.8,1500.0,7968,13201817.3,,1656.85,EQ
24-11-2010,1659.0,1685.0,1650.0,1672.3,1670.0,1806.8,1500.0,10465,17523480.05,,1674.48,EQ
25-11-2010,1670.05,1704.0,1657.9,1665.8,1657.9,1806.8,1500.0,15162,25478707.5,,1680.43,EQ
26-11-2010,1660.0,1670.0,1547.15,1656.9,1649.0,1806.8,1500.0,17910,29076081.95,,1623.46,EQ
29-11-2010,1656.0,1656.0,1601.1,1634.9,1645.0,1806.8,1500.0,9704,15903715.8,,1638.88,EQ
30-11-2010,1635.1,1635.1,1608.0,1621.85,1624.0,1806.8,1500.0,7586,12330506.75,,1625.43,EQ
01-12-2010,1621.1,1674.0,1554.0,1640.6,1649.9,1806.8,1500.0,39798,65145572.75,,1636.91,EQ
02-12-2010,1690.0,1690.0,1642.0,1649.5,1647.0,1806.8,1500.0,13466,22381690.1,,1662.09,EQ
03-12-2010,1659.0,1669.0,1602.0,1617.95,1610.1,1806.8,1500.0,13251,21589552.5,,1629.28,EQ
06-12-2010,1630.0,1650.0,1551.0,1627.9,1634.0,1806.8,1500.0,25265,40945182.8,,1620.63,EQ
07-12-2010,1648.0,1665.0,1600.0,1625.0,1625.0,1806.8,1500.0,33564,54393303.9,,1620.58,EQ
08-12-2010,1611.0,1645.0,1555.25,1572.35,1562.0,1806.8,1500.0,47819,75242014.5,,1573.48,EQ
09-12-2010,1587.9,1620.0,1562.9,1569.25,1570.0,1806.8,1500.0,36812,58838794.2,,1598.36,EQ
10-12-2010,1598.0,1598.0,1564.25,1573.15,1570.0,1806.8,1500.0,7947,12550367.75,,1579.26,EQ
13-12-2010,1547.0,1575.0,1440.0,1511.35,1532.3,1806.8,1440.0,45967,68282668.1,,1485.47,EQ
14-12-2010,1525.0,1538.0,1476.1,1493.1,1480.0,1806.8,1440.0,5998,9047647.8,,1508.44,EQ
15-12-2010,1500.0,1535.0,1475.0,1496.45,1509.9,1806.8,1440.0,10214,15328155.0,,1500.7,EQ
16-12-2010,1496.0,1530.0,1465.0,1473.5,1470.0,1806.8,1440.0,1781,2640542.2,,1482.62,EQ
20-12-2010,1470.0,1494.9,1426.1,1441.6,1428.0,1806.8,1426.1,4597,6708081.7,,1459.23,EQ
21-12-2010,1440.0,1449.7,1407.0,1439.4,1440.0,1806.8,1407.0,7777,11104771.15,,1427.9,EQ
22-12-2010,1438.9,1463.85,1430.25,1451.05,1454.0,1806.8,1407.0,2807,4057482.15,,1445.49,EQ
23-12-2010,1443.0,1550.0,1443.0,1537.6,1550.0,1806.8,1407.0,16698,25286077.5,,1514.32,EQ
24-12-2010,1510.0,1559.0,1502.75,1539.45,1550.0,1806.8,1407.0,5640,8681113.25,,1539.2,EQ
27-12-2010,1549.0,1555.0,1524.5,1540.65,1550.0,1806.8,1407.0,1153,1773857.5,,1538.47,EQ
28-12-2010,1540.0,1550.0,1523.1,1528.0,1525.0,1806.8,1407.0,1597,2446110.4,,1531.69,EQ
29-12-2010,1528.0,1558.0,1476.3,1538.25,1535.0,1806.8,1407.0,13802,21115429.05,,1529.88,EQ
30-12-2010,1530.0,1579.0,1526.15,1569.55,1569.0,1806.8,1407.0,14112,22132235.3,,1568.33,EQ
31-12-2010,1561.0,1603.0,1560.0,1586.65,1583.1,1806.8,1407.0,5762,9193711.2,,1595.58,EQ
03-01-2011,1560.1,1598.8,1560.0,1568.05,1567.0,1806.8,1407.0,955,1507477.45,,1578.51,EQ
04-01-2011,1568.0,1578.0,1538.5,1554.85,1550.0,1806.8,1407.0,3326,5165755.6,,1553.14,EQ
05-01-2011,1554.85,1569.0,1530.0,1530.8,1530.0,1806.8,1407.0,684,1054887.3,,1542.23,EQ
06-01-2011,1530.0,1544.7,1520.0,1531.25,1530.1,1806.8,1407.0,446,684200.3,,1534.08,EQ
07-01-2011,1528.0,1530.0,1480.3,1490.45,1480.3,1806.8,1407.0,1092,1641595.85,,1503.29,EQ
10-01-2011,1490.0,1505.0,1460.15,1471.25,1476.2,1806.8,1407.0,2273,3374156.35,,1484.45,EQ
11-01-2011,1471.0,1501.0,1461.2,1469.95,1470.0,1806.8,1407.0,4277,6325898.2,,1479.05,EQ
12-01-2011,1470.0,1492.0,1461.0,1480.2,1480.0,1806.8,1407.0,14820,21766648.6,,1468.73,EQ
13-01-2011,1481.0,1548.9,1480.0,1505.55,1505.0,1806.8,1407.0,3050,4611898.0,,1512.1,EQ
14-01-2011,1500.0,1514.9,1477.25,1501.0,1500.0,1806.8,1407.0,5857,8789985.2,,1500.77,EQ
17-01-2011,1509.0,1509.0,1445.0,1451.3,1455.0,1806.8,1407.0,2684,3938421.6,,1467.37,EQ
18-01-2011,1451.3,1492.0,1451.3,1487.45,1492.0,1806.8,1407.0,1521,2252200.4,,1480.74,EQ
19-01-2011,1487.0,1505.0,1475.0,1487.15,1479.0,1806.8,1407.0,2069,3099566.65,,1498.1,EQ
20-01-2011,1498.0,1505.0,1498.0,1500.8,1500.0,1806.8,1407.0,5479,8218910.7,,1500.07,EQ
21-01-2011,1500.0,1504.0,1450.0,1494.05,1475.0,1806.8,1407.0,31391,47074073.1,,1499.6,EQ
24-01-2011,1481.0,1519.0,1468.0,1503.65,1514.9,1806.8,1407.0,1557,2330007.0,,1496.47,EQ
25-01-2011,1483.1,1517.0,1475.25,1478.6,1475.25,1806.8,1407.0,837,1250691.3,,1494.25,EQ
27-01-2011,1476.0,1494.65,1450.0,1459.0,1474.0,1806.8,1407.0,344,504270.15,,1465.9,EQ
28-01-2011,1475.0,1475.0,1425.0,1430.1,1430.0,1806.8,1407.0,2251,3232900.75,,1436.21,EQ
31-01-2011,1420.0,1435.0,1402.0,1415.0,1428.0,1806.8,1402.0,1933,2747397.95,,1421.31,EQ
01-02-2011,1415.0,1430.0,1365.1,1370.5,1365.2,1806.8,1365.1,2225,3085245.9,,1386.63,EQ
02-02-2011,1380.0,1410.0,1359.0,1375.2,1400.0,1806.8,1359.0,1411,1936650.95,,1372.54,EQ
03-02-2011,1390.0,1451.0,1382.0,1390.0,1390.0,1806.8,1359.0,8422,11707356.7,,1390.09,EQ
04-02-2011,1434.95,1434.95,1380.0,1389.9,1393.0,1806.8,1359.0,889,1236530.9,,1390.92,EQ
07-02-2011,1370.0,1408.0,1359.0,1371.5,1388.0,1806.8,1359.0,611,843654.95,,1380.78,EQ
08-02-2011,1369.0,1390.0,1211.4,1304.15,1310.0,1806.8,1211.4,18860,24328678.15,,1289.96,EQ
