DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
17-01-2022,122.45,122.45,122.45,122.45,122.45,122.45,122.45,100,12245.0,1,122.45,EQ
18-01-2022,128.55,128.55,128.55,128.55,128.55,128.55,122.45,50,6427.5,1,128.55,EQ
19-01-2022,134.95,134.95,134.95,134.95,134.95,134.95,122.45,560,75572.0,2,134.95,EQ
20-01-2022,141.65,141.65,141.65,141.65,141.65,141.65,122.45,50,7082.5,1,141.65,EQ
21-01-2022,148.7,148.7,148.7,148.7,148.7,148.7,122.45,50,7435.0,1,148.7,EQ
24-01-2022,156.1,156.1,148.55,156.1,156.1,156.1,122.45,40398,6292137.6,382,155.75,EQ
25-01-2022,163.9,163.9,163.9,163.9,163.9,163.9,122.45,500,81950.0,2,163.9,EQ
27-01-2022,172.05,172.05,172.05,172.05,172.05,172.05,122.45,1085,186674.25,5,172.05,EQ
28-01-2022,180.65,180.65,180.65,180.65,180.65,180.65,122.45,1848,333841.2,10,180.65,EQ
31-01-2022,189.65,189.65,173.0,189.65,189.65,189.65,122.45,31135,5812960.7,654,186.7,EQ
01-02-2022,199.1,199.1,183.3,199.1,199.1,199.1,122.45,15472,3031018.5,433,195.9,EQ
02-02-2022,208.4,209.05,196.85,209.05,209.05,209.05,122.45,11329,2365958.8,321,208.84,EQ
03-02-2022,219.5,219.5,213.5,219.5,219.5,219.5,122.45,5091,1115022.75,111,219.02,EQ
04-02-2022,230.45,230.45,208.55,208.55,208.55,230.45,122.45,23764,5159367.55,989,217.11,EQ
07-02-2022,198.15,206.45,198.15,198.15,198.15,230.45,122.45,3025,601191.7,106,198.74,EQ
08-02-2022,196.0,196.0,188.25,190.05,188.25,230.45,122.45,7531,1424713.15,234,189.18,EQ
09-02-2022,182.3,194.95,180.55,184.7,185.0,230.45,122.45,6275,1169409.85,214,186.36,EQ
10-02-2022,175.55,193.5,175.55,193.0,193.0,193.5,175.55,818,154105.25,28,188.39,BE
11-02-2022,200.0,201.0,183.5,196.95,199.0,201.0,175.55,5471,1073231.45,80,196.17,BE
14-02-2022,206.0,206.75,188.05,198.3,201.0,206.75,175.55,7285,1421273.25,116,195.1,BE
15-02-2022,190.65,205.0,190.5,190.75,190.75,206.75,175.55,674,130080.45,25,193.0,BE
16-02-2022,190.75,198.9,186.0,193.9,198.0,206.75,175.55,301,57166.8,15,189.92,BE
17-02-2022,184.5,184.5,184.25,184.25,184.25,206.75,175.55,470,86632.5,28,184.32,BE
18-02-2022,190.0,190.0,175.05,175.05,175.05,206.75,175.05,2405,424151.0,31,176.36,BE
21-02-2022,175.05,183.5,167.05,181.35,175.0,206.75,167.05,246,43106.8,18,175.23,BE
22-02-2022,172.3,181.95,172.3,180.8,181.95,206.75,167.05,577,101000.8,22,175.04,BE
23-02-2022,188.5,188.5,171.8,184.0,184.0,206.75,167.05,3010,518483.8,38,172.25,BE
24-02-2022,174.8,190.5,174.8,174.8,174.8,206.75,167.05,881,154871.5,17,175.79,BE
25-02-2022,166.1,182.95,166.1,179.85,179.85,206.75,166.1,244,42071.05,21,172.42,BE
28-02-2022,185.0,185.0,171.0,171.6,180.0,206.75,166.1,1392,240348.9,21,172.66,BE
02-03-2022,169.85,180.0,164.1,179.0,179.0,206.75,164.1,1106,188508.45,33,170.44,BE
03-03-2022,185.0,187.0,171.0,180.0,180.0,206.75,164.1,1207,209635.8,15,173.68,BE
04-03-2022,186.0,186.0,171.0,176.0,176.0,206.75,164.1,485,84755.1,24,174.75,BE
07-03-2022,170.0,180.0,167.5,174.2,180.0,206.75,164.1,929,159047.5,12,171.2,BE
08-03-2022,165.5,178.0,165.5,176.95,176.95,206.75,164.1,1286,212940.25,21,165.58,BE
09-03-2022,170.7,179.8,170.7,179.8,179.8,206.75,164.1,105,18860.8,7,179.63,BE
10-03-2022,187.45,187.45,178.0,178.0,178.0,206.75,164.1,161,28852.5,8,179.21,BE
11-03-2022,170.0,170.0,170.0,170.0,170.0,206.75,164.1,42,7140.0,8,170.0,BE
14-03-2022,175.0,175.0,161.5,161.5,161.5,206.75,161.5,643,103858.05,15,161.52,BE
15-03-2022,153.45,169.5,153.45,169.0,169.0,206.75,153.45,2211,341959.9,50,154.66,BE
16-03-2022,167.95,174.0,160.55,161.9,161.3,206.75,153.45,570,92798.2,16,162.8,BE
17-03-2022,161.9,169.95,154.0,160.4,168.95,206.75,153.45,1298,205422.65,40,158.26,BE
21-03-2022,167.95,168.4,153.5,167.95,167.95,206.75,153.45,457,73645.65,19,161.15,BE
22-03-2022,162.9,167.95,159.6,162.4,167.95,206.75,153.45,321,53201.85,7,165.74,BE
23-03-2022,170.45,170.45,154.35,157.0,166.45,206.75,153.45,786,125356.4,19,159.49,BE
24-03-2022,164.85,164.85,149.25,152.05,162.9,206.75,149.25,1722,261454.8,44,151.83,BE
25-03-2022,145.05,159.65,145.05,148.45,147.15,206.75,145.05,741,112771.9,52,152.19,BE
28-03-2022,148.05,148.05,142.2,145.0,145.0,206.75,142.2,1000,145203.6,16,145.2,BE
29-03-2022,142.6,152.25,142.55,152.25,152.25,206.75,142.2,431,63914.65,23,148.29,BE
30-03-2022,152.9,159.85,146.0,151.4,159.25,206.75,142.2,222,34832.7,16,156.9,BE
31-03-2022,158.95,158.95,144.6,158.95,158.95,206.75,142.2,208,31575.6,15,151.81,BE
01-04-2022,151.15,162.0,151.1,161.95,161.95,206.75,142.2,225,34813.85,14,154.73,BE
04-04-2022,154.1,169.8,154.1,169.7,169.8,206.75,142.2,211,35179.8,19,166.73,BE
05-04-2022,178.1,178.1,165.1,167.0,167.0,206.75,142.2,1037,181514.4,48,175.04,BE
06-04-2022,175.35,175.35,160.0,173.0,173.0,206.75,142.2,90,15243.6,13,169.37,BE
07-04-2022,167.8,180.0,167.8,178.55,178.55,206.75,142.2,87,14876.0,9,170.99,BE
08-04-2022,181.9,181.9,170.05,171.65,175.0,206.75,142.2,231,39870.6,25,172.6,BE
11-04-2022,179.9,179.9,163.6,168.5,168.5,206.75,142.2,163,28319.2,11,173.74,BE
12-04-2022,173.55,173.55,160.15,160.6,161.0,206.75,142.2,1789,293439.5,62,164.02,BE
13-04-2022,165.95,167.95,160.05,167.9,167.95,206.75,142.2,603,100009.05,16,165.85,BE
18-04-2022,176.25,176.25,174.9,174.9,174.9,206.75,142.2,410,72184.2,14,176.06,BE
19-04-2022,183.5,183.5,167.0,177.3,180.0,206.75,142.2,1325,239349.4,38,180.64,BE
20-04-2022,185.95,185.95,168.5,169.1,177.0,206.75,142.2,1729,296823.45,40,171.67,BE
21-04-2022,169.1,176.95,169.1,173.0,173.0,206.75,142.2,160,27986.7,11,174.92,BE
22-04-2022,172.0,179.95,170.5,176.75,176.75,206.75,142.2,375,65087.75,18,173.57,BE
25-04-2022,180.0,185.0,168.55,178.05,178.05,206.75,142.2,593,108478.65,24,182.93,BE
26-04-2022,178.05,178.05,170.1,175.0,175.0,206.75,142.2,697,120620.55,27,173.06,BE
27-04-2022,166.5,175.0,166.5,175.0,175.0,206.75,142.2,129,21872.0,7,169.55,BE
28-04-2022,179.8,179.8,166.35,169.7,175.0,206.75,142.2,169,28717.8,13,169.93,BE
29-04-2022,177.95,177.95,162.55,165.0,165.0,206.75,142.2,375,61688.05,13,164.5,BE
02-05-2022,164.0,168.95,164.0,165.1,168.5,206.75,142.2,249,41102.7,16,165.07,BE
04-05-2022,172.95,172.95,157.65,167.0,167.0,206.75,142.2,472,76318.3,14,161.69,BE
05-05-2022,174.95,175.35,174.95,175.35,175.35,206.75,142.2,4172,731136.65,16,175.25,BE
06-05-2022,170.05,183.85,168.15,173.25,168.3,206.75,142.2,516,92494.5,17,179.25,BE
09-05-2022,180.0,181.9,171.0,181.6,181.6,206.75,142.2,1380,249443.8,21,180.76,BE
10-05-2022,190.6,190.65,177.05,186.05,190.55,206.75,142.2,3271,619871.65,35,189.51,BE
11-05-2022,178.05,195.35,178.05,193.9,193.9,206.75,142.2,4884,944507.75,36,193.39,BE
12-05-2022,193.8,193.8,184.25,184.25,184.25,206.75,142.2,163,30600.85,8,187.74,BE
13-05-2022,184.0,185.0,175.05,175.05,175.05,206.75,142.2,2469,447950.45,15,181.43,BE
16-05-2022,166.3,181.7,166.3,174.7,174.7,206.75,142.2,2342,391737.05,35,167.27,BE
17-05-2022,177.7,177.7,166.0,176.0,176.0,206.75,142.2,1787,298403.4,27,166.99,BE
18-05-2022,176.95,181.8,176.95,181.5,181.5,206.75,142.2,558,99967.0,10,179.15,BE
19-05-2022,180.0,181.95,172.45,172.45,172.45,206.75,142.2,103,18249.45,7,177.18,BE
20-05-2022,179.75,179.75,171.0,172.6,174.95,206.75,142.2,162,27906.15,9,172.26,BE
23-05-2022,177.8,177.8,170.05,174.8,174.8,230.45,122.45,125,21586.6,7,172.69,EQ
24-05-2022,166.55,182.75,166.55,171.55,171.95,230.45,122.45,132,22723.9,11,172.15,EQ
25-05-2022,165.0,175.0,163.1,166.7,169.0,230.45,122.45,812,134676.55,43,165.86,EQ
26-05-2022,173.6,173.6,158.65,167.95,168.0,230.45,122.45,432,71830.4,28,166.27,EQ
27-05-2022,168.0,174.75,160.55,169.85,169.9,230.45,122.45,302,51270.3,32,169.77,EQ
30-05-2022,167.95,173.35,164.0,164.0,164.0,230.45,122.45,409,69594.35,22,170.16,EQ
