DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
05-06-2023,835.75,849.9,827.05,834.95,835.0,852.0,435.65,465247,388933473.8,10033,835.97,EQ
06-06-2023,840.0,840.0,829.0,834.6,834.0,852.0,435.65,70567,58849596.55,6070,833.95,EQ
07-06-2023,840.05,866.7,825.25,841.9,846.5,866.7,435.65,433529,370349994.25,18362,854.27,EQ
08-06-2023,846.5,846.5,806.7,813.75,812.0,866.7,435.65,137302,113379377.1,11410,825.77,EQ
09-06-2023,812.55,859.35,802.55,825.75,827.0,866.7,435.65,325078,272170943.6,24332,837.25,EQ
12-06-2023,838.0,838.75,811.3,815.35,818.7,866.7,435.65,89201,73002346.5,9199,818.4,EQ
13-06-2023,824.35,835.0,816.1,834.0,834.95,866.7,435.65,128844,107061984.15,7852,830.94,EQ
14-06-2023,835.0,862.0,825.0,851.5,845.0,866.7,435.65,187143,158636669.3,10337,847.68,EQ
15-06-2023,851.5,855.0,835.0,840.9,841.7,866.7,435.65,92522,77931470.45,12522,842.3,EQ
16-06-2023,840.9,847.95,824.75,826.5,827.95,866.7,435.65,93768,78119933.55,9964,833.12,EQ
19-06-2023,840.0,875.35,835.0,854.3,854.55,875.35,435.65,475987,406454009.5,44350,853.92,EQ
20-06-2023,856.0,875.0,855.9,869.15,866.2,875.35,435.65,182578,158246009.05,9471,866.73,EQ
21-06-2023,866.2,878.45,846.05,850.5,853.85,878.45,435.65,106089,91059309.35,9307,858.33,EQ
22-06-2023,869.0,869.0,842.15,852.35,850.25,878.45,435.65,38677,32921874.2,3435,851.2,EQ
23-06-2023,852.35,869.9,832.6,844.8,837.0,878.45,435.65,95516,81506966.85,8612,853.33,EQ
26-06-2023,848.0,877.95,844.0,850.9,854.0,878.45,460.6,156159,133844931.75,12562,857.11,EQ
27-06-2023,858.0,867.95,846.05,855.25,856.75,878.45,460.6,91636,78233473.8,8163,853.74,EQ
28-06-2023,865.0,865.0,854.0,861.4,863.0,878.45,460.6,42881,36909034.95,5207,860.73,EQ
30-06-2023,862.2,868.0,848.0,855.85,853.0,878.45,460.6,113215,97194794.45,8166,858.5,EQ
03-07-2023,860.95,866.5,842.45,845.3,844.1,878.45,486.2,111478,94772098.05,5221,850.14,EQ
04-07-2023,852.95,855.0,841.2,852.5,851.0,878.45,486.2,40513,34375883.35,4002,848.51,EQ
05-07-2023,860.95,864.15,851.05,862.15,864.0,878.45,486.2,89008,76592918.95,4343,860.52,EQ
06-07-2023,861.2,888.65,852.2,864.15,865.0,888.65,486.2,240989,210780043.8,20803,874.65,EQ
07-07-2023,865.0,870.1,847.1,866.2,870.1,888.65,486.2,115002,98684276.65,5093,858.11,EQ
10-07-2023,867.4,869.5,852.5,861.35,868.0,888.65,508.55,46723,40218741.25,5965,860.79,EQ
11-07-2023,862.1,893.25,862.1,877.7,874.0,893.25,508.55,383461,338260296.2,24217,882.12,EQ
12-07-2023,880.2,890.0,872.0,884.55,886.2,893.25,508.55,96450,84859337.55,9790,879.83,EQ
13-07-2023,890.0,910.0,885.05,898.55,900.0,910.0,508.55,146148,131544084.85,13637,900.07,EQ
14-07-2023,905.0,914.7,875.0,886.0,882.4,914.7,508.55,124697,111923593.35,11711,897.56,EQ
17-07-2023,882.5,921.35,881.4,912.3,913.95,921.35,511.25,136359,122188517.65,12083,896.08,EQ
18-07-2023,909.95,914.95,895.35,898.45,898.1,921.35,511.25,56769,51280971.4,11306,903.33,EQ
19-07-2023,900.15,905.0,870.2,880.45,883.0,921.35,511.25,79759,70837992.85,8476,888.15,EQ
20-07-2023,881.05,904.15,881.05,887.45,891.1,921.35,511.25,108716,97011450.2,12304,892.34,EQ
21-07-2023,887.45,911.0,885.25,891.0,885.25,921.35,511.25,130395,117507999.6,19961,901.17,EQ
24-07-2023,890.0,899.9,881.2,885.25,882.65,921.35,511.25,62962,55849324.0,6733,887.03,EQ
25-07-2023,886.6,914.45,886.6,901.8,898.0,921.35,511.25,121213,109589484.75,11822,904.11,EQ
26-07-2023,901.8,901.8,882.0,884.7,885.0,921.35,511.25,63258,56287779.35,7199,889.81,EQ
27-07-2023,886.0,939.0,886.0,898.2,899.95,939.0,511.25,406012,371058841.0,25342,913.91,EQ
28-07-2023,901.4,966.9,895.25,939.5,939.0,966.9,511.25,1293738,1191165991.15,31497,920.72,EQ
31-07-2023,950.05,953.5,931.5,936.15,936.0,966.9,586.35,124665,117122097.7,10797,939.49,EQ
01-08-2023,936.15,965.9,936.15,942.2,948.0,966.9,586.35,196836,187308348.15,17529,951.6,EQ
02-08-2023,948.0,950.0,911.6,928.5,931.8,966.9,586.35,87431,81246592.15,9606,929.27,EQ
03-08-2023,925.0,946.95,915.0,919.75,915.0,966.9,586.35,94746,87526797.1,10704,923.8,EQ
04-08-2023,919.75,933.5,915.0,929.8,920.1,966.9,586.35,55790,51811238.45,3488,928.68,EQ
07-08-2023,929.8,953.0,929.8,934.05,935.0,966.9,593.4,103542,98048672.0,9108,946.95,EQ
08-08-2023,951.25,951.3,915.3,924.45,924.95,966.9,593.4,324516,299032177.8,7335,921.47,EQ
09-08-2023,929.9,929.9,910.5,917.7,918.0,966.9,593.4,212485,195456875.65,6444,919.86,EQ
10-08-2023,924.0,938.25,915.3,926.75,923.0,966.9,593.4,67102,62216225.15,8942,927.19,EQ
11-08-2023,922.95,935.0,918.0,930.7,933.0,966.9,593.4,33638,31198610.1,4426,927.48,EQ
