DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
17-04-2000,110.0,110.0,110.0,110.0,110.0,300.0,95.0,50,5500.0,,110.0,EQ
18-04-2000,105.0,105.0,104.0,104.0,104.0,300.0,95.0,100,10450.0,,104.5,EQ
26-04-2000,110.0,110.0,110.0,110.0,110.0,300.0,95.0,200,22000.0,,110.0,EQ
05-05-2000,117.5,117.5,117.5,117.5,117.5,300.0,95.0,100,11750.0,,117.5,EQ
12-05-2000,110.5,110.5,110.5,110.5,110.5,300.0,95.0,100,11050.0,,110.5,EQ
16-05-2000,110.0,110.05,110.0,110.05,110.05,300.0,95.0,150,16502.5,,110.02,EQ
17-05-2000,110.0,110.0,110.0,110.0,110.0,300.0,95.0,50,5500.0,,110.0,EQ
22-05-2000,105.0,105.0,105.0,105.0,105.0,300.0,95.0,50,5250.0,,105.0,EQ
23-05-2000,100.0,105.5,100.0,105.35,105.5,300.0,95.0,450,46322.5,,102.94,EQ
24-05-2000,102.25,102.25,102.25,102.25,102.25,300.0,95.0,100,10225.0,,102.25,EQ
26-05-2000,103.25,103.25,103.0,103.1,103.0,300.0,95.0,100,10312.5,,103.13,EQ
30-05-2000,103.0,104.25,103.0,104.25,104.25,300.0,95.0,800,82900.0,,103.63,EQ
31-05-2000,104.5,104.5,104.5,104.5,104.5,300.0,95.0,50,5225.0,,104.5,EQ
02-06-2000,110.0,111.0,110.0,110.5,111.0,300.0,95.0,100,11050.0,,110.5,EQ
05-06-2000,105.1,105.1,105.1,105.1,105.1,300.0,95.0,100,10510.0,,105.1,EQ
09-06-2000,105.05,105.05,105.05,105.05,105.05,300.0,95.0,50,5252.5,,105.05,EQ
19-06-2000,105.0,105.0,105.0,105.0,105.0,300.0,95.0,50,5250.0,,105.0,EQ
20-06-2000,108.0,108.0,108.0,108.0,108.0,300.0,95.0,50,5400.0,,108.0,EQ
21-06-2000,102.0,102.0,102.0,102.0,102.0,300.0,95.0,100,10200.0,,102.0,EQ
23-06-2000,100.0,100.0,100.0,100.0,100.0,300.0,95.0,100,10000.0,,100.0,EQ
26-06-2000,102.0,102.0,102.0,102.0,102.0,300.0,95.0,150,15300.0,,102.0,EQ
04-07-2000,100.05,102.95,100.05,101.55,102.95,300.0,95.0,400,40327.5,,100.82,EQ
07-07-2000,98.5,99.0,98.5,98.75,98.75,300.0,95.0,350,34525.0,,98.64,EQ
10-07-2000,96.0,96.0,96.0,96.0,96.0,300.0,95.0,100,9600.0,,96.0,EQ
11-07-2000,100.0,100.0,100.0,100.0,100.0,300.0,95.0,100,10000.0,,100.0,EQ
12-07-2000,100.0,100.0,100.0,100.0,100.0,300.0,95.0,100,10000.0,,100.0,EQ
17-07-2000,100.0,105.75,100.0,105.0,105.0,300.0,95.0,450,46187.5,,102.64,EQ
18-07-2000,110.0,110.0,110.0,110.0,110.0,300.0,95.0,150,16500.0,,110.0,EQ
19-07-2000,118.0,118.5,118.0,118.5,118.5,300.0,95.0,500,59150.0,,118.3,EQ
20-07-2000,118.5,118.5,118.5,118.5,118.5,300.0,95.0,100,11850.0,,118.5,EQ
21-07-2000,117.0,127.5,117.0,127.5,127.5,300.0,95.0,400,47575.0,,118.94,EQ
25-07-2000,130.0,130.0,130.0,130.0,130.0,300.0,95.0,50,6500.0,,130.0,EQ
26-07-2000,120.1,120.1,120.1,120.1,120.1,300.0,95.0,50,6005.0,,120.1,EQ
27-07-2000,113.0,113.0,113.0,113.0,113.0,300.0,95.0,100,11300.0,,113.0,EQ
28-07-2000,113.0,115.0,113.0,115.0,115.0,300.0,95.0,100,11400.0,,114.0,EQ
31-07-2000,113.05,115.0,106.0,106.0,106.0,300.0,95.0,850,95090.0,,111.87,EQ
01-08-2000,109.75,114.0,109.0,111.6,114.0,300.0,95.0,850,93992.5,,110.58,EQ
02-08-2000,115.0,115.0,115.0,115.0,115.0,300.0,95.0,150,17250.0,,115.0,EQ
03-08-2000,112.25,112.25,112.25,112.25,112.25,300.0,95.0,100,11225.0,,112.25,EQ
08-08-2000,112.0,112.0,112.0,112.0,112.0,300.0,95.0,100,11200.0,,112.0,EQ
09-08-2000,111.0,111.0,111.0,111.0,111.0,300.0,95.0,50,5550.0,,111.0,EQ
10-08-2000,107.0,107.0,107.0,107.0,107.0,300.0,95.0,50,5350.0,,107.0,EQ
21-08-2000,101.0,101.0,101.0,101.0,101.0,300.0,95.0,50,5050.0,,101.0,EQ
24-08-2000,109.0,109.0,109.0,109.0,109.0,300.0,95.0,50,5450.0,,109.0,EQ
28-08-2000,102.0,102.0,102.0,102.0,102.0,300.0,95.0,50,5100.0,,102.0,EQ
11-09-2000,101.0,101.0,101.0,101.0,101.0,294.5,95.0,100,10100.0,,101.0,EQ
12-09-2000,105.0,105.0,105.0,105.0,105.0,253.0,95.0,100,10500.0,,105.0,EQ
14-09-2000,97.3,97.3,97.3,97.3,97.3,253.0,95.0,100,9730.0,,97.3,EQ
15-09-2000,105.0,105.0,105.0,105.0,105.0,253.0,95.0,50,5250.0,,105.0,EQ
18-09-2000,99.0,99.0,99.0,99.0,99.0,253.0,95.0,50,4950.0,,99.0,EQ
03-10-2000,99.0,99.0,99.0,99.0,99.0,250.0,95.0,100,9900.0,,99.0,EQ
