DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
16-08-2021,437.0,452.0,405.0,407.15,406.0,452.0,405.0,4103620,1743524769.9,214082,424.87,EQ
17-08-2021,411.0,424.8,395.0,401.55,401.5,452.0,395.0,1489590,611361520.6,62851,410.42,EQ
18-08-2021,407.95,407.95,385.4,388.3,388.0,452.0,385.4,828719,325023113.95,36526,392.2,EQ
20-08-2021,383.1,385.5,364.0,366.7,364.8,452.0,364.0,575989,215687318.75,27696,374.46,EQ
23-08-2021,369.25,376.0,338.0,341.35,338.7,452.0,338.0,716162,251954313.05,26555,351.81,EQ
24-08-2021,342.0,361.7,332.05,349.2,347.8,452.0,332.05,810181,282984105.9,25424,349.29,EQ
25-08-2021,353.8,356.0,344.7,346.55,345.0,452.0,332.05,237878,83425205.1,7937,350.71,EQ
26-08-2021,348.0,351.4,343.6,344.75,344.4,452.0,332.05,155491,53968421.6,6061,347.08,EQ
27-08-2021,345.95,352.7,344.05,348.0,348.65,452.0,332.05,198540,69245492.75,10780,348.77,EQ
30-08-2021,351.7,360.2,349.25,356.25,356.4,452.0,332.05,267011,95040440.15,12563,355.94,EQ
31-08-2021,359.0,394.8,356.15,390.9,389.05,452.0,332.05,1335497,513823788.6,42344,384.74,EQ
01-09-2021,392.0,404.8,387.5,396.85,395.0,452.0,332.05,645507,256935482.6,29868,398.04,EQ
02-09-2021,399.7,403.95,392.05,394.6,394.5,452.0,332.05,228236,90997971.75,11371,398.7,EQ
03-09-2021,398.6,399.2,390.35,392.1,391.0,452.0,332.05,142188,56211779.75,9409,395.33,EQ
06-09-2021,392.0,401.45,392.0,393.8,393.1,452.0,332.05,196629,78014466.7,10588,396.76,EQ
07-09-2021,394.1,404.4,394.1,397.95,397.5,452.0,332.05,215336,85984578.5,11070,399.3,EQ
08-09-2021,404.0,411.1,392.0,396.65,394.05,452.0,332.05,430392,172911891.8,20855,401.75,EQ
09-09-2021,388.0,395.9,384.05,385.75,386.0,452.0,332.05,226032,87924857.5,15043,388.99,EQ
13-09-2021,376.0,381.65,367.0,369.35,369.25,452.0,332.05,517639,192843650.0,27407,372.54,EQ
14-09-2021,372.0,379.0,370.5,377.0,377.5,452.0,332.05,283508,106527934.75,11377,375.75,EQ
15-09-2021,380.0,389.9,377.5,387.05,387.0,452.0,332.05,208916,80279433.35,7935,384.27,EQ
16-09-2021,386.0,386.95,378.1,384.9,385.15,452.0,332.05,96325,36902008.7,4703,383.1,EQ
17-09-2021,387.65,389.4,379.25,384.95,385.2,452.0,332.05,113435,43680390.7,7257,385.07,EQ
20-09-2021,379.5,384.0,373.5,375.05,375.0,452.0,332.05,185119,70242327.4,6735,379.44,EQ
21-09-2021,370.75,375.6,365.8,371.45,371.25,452.0,332.05,54108,20042206.65,5825,370.41,EQ
22-09-2021,376.75,378.05,371.05,372.3,371.7,452.0,332.05,47626,17844885.1,4134,374.69,EQ
23-09-2021,376.9,389.0,368.45,379.2,376.55,452.0,332.05,188979,71815655.5,10513,380.02,EQ
24-09-2021,382.25,387.4,372.95,375.45,376.0,452.0,332.05,157590,59500570.0,12994,377.57,EQ
27-09-2021,376.75,382.0,368.7,371.15,370.7,452.0,332.05,164402,61647694.1,11678,374.98,EQ
28-09-2021,370.8,373.6,357.0,360.6,359.45,452.0,332.05,184086,67089991.45,13457,364.45,EQ
29-09-2021,361.0,367.8,360.0,360.75,360.45,452.0,332.05,78570,28541869.35,6021,363.27,EQ
30-09-2021,361.9,364.75,360.1,361.05,362.3,452.0,332.05,54359,19674912.5,3115,361.94,EQ
01-10-2021,361.05,361.55,357.5,358.45,358.3,452.0,332.05,49080,17612699.75,3082,358.86,EQ
