DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
23-02-2000,850.0,870.0,809.45,809.45,809.45,0.0,0.0,11000,8937240.0,,812.48,EQ
24-02-2000,810.0,840.0,795.0,795.0,795.0,870.0,809.45,12800,10459315.0,,817.13,EQ
25-02-2000,796.0,800.0,739.0,764.0,777.0,870.0,795.0,2600,1989520.0,,765.2,EQ
28-02-2000,765.0,774.0,744.0,765.05,765.0,870.0,739.0,10600,8006420.0,,755.32,EQ
29-02-2000,780.0,798.0,714.0,714.35,714.0,870.0,739.0,8600,6717075.0,,781.06,EQ
01-03-2000,690.0,700.0,676.2,683.2,684.0,870.0,714.0,1500,1028745.0,,685.83,EQ
02-03-2000,655.1,656.0,628.85,628.85,628.85,870.0,676.2,8100,5176520.0,,639.08,EQ
03-03-2000,587.0,600.0,578.6,584.7,589.0,870.0,628.85,5800,3409485.0,,587.84,EQ
06-03-2000,561.0,599.0,561.0,582.9,582.5,870.0,578.6,6100,3572550.0,,585.66,EQ
07-03-2000,585.1,600.0,581.1,592.3,590.0,870.0,561.0,14700,8717630.0,,593.04,EQ
08-03-2000,601.0,625.0,590.0,595.0,595.0,870.0,561.0,11800,7128130.0,,604.08,EQ
09-03-2000,619.0,619.0,582.5,589.9,589.9,870.0,561.0,7000,4139035.0,,591.29,EQ
10-03-2000,590.0,599.0,581.0,581.0,581.0,870.0,561.0,2900,1701210.0,,586.62,EQ
13-03-2000,591.0,612.9,581.0,599.0,599.0,870.0,561.0,7400,4379855.0,,591.87,EQ
14-03-2000,600.0,634.95,600.0,631.7,634.95,870.0,561.0,10000,6108015.0,,610.8,EQ
15-03-2000,634.0,682.0,631.5,681.75,682.0,870.0,561.0,16562,11108526.75,,670.72,EQ
16-03-2000,679.0,736.3,636.0,731.5,736.0,870.0,561.0,9162,6309692.75,,688.68,EQ
21-03-2000,702.0,774.9,701.1,762.6,765.0,870.0,561.0,13260,10011592.75,,755.02,EQ
22-03-2000,823.6,823.6,710.0,745.0,745.0,870.0,561.0,7411,5654580.55,,763.0,EQ
23-03-2000,725.0,725.0,687.5,688.35,687.5,870.0,561.0,3636,2556579.5,,703.13,EQ
24-03-2000,705.0,717.75,688.0,699.65,700.0,870.0,561.0,106331,74425918.55,,699.95,EQ
27-03-2000,710.0,710.0,677.5,680.3,677.5,870.0,561.0,8431,5841889.25,,692.91,EQ
28-03-2000,680.0,682.5,626.0,628.6,626.25,870.0,561.0,34842,22923113.0,,657.92,EQ
29-03-2000,620.0,638.9,578.35,578.35,578.35,870.0,561.0,29513,17397486.4,,589.49,EQ
30-03-2000,546.0,570.0,532.25,532.25,532.25,870.0,561.0,55122,29541097.15,,535.92,EQ
31-03-2000,522.0,574.85,515.0,574.75,574.85,870.0,532.25,41847,23404738.3,,559.29,EQ
03-04-2000,588.0,596.0,555.0,559.45,560.0,870.0,515.0,30854,17681002.5,,573.05,EQ
04-04-2000,545.0,550.0,514.7,514.7,514.7,870.0,515.0,15567,8205522.95,,527.11,EQ
05-04-2000,520.0,540.0,473.55,474.45,510.0,870.0,514.7,59541,29408076.0,,493.91,EQ
06-04-2000,500.0,512.45,495.0,501.4,509.0,870.0,473.55,16195,8250961.95,,509.48,EQ
07-04-2000,520.0,541.55,520.0,541.55,541.55,870.0,473.55,11628,6259774.7,,538.34,EQ
10-04-2000,577.0,584.9,566.0,583.5,583.5,870.0,473.55,14168,8200020.7,,578.77,EQ
11-04-2000,550.0,588.0,540.0,576.2,576.0,870.0,473.55,7799,4437712.95,,569.01,EQ
12-04-2000,590.0,594.0,580.0,581.8,580.1,870.0,473.55,11327,6629392.05,,585.27,EQ
13-04-2000,566.05,590.0,545.5,549.85,550.0,870.0,473.55,21869,12287068.15,,561.85,EQ
17-04-2000,517.0,548.85,516.05,542.75,548.85,870.0,473.55,11328,6019077.4,,531.35,EQ
18-04-2000,559.0,560.0,526.0,533.25,537.9,870.0,473.55,10705,5764353.25,,538.47,EQ
19-04-2000,545.0,555.0,517.25,524.15,524.9,870.0,473.55,10502,5667675.6,,539.68,EQ
20-04-2000,502.0,523.5,482.25,512.15,523.5,870.0,473.55,11742,5845558.85,,497.83,EQ
24-04-2000,519.0,530.0,510.05,521.05,525.0,870.0,473.55,4172,2153479.35,,516.17,EQ
25-04-2000,504.0,504.0,481.0,491.15,490.0,870.0,473.55,12204,5987651.15,,490.63,EQ
26-04-2000,505.0,514.0,494.0,504.65,505.0,870.0,473.55,12667,6377656.8,,503.49,EQ
27-04-2000,507.0,507.0,465.0,469.3,465.2,870.0,473.55,6890,3302726.85,,479.35,EQ
28-04-2000,478.0,478.0,439.0,441.5,444.25,870.0,465.0,8826,3972573.5,,450.1,EQ
02-05-2000,445.0,445.1,388.55,393.85,390.0,870.0,439.0,12365,4931261.0,,398.81,EQ
03-05-2000,396.5,424.0,347.1,383.2,390.0,870.0,388.55,19910,7410987.35,,372.22,EQ
04-05-2000,413.9,429.2,413.9,425.5,416.55,870.0,347.1,8666,3692657.4,,426.11,EQ
05-05-2000,435.0,438.5,410.0,414.55,411.35,870.0,347.1,25904,10780062.95,,416.15,EQ
08-05-2000,400.0,427.0,400.0,421.45,420.0,870.0,347.1,10175,4290559.0,,421.68,EQ
09-05-2000,405.0,423.8,401.0,418.45,417.0,870.0,347.1,10044,4184742.55,,416.64,EQ
10-05-2000,419.1,424.9,419.05,422.15,422.5,870.0,347.1,3685,1555852.1,,422.21,EQ
11-05-2000,410.0,425.0,403.0,418.9,420.45,870.0,347.1,4305,1795177.25,,417.0,EQ
12-05-2000,417.15,419.5,406.15,411.2,412.0,870.0,347.1,6125,2535373.85,,413.94,EQ
15-05-2000,400.0,414.9,396.0,409.0,405.0,870.0,347.1,4940,2004966.15,,405.86,EQ
16-05-2000,400.0,410.0,400.0,401.25,400.0,870.0,347.1,5549,2241838.95,,404.01,EQ
17-05-2000,412.8,415.0,401.0,401.55,401.0,870.0,347.1,1842,747560.55,,405.84,EQ
