DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
04-02-2019,57.0,59.85,55.15,59.85,59.85,59.85,55.15,12033,709934.95,78,59.0,BE
05-02-2019,62.8,62.8,62.8,62.8,62.8,62.8,55.15,7510,471628.0,40,62.8,BE
06-02-2019,65.9,65.9,63.5,65.9,65.9,65.9,55.15,306774,20212906.8,345,65.89,BE
07-02-2019,66.8,69.15,66.0,69.15,69.15,69.15,55.15,89555,6110675.7,944,68.23,BE
08-02-2019,72.6,72.6,71.0,72.6,72.6,72.6,55.15,25613,1855183.9,170,72.43,BE
11-02-2019,76.2,76.2,76.2,76.2,76.2,76.2,55.15,5695,433959.0,47,76.2,BE
12-02-2019,80.0,80.0,80.0,80.0,80.0,80.0,55.15,33186,2654880.0,159,80.0,BE
13-02-2019,84.0,84.0,84.0,84.0,84.0,84.0,55.15,29209,2453556.0,69,84.0,BE
14-02-2019,88.2,88.2,84.0,88.2,88.2,88.2,55.15,30540,2671076.35,316,87.46,BE
15-02-2019,92.6,92.6,92.6,92.6,92.6,92.6,55.15,8569,793489.4,76,92.6,BE
18-02-2019,101.7,101.7,83.35,83.35,83.35,101.7,55.15,71741,6448642.45,1049,89.89,EQ
19-02-2019,75.45,87.0,75.05,75.95,75.05,101.7,55.15,160416,12571109.05,1622,78.37,EQ
20-02-2019,70.0,73.0,68.4,68.55,68.4,101.7,55.15,65357,4563852.3,730,69.83,EQ
21-02-2019,68.0,71.0,66.25,68.7,70.0,101.7,55.15,26126,1811939.55,548,69.35,EQ
22-02-2019,69.8,69.8,66.1,66.6,66.5,101.7,55.15,18837,1274010.05,551,67.63,EQ
25-02-2019,66.6,69.9,63.65,69.9,69.9,101.7,55.15,33878,2248189.55,281,66.36,EQ
26-02-2019,69.95,73.35,69.9,73.35,73.35,101.7,55.15,20095,1454374.85,243,72.37,EQ
27-02-2019,77.0,77.0,73.35,75.4,75.6,101.7,55.15,29606,2252953.6,329,76.1,EQ
28-02-2019,76.9,77.95,73.0,73.75,73.9,101.7,55.15,14701,1102191.2,331,74.97,EQ
01-03-2019,76.35,76.5,71.15,73.35,75.0,101.7,55.15,17386,1282586.5,345,73.77,EQ
05-03-2019,70.7,76.0,70.7,73.7,74.4,101.7,55.15,13132,973720.2,244,74.15,EQ
06-03-2019,75.85,75.85,72.0,72.8,73.1,101.7,55.15,12480,910355.45,313,72.95,EQ
07-03-2019,73.7,74.0,69.5,69.95,70.35,101.7,55.15,8745,621307.85,172,71.05,EQ
08-03-2019,70.0,71.0,67.35,68.45,68.8,101.7,55.15,459873,31049796.1,202,67.52,EQ
11-03-2019,71.8,71.85,67.5,71.85,71.85,101.7,55.15,329268,22334398.55,372,67.83,EQ
