DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
16-09-2024,53.0,56.7,48.1,50.26,50.0,56.7,48.1,600310,30906149.03,6256,51.48,EQ
17-09-2024,50.27,50.9,45.2,46.69,46.9,56.7,45.2,383653,18094179.4,5042,47.16,EQ
18-09-2024,46.74,46.89,44.51,45.84,45.77,56.7,44.51,79077,3624062.32,1014,45.83,EQ
19-09-2024,45.4,47.15,43.2,44.05,44.62,56.7,43.2,61284,2782674.7,1042,45.41,EQ
20-09-2024,44.52,44.99,40.4,41.63,41.53,56.7,40.4,67636,2902732.36,896,42.92,EQ
23-09-2024,42.95,49.95,42.01,49.95,49.95,56.7,40.4,388146,18954911.48,2994,48.83,EQ
24-09-2024,49.82,49.82,45.62,47.58,48.0,56.7,40.4,391088,18709679.11,4408,47.84,EQ
25-09-2024,46.36,53.5,46.36,50.74,50.5,56.7,40.4,724749,36228733.37,7439,49.99,EQ
26-09-2024,50.72,53.0,48.2,48.71,48.2,56.7,40.4,182090,9160874.18,2748,50.31,EQ
27-09-2024,50.3,52.17,47.2,47.59,47.2,56.7,40.4,276882,13710706.94,3205,49.52,EQ
30-09-2024,48.99,50.0,47.1,47.53,47.81,56.7,40.4,98076,4749368.02,2172,48.43,EQ
01-10-2024,47.79,48.39,46.75,47.44,47.75,56.7,40.4,70573,3358340.85,1381,47.59,EQ
03-10-2024,47.44,47.44,45.0,45.6,46.7,56.7,40.4,66354,3076991.8,1648,46.37,EQ
04-10-2024,46.04,47.69,45.5,46.25,47.0,56.7,40.4,98653,4602303.6,2316,46.65,EQ
07-10-2024,46.95,47.13,42.11,42.65,42.2,56.7,40.4,62109,2700006.69,1552,43.47,EQ
08-10-2024,42.25,44.96,42.25,43.95,43.15,56.7,40.4,37569,1638909.71,809,43.62,EQ
09-10-2024,44.75,50.36,43.81,46.27,46.0,56.7,40.4,137050,6466935.99,2743,47.19,EQ
10-10-2024,47.15,47.15,44.5,46.63,46.55,56.7,40.4,60945,2785455.67,2345,45.7,EQ
11-10-2024,47.32,47.32,45.45,46.17,46.49,56.7,40.4,30805,1428688.94,1100,46.38,EQ
14-10-2024,47.0,47.05,44.5,44.96,45.59,56.7,40.4,49091,2229799.63,1512,45.42,EQ
15-10-2024,44.96,47.9,44.96,45.55,45.05,56.7,40.4,37183,1706256.8,868,45.89,EQ
16-10-2024,46.24,46.24,44.85,45.02,45.0,56.7,40.4,10193,460919.26,211,45.22,EQ
17-10-2024,45.85,46.49,44.7,45.23,44.99,56.7,40.4,24024,1090869.85,983,45.41,EQ
