DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
20-12-2010,101.0,101.0,15.0,19.65,20.0,101.0,15.0,9875059,177464544.75,,17.97,BE
21-12-2010,20.65,20.65,18.7,20.65,20.65,101.0,15.0,817692,16368711.8,,20.02,BE
22-12-2010,21.7,21.7,21.7,21.7,21.7,101.0,15.0,571687,12405607.9,,21.7,BE
23-12-2010,22.8,22.8,22.0,22.8,22.8,101.0,15.0,1969630,44880284.75,,22.79,BE
24-12-2010,23.95,23.95,23.1,23.95,23.95,101.0,15.0,1433621,34314479.7,,23.94,BE
27-12-2010,25.15,25.15,25.15,25.15,25.15,101.0,15.0,1009625,25392068.75,,25.15,BE
28-12-2010,26.45,26.45,26.45,26.45,26.45,101.0,15.0,865744,22898928.8,,26.45,BE
29-12-2010,27.8,27.8,25.15,27.8,27.8,101.0,15.0,3023202,82956381.3,,27.44,BE
30-12-2010,29.2,29.2,26.45,26.5,27.0,101.0,15.0,1778647,49849772.05,,28.03,BE
31-12-2010,27.4,27.85,25.2,27.5,27.85,101.0,15.0,1139990,30685759.7,,26.92,BE
03-01-2011,28.7,32.3,28.5,29.6,29.7,101.0,15.0,5444968,165549161.8,,30.4,EQ
04-01-2011,30.2,31.3,28.2,29.05,28.95,101.0,15.0,2526893,74018798.5,,29.29,EQ
05-01-2011,29.85,29.9,27.0,27.35,27.4,101.0,15.0,1951376,54440183.2,,27.9,EQ
06-01-2011,27.5,27.7,25.25,25.6,25.6,101.0,15.0,2451459,63589476.7,,25.94,EQ
07-01-2011,25.1,26.7,24.4,24.65,24.7,101.0,15.0,2768950,70165089.9,,25.34,EQ
10-01-2011,25.25,27.55,24.75,25.55,25.6,101.0,15.0,2282175,59098136.95,,25.9,EQ
11-01-2011,25.95,27.3,25.1,25.5,25.5,101.0,15.0,1882873,48937762.05,,25.99,EQ
12-01-2011,26.0,26.4,25.0,25.85,26.0,101.0,15.0,1523678,39113801.35,,25.67,EQ
13-01-2011,26.6,26.7,24.1,24.75,24.8,101.0,15.0,2000289,50465730.4,,25.23,EQ
14-01-2011,25.0,25.0,22.7,23.0,23.2,101.0,15.0,1356532,32326198.65,,23.83,EQ
17-01-2011,23.4,23.5,21.6,21.85,21.65,101.0,15.0,1194009,26661202.4,,22.33,EQ
18-01-2011,22.0,24.7,20.6,23.8,24.1,101.0,15.0,4052520,92076303.0,,22.72,EQ
19-01-2011,24.9,27.4,23.2,26.8,27.15,101.0,15.0,4370060,111504086.1,,25.52,EQ
20-01-2011,26.05,26.85,25.5,25.75,25.7,101.0,15.0,2380214,62023305.85,,26.06,EQ
21-01-2011,25.8,27.5,25.5,26.5,26.5,101.0,15.0,2296261,61739325.5,,26.89,EQ
24-01-2011,26.9,27.2,26.0,26.25,26.45,101.0,15.0,952947,25340450.3,,26.59,EQ
25-01-2011,26.65,27.2,25.7,26.05,26.1,101.0,15.0,1005530,26546500.0,,26.4,EQ
27-01-2011,26.0,26.5,24.35,24.7,25.0,101.0,15.0,1710524,43181165.45,,25.24,EQ
28-01-2011,25.05,25.05,22.8,23.3,23.25,101.0,15.0,1124568,26403895.25,,23.48,EQ
31-01-2011,22.75,23.05,21.7,22.65,22.7,101.0,15.0,1554288,35390117.85,,22.77,EQ
01-02-2011,23.0,23.0,21.65,21.85,21.7,101.0,15.0,1122535,24980493.25,,22.25,EQ
02-02-2011,22.1,23.2,21.65,22.0,22.0,101.0,15.0,1274131,28415084.55,,22.3,EQ
03-02-2011,22.5,22.7,21.7,22.3,22.3,101.0,15.0,753180,16788211.55,,22.29,EQ
04-02-2011,22.1,23.2,21.65,21.9,21.65,101.0,15.0,929844,20826226.95,,22.4,EQ
07-02-2011,22.3,22.75,21.8,21.9,21.9,101.0,15.0,619647,13762275.0,,22.21,EQ
08-02-2011,22.0,22.15,20.25,20.45,20.5,101.0,15.0,823412,17410348.8,,21.14,EQ
09-02-2011,20.5,20.7,18.45,18.7,18.7,101.0,15.0,2006148,38779333.95,,19.33,EQ
10-02-2011,18.7,19.1,18.0,18.45,18.4,101.0,15.0,964148,17792136.95,,18.45,EQ
11-02-2011,18.95,21.7,18.3,21.15,21.5,101.0,15.0,1449275,28636798.6,,19.76,EQ
14-02-2011,21.5,22.4,21.35,22.2,22.3,101.0,15.0,788321,17375313.75,,22.04,EQ
15-02-2011,22.0,22.45,21.3,21.5,21.7,101.0,15.0,737774,16097855.4,,21.82,EQ
16-02-2011,21.6,21.8,21.1,21.2,21.25,101.0,15.0,563248,12065468.55,,21.42,EQ
17-02-2011,21.5,25.45,21.3,25.45,25.45,101.0,15.0,5776640,140521681.55,,24.33,EQ
18-02-2011,25.6,26.7,23.3,23.6,23.65,101.0,15.0,4332300,106794512.0,,24.65,EQ
21-02-2011,23.7,24.0,21.65,23.75,23.95,101.0,15.0,2391916,54989458.7,,22.99,EQ
22-02-2011,23.8,25.6,23.15,24.65,24.8,101.0,15.0,3572298,87935939.05,,24.62,EQ
23-02-2011,24.7,25.9,24.45,24.65,24.7,101.0,15.0,1773189,44279399.8,,24.97,EQ
24-02-2011,24.5,24.95,22.8,23.1,23.25,101.0,15.0,1595577,37855364.8,,23.73,EQ
25-02-2011,23.95,24.0,22.6,23.25,23.4,101.0,15.0,1260177,29313960.05,,23.26,EQ
28-02-2011,23.75,24.45,22.4,22.55,22.5,101.0,15.0,1936240,45688613.35,,23.6,EQ
01-03-2011,23.0,23.6,22.7,23.35,23.4,101.0,15.0,1124873,26088533.65,,23.19,EQ
03-03-2011,23.3,23.4,22.6,22.8,22.9,101.0,15.0,891711,20449801.05,,22.93,EQ
04-03-2011,23.0,24.1,22.85,23.3,23.35,101.0,15.0,1521666,35836506.35,,23.55,EQ
07-03-2011,22.8,23.15,22.3,22.6,22.5,101.0,15.0,582049,13136948.25,,22.57,EQ
08-03-2011,22.8,23.15,22.45,22.65,22.65,101.0,15.0,1022583,23318996.7,,22.8,EQ
09-03-2011,22.7,23.15,22.15,22.25,22.2,101.0,15.0,1247548,28061537.15,,22.49,EQ
10-03-2011,22.45,22.5,21.9,22.05,22.05,101.0,15.0,471383,10430171.6,,22.13,EQ
11-03-2011,21.9,22.2,21.4,21.65,21.65,101.0,15.0,594302,12915901.05,,21.73,EQ
14-03-2011,21.65,21.75,20.9,21.15,21.2,101.0,15.0,700077,14880154.5,,21.26,EQ
15-03-2011,20.7,21.5,20.2,20.7,20.75,101.0,15.0,558893,11544143.9,,20.66,EQ
16-03-2011,20.75,21.6,20.75,20.95,20.9,101.0,15.0,1148076,24172727.65,,21.05,EQ
17-03-2011,20.7,21.8,20.45,20.8,20.95,101.0,15.0,755016,15861835.2,,21.01,EQ
18-03-2011,21.0,21.3,20.3,20.45,20.5,101.0,15.0,571579,11790835.05,,20.63,EQ
21-03-2011,20.7,21.0,19.9,20.1,20.15,101.0,15.0,588679,11924993.0,,20.26,EQ
22-03-2011,20.45,20.45,19.9,19.95,19.9,101.0,15.0,455389,9165300.8,,20.13,EQ
23-03-2011,19.95,23.25,19.4,22.8,22.75,101.0,15.0,4722050,105604844.6,,22.36,EQ
24-03-2011,23.45,24.35,22.3,23.75,23.8,101.0,15.0,2969418,69077733.05,,23.26,EQ
25-03-2011,23.85,25.05,23.4,24.0,23.85,101.0,15.0,2433202,58754722.15,,24.15,EQ
28-03-2011,24.05,24.75,23.7,24.15,24.3,101.0,15.0,1333709,32223406.45,,24.16,EQ
29-03-2011,24.05,24.6,23.55,23.7,23.65,101.0,15.0,1549810,37309606.8,,24.07,EQ
30-03-2011,24.1,24.55,23.8,23.9,23.85,101.0,15.0,977942,23649979.45,,24.18,EQ
31-03-2011,24.2,24.2,23.0,23.25,23.3,101.0,15.0,1107883,25940140.65,,23.41,EQ
01-04-2011,23.45,25.45,23.1,25.0,25.3,101.0,15.0,1454247,35585338.15,,24.47,EQ
04-04-2011,25.4,26.75,24.6,26.2,26.15,101.0,15.0,3526752,91909360.85,,26.06,EQ
05-04-2011,26.25,27.1,25.2,26.4,26.4,101.0,15.0,1827657,48134447.95,,26.34,EQ
06-04-2011,25.5,26.9,25.35,25.5,25.6,101.0,15.0,1707217,44253652.1,,25.92,EQ
07-04-2011,26.0,26.0,24.7,24.9,24.85,101.0,15.0,1230284,31091024.8,,25.27,EQ
08-04-2011,25.0,25.45,24.25,24.45,24.5,101.0,15.0,961684,23925881.7,,24.88,EQ
11-04-2011,24.05,24.6,23.45,23.6,23.65,101.0,15.0,1055465,25016357.3,,23.7,EQ
13-04-2011,23.3,24.35,23.0,23.95,23.95,101.0,15.0,868958,20795801.8,,23.93,EQ
15-04-2011,24.3,24.5,23.3,23.55,23.45,101.0,15.0,1041219,24805611.3,,23.82,EQ
18-04-2011,23.6,24.05,22.7,22.9,22.9,101.0,15.0,877475,20507935.95,,23.37,EQ
19-04-2011,22.7,24.2,22.5,23.75,23.65,101.0,15.0,1890567,44481067.45,,23.53,EQ
20-04-2011,24.2,25.1,23.75,24.65,24.75,101.0,15.0,2227048,54706344.8,,24.56,EQ
21-04-2011,24.9,25.15,24.25,24.35,24.25,101.0,15.0,1236714,30523354.55,,24.68,EQ
25-04-2011,24.45,24.75,23.85,23.95,24.0,101.0,15.0,467354,11328349.05,,24.24,EQ
26-04-2011,24.2,24.7,23.6,23.75,23.6,101.0,15.0,891993,21522143.6,,24.13,EQ
27-04-2011,24.0,24.2,22.95,23.2,23.1,101.0,15.0,823137,19436167.75,,23.61,EQ
28-04-2011,23.45,23.7,22.9,23.0,23.05,101.0,15.0,541745,12535908.85,,23.14,EQ
29-04-2011,22.9,23.3,22.55,22.7,22.7,101.0,15.0,518007,11855199.65,,22.89,EQ
02-05-2011,22.8,23.1,22.6,22.85,22.95,101.0,15.0,335649,7667971.2,,22.85,EQ
03-05-2011,22.55,22.9,22.05,22.2,22.25,101.0,15.0,459720,10306612.75,,22.42,EQ
04-05-2011,22.4,22.4,21.75,22.05,22.1,101.0,15.0,407948,8997971.0,,22.06,EQ
05-05-2011,22.15,22.35,21.5,21.7,21.85,101.0,15.0,316741,6938691.7,,21.91,EQ
06-05-2011,21.75,22.85,21.75,22.6,22.6,101.0,15.0,517278,11566157.3,,22.36,EQ
09-05-2011,23.0,23.0,22.25,22.35,22.25,101.0,15.0,254014,5706968.65,,22.47,EQ
10-05-2011,22.5,23.1,22.1,22.8,22.9,101.0,15.0,346440,7854355.55,,22.67,EQ
11-05-2011,22.9,22.95,22.3,22.55,22.6,101.0,15.0,265663,5982762.75,,22.52,EQ
12-05-2011,22.5,22.7,22.0,22.05,22.15,101.0,15.0,287837,6399077.9,,22.23,EQ
13-05-2011,22.1,23.2,21.85,22.45,22.5,101.0,15.0,503155,11381608.2,,22.62,EQ
16-05-2011,22.4,22.6,22.25,22.4,22.4,101.0,15.0,229600,5152444.6,,22.44,EQ
17-05-2011,22.5,22.55,21.7,21.9,21.95,101.0,15.0,280736,6194999.75,,22.07,EQ
18-05-2011,22.1,22.25,21.4,21.5,21.55,101.0,15.0,313398,6819443.3,,21.76,EQ
19-05-2011,21.1,22.0,21.1,21.45,21.6,101.0,15.0,233940,5040114.1,,21.54,EQ
20-05-2011,21.5,22.2,21.5,21.9,21.95,101.0,15.0,496233,10897089.05,,21.96,EQ
23-05-2011,21.9,21.9,20.9,21.05,21.05,101.0,15.0,345196,7282698.45,,21.1,EQ
24-05-2011,20.1,22.4,20.1,21.25,21.25,101.0,15.0,702378,15130053.55,,21.54,EQ
25-05-2011,21.25,21.35,20.65,20.85,20.8,101.0,15.0,227905,4792735.1,,21.03,EQ
26-05-2011,21.2,21.65,20.7,20.9,20.95,101.0,15.0,314713,6606461.55,,20.99,EQ
27-05-2011,20.1,21.2,20.1,21.05,21.05,101.0,15.0,215952,4540078.0,,21.02,EQ
30-05-2011,21.3,21.5,21.05,21.2,21.25,101.0,15.0,240345,5106753.0,,21.25,EQ
