DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
19-08-2019,204.0,236.9,200.0,204.5,204.0,236.9,200.0,39275,8023220.75,198,204.28,EQ
20-08-2019,201.05,206.0,197.0,198.75,199.0,236.9,197.0,22100,4482023.95,170,202.81,EQ
21-08-2019,203.9,203.9,197.0,197.35,197.0,236.9,197.0,13300,2649591.9,122,199.22,EQ
22-08-2019,200.0,200.0,190.0,191.2,190.0,236.9,190.0,17356,3391828.55,179,195.43,EQ
23-08-2019,194.2,194.45,188.0,188.85,188.05,236.9,188.0,146362,27702193.8,281,189.27,EQ
26-08-2019,189.05,192.85,187.0,187.15,187.0,236.9,187.0,86380,16228923.05,191,187.88,EQ
27-08-2019,187.0,190.65,187.0,188.35,189.9,236.9,187.0,85810,16142029.2,85,188.11,EQ
28-08-2019,187.55,191.9,182.05,184.55,182.05,236.9,182.05,75233,14070446.25,141,187.02,EQ
29-08-2019,183.05,188.45,178.0,180.75,180.15,236.9,178.0,78425,14311614.7,216,182.49,EQ
30-08-2019,178.0,183.95,175.0,177.1,175.0,236.9,175.0,74241,13434270.0,236,180.95,EQ
03-09-2019,175.05,180.7,175.05,178.9,179.0,236.9,175.0,24134,4274354.85,253,177.11,EQ
04-09-2019,184.0,184.0,179.5,182.4,181.75,236.9,175.0,72742,13189898.65,157,181.32,EQ
05-09-2019,182.5,184.0,181.1,182.05,184.0,236.9,175.0,72344,13171495.95,154,182.07,EQ
06-09-2019,185.0,188.95,181.7,187.25,188.9,236.9,175.0,73814,13558279.35,206,183.68,EQ
09-09-2019,189.95,191.0,185.05,190.95,190.95,236.9,175.0,67234,12630516.75,185,187.86,EQ
11-09-2019,192.0,195.65,191.2,194.1,194.0,236.9,175.0,25220,4854652.3,114,192.49,EQ
12-09-2019,193.05,198.0,193.05,196.3,196.6,236.9,175.0,22112,4332330.35,83,195.93,EQ
13-09-2019,198.0,200.0,196.0,197.2,196.5,236.9,175.0,22300,4388398.95,94,196.79,EQ
16-09-2019,198.0,199.4,195.0,197.05,195.0,236.9,175.0,22918,4514602.9,279,196.99,EQ
17-09-2019,199.35,199.35,194.0,195.5,195.5,236.9,175.0,21597,4250544.55,76,196.81,EQ
18-09-2019,194.5,197.9,194.0,194.55,194.0,236.9,175.0,21953,4298200.1,85,195.79,EQ
19-09-2019,194.0,197.0,190.35,192.1,193.4,236.9,175.0,22357,4346366.25,74,194.41,EQ
20-09-2019,196.0,196.0,192.2,194.0,194.0,236.9,175.0,25465,4921195.6,58,193.25,EQ
23-09-2019,199.0,199.0,193.0,194.25,195.0,236.9,175.0,22968,4489763.05,232,195.48,EQ
24-09-2019,194.0,194.0,190.3,190.55,192.45,236.9,175.0,32255,6189191.4,126,191.88,EQ
25-09-2019,193.95,193.95,188.0,189.05,190.0,236.9,175.0,40372,7674482.65,301,190.09,EQ
26-09-2019,188.05,195.0,186.55,189.75,190.0,236.9,175.0,64774,12247982.8,360,189.09,EQ
27-09-2019,192.0,193.95,189.0,189.5,189.0,236.9,175.0,49930,9554256.4,352,191.35,EQ
30-09-2019,190.5,192.0,183.0,187.9,188.5,236.9,175.0,34748,6558704.3,364,188.75,EQ
01-10-2019,188.0,189.5,184.0,185.5,185.5,236.9,175.0,21675,4022449.2,126,185.58,EQ
03-10-2019,188.45,189.0,184.55,187.4,188.0,236.9,175.0,20591,3863697.1,128,187.64,EQ
04-10-2019,192.4,192.4,185.0,189.1,189.4,236.9,175.0,22185,4150501.8,237,187.09,EQ
07-10-2019,189.0,189.0,185.0,187.05,188.9,236.9,175.0,21715,4047591.25,244,186.4,EQ
09-10-2019,190.0,190.0,186.0,187.15,186.25,236.9,175.0,20367,3814020.15,51,187.26,EQ
10-10-2019,187.25,187.5,184.95,185.35,185.3,236.9,175.0,21765,4059820.4,128,186.53,EQ
11-10-2019,187.0,188.8,184.0,185.8,186.15,236.9,175.0,22523,4178229.25,200,185.51,EQ
14-10-2019,185.1,187.95,185.1,186.35,186.0,236.9,175.0,21191,3963218.25,101,187.02,EQ
15-10-2019,199.0,199.0,186.95,191.35,189.9,236.9,175.0,21635,4100780.6,158,189.54,EQ
16-10-2019,194.5,194.5,188.0,191.6,191.0,236.9,175.0,24115,4609244.15,242,191.14,EQ
17-10-2019,193.0,194.8,188.0,190.7,189.5,236.9,175.0,22546,4325873.4,310,191.87,EQ
18-10-2019,193.8,193.8,187.05,192.05,192.0,236.9,175.0,22372,4286038.2,217,191.58,EQ
22-10-2019,192.7,192.7,186.25,188.7,188.5,236.9,175.0,21853,4171703.7,314,190.9,EQ
23-10-2019,190.0,191.9,187.0,190.5,191.9,236.9,175.0,23932,4527954.55,303,189.2,EQ
24-10-2019,192.0,192.0,187.25,187.55,188.0,236.9,175.0,22169,4193739.85,59,189.17,EQ
25-10-2019,189.0,191.0,184.0,185.05,184.1,236.9,175.0,22543,4227257.95,79,187.52,EQ
27-10-2019,189.0,189.0,187.55,188.1,188.5,236.9,175.0,4507,847575.2,28,188.06,EQ
29-10-2019,187.9,190.0,186.3,188.85,190.0,236.9,175.0,20641,3872973.4,68,187.63,EQ
30-10-2019,189.1,189.9,185.05,185.1,186.0,236.9,175.0,22405,4196888.1,150,187.32,EQ
31-10-2019,188.2,188.25,184.0,185.75,184.0,236.9,175.0,20687,3860928.15,116,186.64,EQ
01-11-2019,186.0,188.65,184.1,187.5,188.0,236.9,175.0,21598,4025141.15,138,186.37,EQ
04-11-2019,187.0,189.75,185.9,187.3,188.0,236.9,175.0,21840,4082248.25,166,186.92,EQ
05-11-2019,187.0,189.5,185.05,188.95,187.25,236.9,175.0,21418,4017011.85,198,187.55,EQ
06-11-2019,188.45,188.5,184.3,184.95,185.0,236.9,175.0,23336,4351773.5,118,186.48,EQ
07-11-2019,184.95,185.65,183.0,184.5,184.5,236.9,175.0,21682,3990272.45,70,184.04,EQ
08-11-2019,183.0,187.0,183.0,183.35,187.0,236.9,175.0,22252,4100845.35,113,184.29,EQ
11-11-2019,183.35,193.0,183.35,190.7,193.0,236.9,175.0,32624,6081745.45,227,186.42,EQ
13-11-2019,192.85,192.85,190.25,190.7,190.25,236.9,175.0,21652,4133152.35,67,190.89,EQ
14-11-2019,190.95,194.8,187.0,188.9,187.0,236.9,175.0,21919,4180908.1,98,190.74,EQ
15-11-2019,192.05,192.05,185.05,186.8,186.5,236.9,175.0,21908,4102185.6,168,187.25,EQ
18-11-2019,191.8,191.8,184.8,185.75,185.0,236.9,175.0,20176,3765261.35,103,186.62,EQ
19-11-2019,188.85,188.85,183.0,184.3,183.0,236.9,175.0,27984,5194861.0,77,185.64,EQ
20-11-2019,185.05,186.7,184.05,185.0,185.1,236.9,175.0,23129,4270365.4,94,184.63,EQ
21-11-2019,185.75,188.95,184.0,185.8,184.0,236.9,175.0,29664,5540067.35,290,186.76,EQ
22-11-2019,186.0,189.25,184.95,185.05,184.95,236.9,175.0,25275,4732340.5,94,187.23,EQ
25-11-2019,185.95,187.25,184.15,184.7,184.7,236.9,175.0,20681,3823588.15,65,184.88,EQ
26-11-2019,184.95,187.45,184.95,185.95,187.05,236.9,175.0,20702,3855004.1,46,186.21,EQ
27-11-2019,186.25,190.0,184.5,185.45,185.25,236.9,175.0,23563,4398152.0,121,186.66,EQ
28-11-2019,189.5,192.0,184.8,185.2,185.0,236.9,175.0,28416,5293402.5,128,186.28,EQ
29-11-2019,186.0,188.0,184.3,184.65,184.5,236.9,175.0,20599,3853180.3,56,187.06,EQ
02-12-2019,187.25,188.45,184.55,184.9,185.0,236.9,175.0,20455,3811524.3,37,186.34,EQ
03-12-2019,184.75,187.9,183.0,183.25,183.5,236.9,175.0,22207,4085548.45,80,183.98,EQ
04-12-2019,187.0,187.0,182.5,183.85,182.5,236.9,175.0,21740,4018520.0,174,184.84,EQ
05-12-2019,184.25,185.45,183.85,184.25,185.0,236.9,175.0,20366,3754467.9,34,184.35,EQ
06-12-2019,184.5,185.0,182.5,182.6,182.5,236.9,175.0,20599,3792032.1,43,184.09,EQ
09-12-2019,183.5,184.45,181.0,181.45,181.0,236.9,175.0,22772,4164601.6,92,182.88,EQ
10-12-2019,185.05,187.8,180.5,186.3,187.8,236.9,175.0,31519,5781091.15,115,183.42,EQ
11-12-2019,187.0,191.75,187.0,190.45,191.75,236.9,175.0,23818,4478845.35,116,188.04,EQ
12-12-2019,190.05,192.0,189.0,191.0,190.5,236.9,175.0,27913,5307605.45,119,190.15,EQ
13-12-2019,191.1,193.9,190.0,190.55,190.1,236.9,175.0,21302,4072818.65,46,191.19,EQ
